"ISO_2","ISO_3","country","year","final_rank","final","corporate_rank","corporate","income_rank","income","consumption_rank","consumption","property_rank","property","international_rank","international"
"GR","GRC","Greece",2020,28,57.1819737978851,22,56.9098024093293,11,75.1079550963831,32,56.9661759953801,30,46.425002759764,20,82.123353403817
"GR","GRC","Greece",2021,29,57.4726143439759,22,56.6467693554041,10,73.878419749676,32,56.7891162151496,29,45.7973522086176,20,81.6966860786432
"HU","HUN","Hungary",2014,24,61.7585141133315,16,63.3448048378871,12,77.5164200121676,36,34.8373959333226,16,66.1568961293731,9,79.4360987561697
"HU","HUN","Hungary",2015,23,60.3745488501323,18,57.5545604144821,11,76.7080662065126,36,34.6927999599607,16,65.1997824174139,8,79.9119390155315
"HU","HUN","Hungary",2016,23,60.460397032575,18,61.6287837499745,10,76.9535471323516,36,35.7580476289277,18,65.5903093692919,8,81.5957486695623
"HU","HUN","Hungary",2017,20,60.9699269872417,16,63.4484324556803,9,76.5911627106593,36,33.1246039700869,17,65.3346833691363,8,82.0373706507875
"HU","HUN","Hungary",2018,17,61.2930981027875,11,71.0348560906302,10,75.6063732659493,36,32.0235585561492,17,62.8602812267956,5,87.2371903031168
"HU","HUN","Hungary",2019,18,64.6396786213783,5,74.4055629094356,10,76.2358814688886,36,31.3870416423626,17,62.0985665757962,4,96.8052331917014
"HU","HUN","Hungary",2020,15,65.673722226435,6,75.6192322734952,9,76.6514548277097,36,43.0817838716516,17,62.6048022385975,4,97.0346144452862
"HU","HUN","Hungary",2021,14,66.0836746737482,6,75.4246559564553,9,74.9344128916089,36,43.0698568985993,17,62.7267286228674,4,97.0645792107895
"IS","ISL","Iceland",2014,33,51.8748705809195,12,67.2822597394137,32,52.9051055533454,24,57.1512122404595,35,42.1735830326107,27,61.8012902235774
"IS","ISL","Iceland",2015,28,56.0980957891513,11,64.8022472281941,31,51.9144189094848,20,59.9606540079298,27,56.310028586203,26,61.1728300234632
"IS","ISL","Iceland",2016,27,55.8279011588935,11,69.7231613952107,31,51.4759282996337,20,60.7753610454146,27,55.7232703005062,26,63.2353271874882
"IS","ISL","Iceland",2017,30,52.8449541864509,12,67.8696534734777,30,50.0959588173974,18,60.6022342534003,27,55.6048169662504,33,51.0292305234023
"IS","ISL","Iceland",2018,29,50.4567330558729,10,71.318167124033,34,49.1814532932256,18,61.3686876277812,26,51.7874928980267,33,50.5548108680484
"IS","ISL","Iceland",2019,31,53.13463985975,10,70.0455369474299,34,48.889599506691,18,62.0460757405884,27,49.8527397751993,33,58.7811120964724
"IS","ISL","Iceland",2020,31,52.3801761174627,11,68.3755013621026,33,48.7544241784043,19,67.7870218560694,28,49.9049306589786,33,58.3858276953726
"IS","ISL","Iceland",2021,33,50.7808044453074,13,65.6121896384591,36,40.1526913509557,19,66.9755425374695,27,49.4832764245804,33,57.6093543957586
"IE","IRL","Ireland",2014,14,65.9156892907539,4,85.9121098462664,31,52.963282387695,25,55.6646724403522,20,63.2408060361693,13,76.8964869783035
"IE","IRL","Ireland",2015,17,64.9117491099466,4,82.442411685806,32,51.7871057919023,24,55.9235114863306,20,62.5890844751242,12,76.8531021039032
"IE","IRL","Ireland",2016,19,63.611209107658,4,80.299263893744,32,51.3758259404079,24,56.9436110056799,21,62.5743877143037,11,78.7583505627687
"IE","IRL","Ireland",2017,19,62.7056123408963,4,77.0022794207657,31,49.863769190638,24,54.5432504546455,21,62.9505819503217,9,79.5822479170552
"IE","IRL","Ireland",2018,16,62.3084527055248,4,81.8917282068742,30,51.5134860206944,23,55.7483265998273,20,61.0707086886332,11,78.3910868588927
"IE","IRL","Ireland",2019,17,65.1191875963045,4,82.3191682054811,30,51.6627858178495,24,54.7864445957035,20,60.7319298614264,15,88.8425768464151
"IE","IRL","Ireland",2020,17,64.8149185441603,4,80.7395875731281,29,51.9410389995606,24,62.4835909006356,19,61.3695264278984,15,87.8301078253263
"IE","IRL","Ireland",2021,17,64.3543427685737,5,79.5449523458191,30,47.0999208374108,25,62.5720202212353,18,61.5753844085241,14,85.3516512736108
"IL","ISR","Israel",2014,32,53.4636384075938,29,57.6826505570014,37,32.9623399036723,14,66.7489071371678,12,70.9689889653545,31,55.3599825323689
"IL","ISR","Israel",2015,32,52.8894695575013,28,53.1540066268067,37,33.3564532911679,14,66.809815641682,11,70.9920315575813,32,54.205219615666
"IL","ISR","Israel",2016,29,53.3816676489562,21,59.0439572910705,37,33.8315405556184,15,67.6673988176846,11,71.410051643413,32,57.3500742127324
"IL","ISR","Israel",2017,29,53.0335138867123,30,54.3533650515837,37,34.4482153846057,15,65.9681477804275,11,71.0725224638533,31,58.1014070372645
"IL","ISR","Israel",2018,30,50.199444893944,28,56.2536498098061,37,33.5531359537958,14,66.9777796188353,10,69.2907403239447,32,56.8189767466479
"IL","ISR","Israel",2019,29,53.854349662727,29,54.0557450054123,37,33.9812842748969,15,66.3010221915362,10,68.6928912922777,29,70.0380686430103
"IL","ISR","Israel",2020,29,54.5488553627474,29,51.5746586892819,37,34.1392110229666,12,73.6511365159471,10,69.3004898634141,27,71.2214262546491
"IL","ISR","Israel",2021,15,64.7082822857089,17,58.9864862327934,29,49.1346303643638,12,74.3526802583162,10,69.2462132521521,21,81.3431851206862
"IT","ITA","Italy",2014,35,50.803721986998,19,61.8631978108472,34,48.3059663551404,19,60.3084570308809,36,37.9981747505604,24,68.8891924710198
"IT","ITA","Italy",2015,35,47.4780769387227,26,53.3839092313278,35,42.5890798516369,19,60.4147326973556,36,39.0069486225986,23,66.3239253109273
"IT","ITA","Italy",2016,36,45.8507791697262,28,55.2233024581426,35,42.3325911171195,21,60.6606294746892,36,37.8281817846433,23,68.4150065724772
"IT","ITA","Italy",2017,34,47.331827730224,19,59.5430310158048,35,40.924548494883,22,58.0952372588791,36,37.7619038271918,22,68.0013555126467
"IT","ITA","Italy",2018,35,44.4095713872312,24,58.5864436022599,32,49.4102990593454,24,52.799127330546,36,34.0563285939591,23,68.3999634659305
"IT","ITA","Italy",2019,35,46.7852460950369,26,56.1800076471564,33,48.9853565748643,25,53.0267808683334,37,32.5569420375225,21,79.4647116429865
"IT","ITA","Italy",2020,37,44.7936967248364,31,49.3782885668889,32,48.7990162741475,29,60.0263621872437,37,32.6312976777858,21,78.870805680628
"IT","ITA","Italy",2021,37,44.6307663737873,30,47.6144598406491,33,43.6317282977175,28,59.8211005902324,37,32.6988526899041,23,78.2493059984357
"JP","JPN","Japan",2014,25,60.0173034933328,37,32.3800426230415,20,65.8084835926928,3,96.7989202654949,25,59.0892453407136,32,52.8952499108346
"JP","JPN","Japan",2015,24,60.2456345747197,34,34.9337138101337,20,65.4936291636522,4,92.2770913736902,24,59.1755576931744,33,53.0025673091597
"JP","JPN","Japan",2016,24,58.7875147692308,35,41.1273492179974,23,61.4349944934512,5,92.2450816540965,24,59.3807689805196,33,55.4700569976496
"JP","JPN","Japan",2017,21,60.8193574502978,34,41.1477105815937,24,60.9916824149213,2,94.5185921873464,24,59.3855715142676,28,60.3895051869168
"JP","JPN","Japan",2018,22,58.2201256152822,36,43.9645019240958,23,61.8109704371089,3,94.5701050538133,27,51.2029496353164,28,60.846625006659
"JP","JPN","Japan",2019,20,61.7529560122479,35,40.6365025758085,23,61.9073398583227,3,94.4479258384069,26,50.0505541009644,24,74.5078160752505
"JP","JPN","Japan",2020,26,58.6901579401661,35,37.5690920085987,22,61.4750201875112,3,93.1712988283205,27,50.3655511699137,31,67.1340923793289
"JP","JPN","Japan",2021,26,58.5771687144204,36,35.2731126600256,21,57.3567871811996,3,94.5451826842743,26,50.0909865944925,31,65.6663396274276
"KR","KOR","Korea",2014,19,64.2060121698292,23,60.714473719287,17,68.9435976117447,5,90.1169174953762,32,48.4064842406597,28,56.6063711108509
"KR","KOR","Korea",2015,14,66.6233966789826,19,57.4349266493127,16,71.22751407708,3,94.2676946095729,32,48.4859641195602,28,60.130713429467
"KR","KOR","Korea",2016,15,66.0009691911798,19,61.0013054182213,15,69.4013769183812,3,95.5127213856346,31,48.475765195067,27,62.8805469804588
"KR","KOR","Korea",2017,14,64.5755066219157,26,57.5572285860764,17,67.7340998344668,3,94.0524385621628,31,48.3065569902251,25,64.4062959724683
"KR","KOR","Korea",2018,20,60.2112492728863,31,53.1792585940052,24,61.5467601967406,2,96.055446562689,32,44.7293704031508,26,63.6646941089021
"KR","KOR","Korea",2019,21,61.5437419907143,33,50.124914247306,24,61.4293058498573,2,96.9085207939417,32,43.2763236294168,31,67.7088567455508
"KR","KOR","Korea",2020,22,60.849077196311,33,47.978836392913,24,60.806774675571,2,97.2511499205588,32,43.3979530835,30,67.3825478657057
"KR","KOR","Korea",2021,21,61.5430531764074,33,46.6323138186815,24,55.2371631649904,2,98.9688853083834,32,43.0331929138734,29,69.3284479381952
"LV","LVA","Latvia",2014,4,77.0217813142813,2,89.845143219556,7,86.27533660234,35,36.4805784885974,5,80.047607680388,4,86.690013505298
"LV","LVA","Latvia",2015,4,76.2374078258457,3,82.8898030010787,6,85.4823835386642,35,37.5127133188903,5,80.049001016088,3,89.5836664694385
"LV","LVA","Latvia",2016,2,78.9349276124568,3,84.9169056931055,6,85.1952904116382,32,48.1366534129726,5,80.095705504645,3,90.4646557192041
"LV","LVA","Latvia",2017,2,76.8982574941526,3,81.4808241222349,6,84.6199575693265,31,45.5541345059611,5,79.811148304818,3,90.6114938821072
"LV","LVA","Latvia",2018,2,79.1634702776817,2,90.094618675072,5,89.5657498255027,28,50.4693705820084,5,77.928920414158,6,85.297578328865
"LV","LVA","Latvia",2019,2,83.0823044394612,1,100,7,84.3312011002091,28,49.7589354717358,5,77.3954507094101,5,95.2033876042193
"LV","LVA","Latvia",2020,2,84.1950241107996,1,100,6,83.9605538305468,27,60.733198565565,5,78.0451117999518,5,95.8398519996321
"LV","LVA","Latvia",2021,2,85.079428107702,2,99.553485872271,5,86.1324405251146,27,60.5923746278644,5,78.0376296126991,5,95.7724834606851
"LT","LTU","Lithuania",2014,5,76.1335492188599,3,88.2185290812001,6,86.4028735889164,30,48.8747861279787,6,78.0164002137011,20,72.5919680405713
"LT","LTU","Lithuania",2015,5,75.4303559254768,2,85.2133957355714,7,85.4457142234379,31,48.9990597718697,6,78.0551445586767,19,72.8638191873827
"LT","LTU","Lithuania",2016,5,75.583074464732,2,87.2877333928238,7,85.1598946275082,28,50.477939327058,6,77.8338121225467,17,75.306872662241
"LT","LTU","Lithuania",2017,5,73.6688792355961,2,84.1136372128043,7,84.4172208480799,28,47.9168971359881,6,77.6627340942911,16,75.0082688438959
"LT","LTU","Lithuania",2018,5,72.5805196034879,3,84.3909741558649,7,83.555351316551,29,49.964158548219,6,76.2281044913118,17,74.6753791202064
"LT","LTU","Lithuania",2019,4,76.8586200228961,3,84.7755530374704,5,89.8796396177773,27,49.9867936892648,6,75.7791724234709,20,82.0543897901677
"LT","LTU","Lithuania",2020,4,75.9992413957381,3,83.7482782595477,8,82.542145951936,25,61.750347893055,7,75.6401335249138,19,82.3797074480335
"LT","LTU","Lithuania",2021,4,76.4550303307577,4,83.4293529839313,7,80.9837325200097,24,62.7166828422851,7,75.5426063383766,19,81.997633615038
"LU","LUX","Luxembourg",2014,3,77.3574917014671,30,53.6923269455184,18,68.6795886643017,1,100,15,67.8422996221568,6,83.9093840407879
"LU","LUX","Luxembourg",2015,3,76.8245305215246,29,49.6500018336931,17,68.3312883852604,2,97.9867609307831,14,67.9033785485128,6,85.7983095467594
"LU","LUX","Luxembourg",2016,3,76.7024172990365,29,53.6831268056729,18,67.3098197889522,1,100,15,68.2289157644884,6,86.5535777931903
"LU","LUX","Luxembourg",2017,4,75.6083175482284,23,58.3849261444386,19,66.2606493743989,4,93.793257473687,14,68.0002064814567,5,88.0315728633581
"LU","LUX","Luxembourg",2018,4,73.6059078456056,26,57.1414712841436,19,65.8142023188681,4,92.4039527725967,13,65.7537878523171,4,88.4934014144835
"LU","LUX","Luxembourg",2019,6,74.2261953212326,25,56.6306727869726,19,65.6600246128698,4,90.2415652575896,13,65.0054549660214,9,92.5780576548744
"LU","LUX","Luxembourg",2020,7,74.5468732502134,25,54.3427617336197,19,65.9303217212694,4,92.8861090519054,13,65.290912121502,7,93.274756852142
"LU","LUX","Luxembourg",2021,7,73.5711449344642,25,53.2000527799026,20,59.2538297424409,4,92.4124936045111,13,65.1657267584562,6,93.2151534257814
"MX","MEX","Mexico",2014,28,56.6720788768433,31,53.1919721133377,9,83.1617351051853,29,48.9236347838388,10,72.3488679497391,35,40.5402488638285
"MX","MEX","Mexico",2015,31,53.425057294156,32,48.6961492414325,18,66.9333109034239,27,52.5306161758315,9,72.3827740655374,35,41.7180209041096
"MX","MEX","Mexico",2016,30,53.3044096374562,32,52.2103149669364,16,68.2770492773482,25,53.8970044237798,9,72.5608778392455,35,45.096308765811
