"country","year","corporate_rate_rank","corporate_rate","cost_recovery_rank","cost_recovery","incentives_rank","incentives","consumption_tax_rate_rank","consumption_tax_rate","consumption_tax_base_rank","consumption_tax_base","real_property_tax_rank","real_property_tax","wealth_taxes_rank","wealth_taxes","capital_taxes_rank","capital_taxes","capital_gains_and_dividends_rank","capital_gains_and_dividends","income_tax_rank","income_tax","income_tax_complexity_rank","income_tax_complexity","territorial_rank","territorial","withholding_taxes_rank","withholding_taxes","tax_treaties_rank","tax_treaties","international_regulations_rank","international_regulations","ISO_2","ISO_3"
"Mexico",2025,32,35.9056990890589,26,36.7483966653719,3,95.3105861403629,9,65.583403499832,26,50.7995883711508,9,74.2605256432,1,100,6,79.0905534368379,10,78.6545949502142,20,57.208370790834,31,80.1712528474033,36,32.5050379832844,35,39.7432884184247,28,53.4361329395082,13,46.5415650204484,"MX","MEX"
"Netherlands",2025,26,48.7245592712471,17,44.0902473269324,19,74.206472924525,19,45.3383467350273,14,63.5934937950661,25,63.9339106231233,12,70.4418214800388,14,63.8204527067141,33,41.347287894303,30,48.3734904618302,1,100,1,100,4,88.0429497001771,6,77.3647868455943,18,43.8495449268592,"NL","NLD"
"New Zealand",2025,30,42.0099182234342,38,27.3605857388655,16,78.9091672285542,8,69.632414852793,1,100,28,56.1305202184539,1,100,1,100,3,89.44578075337,16,60.3883502542936,1,100,1,100,22,53.6778945224857,35,41.1484457985451,9,61.9363682715297,"NZ","NZL"
"Norway",2025,12,60.3225756265603,30,32.837908975709,8,87.4112218695149,34,29.1423013231836,5,70.5842449319383,11,73.9609890404262,32,57.4060688601536,6,79.0905534368379,36,32.7256429889213,14,61.8512935137915,1,100,26,77.387978948191,6,80.0715828336286,16,68.310701583832,28,35.2071507817539,"NO","NOR"
"Poland",2025,5,69.4789043281233,15,45.973235905782,36,56.6909611909121,27,37.2403240291055,34,36.3051486031785,17,69.4518031984316,12,70.4418214800388,37,30.907258414703,16,68.7591527815552,11,66.3776752736567,38,31.6272301544399,34,51.0707208810305,20,54.9770631163996,14,71.5443034630328,28,35.2071507817539,"PL","POL"
"Portugal",2025,36,34.379644305465,10,48.4516836140742,37,43.5850261354419,27,37.2403240291055,13,64.0340217859134,23,65.4340547932594,12,70.4418214800388,14,63.8204527067141,22,58.9845234033502,35,39.5571566215281,1,100,16,78.5873295486634,32,42.7249080371809,20,65.0770997046312,28,35.2071507817539,"PT","PRT"
"Slovak Republic",2025,20,54.2183564921849,21,40.8201214380365,31,66.4894023084024,27,37.2403240291055,32,40.8974316157622,20,68.0551331270007,1,100,13,69.1313717036422,2,97.9462060288459,4,83.4032213076888,1,100,16,78.5873295486634,30,43.7167431217798,23,63.1369385771107,12,55.1839591655537,"SK","SVK"
"Slovenia",2025,12,60.3225756265603,29,33.6747259674761,10,86.9483291794727,25,41.2893353820664,31,46.7575675417854,35,41.3199098378773,12,70.4418214800388,6,79.0905534368379,9,79.4620602884592,29,48.9037103962455,1,100,33,62.142192330702,13,65.6349448223085,28,53.4361329395082,9,61.9363682715297,"SI","SVN"
"Spain",2025,21,51.1662469249972,33,31.1158886291797,35,57.7311448836008,19,45.3383467350273,17,60.0173469141467,26,61.3708418800132,36,27.8478903401924,32,46.1773591448267,27,47.6997499599957,17,59.9842419002846,1,100,27,75.2125814478277,24,52.4680069207561,9,76.071346093914,18,43.8495449268592,"ES","ESP"
"Sweden",2025,10,64.595529020623,19,42.6213385014535,6,91.9880301173452,34,29.1423013231836,6,69.1611966238662,12,73.676994970311,1,100,14,63.8204527067141,27,47.6997499599957,18,59.7443132723222,29,99.6708959733967,1,100,7,76.0858994003543,16,68.310701583832,34,26.5647566366485,"SE","SWE"
"Switzerland",2025,6,67.6237680388857,11,47.3211317639357,30,67.1152728037258,2,97.5705931882234,20,57.6383910548613,14,72.4648586493703,36,27.8478903401924,37,30.907258414703,7,82.3835822124259,12,65.9866888145528,1,100,1,100,27,47.8353335645631,3,85.7721517315164,2,89.2095607017859,"CH","CHE"
"Turkey",2025,21,51.1662469249972,18,43.549140145266,24,71.1520699682368,15,49.3873580879883,21,56.5940115986198,10,74.2253020933845,12,70.4418214800388,32,46.1773591448267,5,84.5965452163444,10,68.2041001383131,1,100,1,100,15,65.0984334065953,12,74.7779053422336,17,44.651579981319,"TR","TUR"
"United Kingdom",2025,21,51.1662469249972,20,42.3818670396627,34,62.2039347621622,15,49.3873580879883,37,29.7933117620316,38,22.5360720826915,12,70.4418214800388,24,48.22192514048,31,43.423828224966,27,54.3696253818228,1,100,1,100,9,70.1226601628419,1,100,28,35.2071507817539,"GB","GBR"
"United States",2025,25,49.4274173750365,5,61.8038336992669,12,82.4929158615771,1,100,25,51.6882477650282,36,37.822185036874,12,70.4418214800388,14,63.8204527067141,26,50.0718777308325,19,57.3281756566714,1,100,30,72.483391332367,36,31.2698896446171,25,56.0230144428689,18,43.8495449268592,"US","USA"
