"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"FR","FRA","France",2016,34.43,1,50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,0,0.425,26,1,6,0.550365,16.14954,1.22186173547076,2,80,0.3444675,0,0.44001,20,100243.902439024,0.481709458465818,31,0.5,1.20853350555733,0,0,0,0,0,0,0.95,0.88,1,0.3,0,0.3333,122,0.666666666666667,1
"GB","GBR","United Kingdom",2016,20,1,100,0.758823529411765,0,0.826923076923077,0,0,0,0.195,32,1,6,0.47,4.169222,1.39166394595796,1,48,0.28,0,0.381,20,118840.579710145,0.43384941239917,25,0.5,1.79540375225832,1,0,0,0,1,0,1,1,0,0,0.2,0.2,124,0.666666666666667,0
"GR","GRC","Greece",2016,29,0,5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,1,0.095,78,1,6,0.4937,24.577888,1.30586374484979,1,46,0.15,0,0.1,23,16393.4426229508,0.369899975249352,69,0,0.832618422831892,1,0,0,1,0,1,1,0,1,0.1,0.15,0.2,57,0.333333333333333,1
"HU","HUN","Hungary",2016,19,0,2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,0,0.285,35,2,7,0.345,0,1,2,146,0.15,0,0.15,27,44822.9493500672,0.560282618365676,96,0,0.291105101668525,1,0,0,0,1,1,1,1,0,0,0,0,77,0.666666666666667,0.5
"IE","IRL","Ireland",2016,12.5,1,100,0.787075165170195,0.479318672008477,0.646263719038607,0,0,0,0.26,12,1,7,0.52,1.601654,1.47871495293522,1,40,0.33,0,0.51,23,88339.222614841,0.484342527005503,29,0.5,0.528092105892006,1,0,0,1,1,0,0,1,1,0.2,0.2,0.2,70,0,0
"IL","ISR","Israel",2016,25,0,100,0.869865253929667,0.547953910556565,0.787075165170195,0.5,0,1,0,110,2,14,0.5,5.80213,1.72543938397561,12,60,0.27,1,0.32,17,25517.0103092784,0.627506880135321,69,0.5,1.24663554593622,1,1,0,1,1,1,0,0,1,0.3,0.25,0.25,53,0.666666666666667,0
"IS","ISL","Iceland",2016,20,0,10,0.86,0.477777777777778,0.812269350072009,0.5,0,1,0.24,40,1,7,0.443904,1.363465,1.25949960217418,13,60,0.2,0,0.2,24,7032.3488045007,0.455489850125124,40,0,0.788643904626296,1,0,1,0,1,1,1,1,0,0.18,0.1,0.2,39,0.666666666666667,0
"IT","ITA","Italy",2016,31.29275,0,80,0.760252585046526,0.462657542127945,0.965116279069767,1,1,0,0.04,39,2,11,0.488131,9.819967,1.21194454567725,1,198,0.26,0,0.26,22,40000,0.36700953480722,32,0,0.633295911575322,0,0,0,1,0,0,0.95,0.95,1,0.26,0.26,0.225,96,0.666666666666667,1
"JP","JPN","Japan",2016,29.97,0,7.2,0.769602272727273,0.278958448750364,0.787075165170195,0.5,0,1,0.06,87,3,13,0.56165275,8.739852,1.14198214852227,3,72.5,0.204,0,0.2032,8,94939.7132820659,0.687590467820163,22,0.5,0.791308202553824,1,0,0,1,0,1,0.95,0,0,0.2042,0.2042,0.2042,62,0.666666666666667,0.5
"KR","KOR","Korea",2016,24.2,0.5,8,0.921720532319392,0.547953910556565,0.737888702767901,1,0,0,0.135,83,2,8,0.43224367,4.1235,1.2473294809564,2,80,0,1,0.35398,10,26928.4712482468,0.692071068967643,25,0,0.331821061965573,1,0,0,1,0,0,0,0,1,0.22,0.22,0.22,85,0.666666666666667,0.5
"LT","LTU","Lithuania",2016,15,0,70,0.905263157894737,0.826923076923077,0.966194331983806,1,0,1,0.28,28,1,8,0.24,0.231005,1.0581364450969,2,85,0.15,NA,0.15,21,100671,0.504643678661337,58,0.5,0.186860630794976,1,0,1,1,1,1,1,1,1,0.15,0.1,0.1,53,0.333333333333333,0.5
"LU","LUX","Luxembourg",2016,29.22,0,100,0.870869546099498,0.479318672008477,0.869865253929667,1,0,0,-0.01,19,5,6,0.455,2.932785,1.34592219602226,12,14,0,1,0.2,17,27777.7777777778,1.2474565313124,22,0.5,0.0498346607700116,1,0,0,0,1,1,1,1,0,0.15,0,0,74,0,0.5
"LV","LVA","Latvia",2016,15,0,100,0.905263157894737,0.614285714285714,0.869865253929667,0.5,0,1,0.28,28,1,5,0.1901,0.104819,1.03894267570866,1,99,0.15,0,0.1,21,98619.3293885602,0.506100728664033,66,0.5,0.379566182821181,1,1,0,1,1,1,1,1,1,0,0,0,58,0,0.5
"MX","MEX","Mexico",2016,30,0,10,0.737888702767901,0.547953910556565,0.737888702767901,1,0,1,-0.01,102,1,3,0.35,27.92276,1.25567288631974,2,38.5,0.1,1,0.17142857,16,0,0.321338552498364,100,0.5,0.104179671992148,1,0,0,1,1,1,0,0,1,0.1,0.4,0.4,55,1,0.5
"NL","NLD","Netherlands",2016,25,1,9,0.813463195231154,0.338474732816403,0.737888702767901,1,0,0,0.195,22,1,7,0.52732637,1.221825,1.32193547256796,1,64,0.3,1,0.25,21,1620.48192771084,0.468596681969462,34,0.5,0.492742056687792,0,0,0,1,1,1,1,1,0,0.15,0,0,96,0,0
"NO","NOR","Norway",2016,25,0,100,0.781818181818182,0.373913043478261,0.737888702767901,0,0,1,0.2325,24,1,2,0.472,1.59089,1.287681318433,1,15,0.288,0,0.2875,25,5102.04081632653,0.561574851213185,44,0.5,0.176143327409301,0,1,0,0,1,1,0.97,0.97,1,0.25,0,0,87,0.666666666666667,1
"NZ","NZL","New Zealand",2016,28,0,100,0.731914893617021,0.307142857142857,0.737888702767901,0.5,0,1,-0.02,34,1,5,0.33,1.247558,1.50905347658731,2,59,0,1,0.06944444,15,40816.3265306122,0.949343370156744,59,1,1.27849669761265,1,1,1,1,1,1,1,1,0,0.3,0.15,0.15,39,0.333333333333333,0.5
"PL","POL","Poland",2016,19,0,2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,0,1,0,70,1,4,0.38751185,2.181915,1.03968166817908,2,103,0.19,0,0.19,23,83333.3333333333,0.436203895691829,96,0.5,0.951528601914226,1,0,0,0,0,0,1,0,1,0.19,0.2,0.2,84,0.666666666666667,1
"PT","PRT","Portugal",2016,29.5,0,8.4,0.888411247396436,0.547953910556565,0.737888702767901,0.5,0,1,0.35,63,1,6,0.61285,16.172343,1.2981902575329,1,116,0.28,1,0.28,23,16949.1525423729,0.48511254225391,96,0.5,0.371387850425584,1,0,0,0,1,1,1,1,1,0.25,0.25,0.25,64,0.666666666666667,1
"SE","SWE","Sweden",2016,22,1.5,100,0.86,0.479318672008477,0.86,0,0,1,0.05,50,1,4,0.5699,1.519275,1.24123188281099,1,36,0.3,0,0.3,25,0,0.56680624436407,36,0.5,0.389179260932396,1,1,0,1,1,1,1,1,0,0.3,0,0,81,0.666666666666667,0.5
"SI","SVN","Slovenia",2016,17,0,50,0.869865253929667,0.391406012913837,0.737888702767901,0.5,0,1,0.17,74,1,8,0.6105,5.265523,1.19592515487121,1,90,0,1,0.25,22,83333.3333333333,0.590631982468831,69,0,0.223290125270195,1,0,0,0,1,1,0.95,0.475,1,0.15,0.15,0.15,57,0,0.5
"SK","SVK","Slovak Republic",2016,22,0,4,0.873879108036537,0.547953910556565,0.869865253929667,0.5,0,1,0.095,42,1,9,0.3505,3.793434,1.11940701502723,1,62,0,0,0,20,99580,0.485318044537937,84,0.5,0.203135717918328,1,1,1,0,1,1,1,0,1,0,0.19,0.19,66,0,1
"TR","TUR","Turkey",2016,20,0,5,0.864149148541634,0.431068736527055,0.69441435606903,0.5,1,0,0.055,49,1,8,0.358,3.862626,1.16086644357649,1,80,0,1,0.175,18,0,0.398955325784995,97,0.5,0.130026059989631,1,0,0,1,0,0,1,1,0,0.15,0.1,0.2,81,1,0.5
"US","USA","United States",2016,38.923934,2,20,0.93846273303009,0.34958311169213,0.632751338890881,1,0,1,0.035,87,2.4,4.6,0.486,8.20792,1.25748823286665,3.6,55,0.251,0,0.2851581,7.3,0,0.358,33,0.5,1.5510111108497,1,0,0,0,1,1,0,0,0,0.3,0.3,0.3,66,0.333333333333333,0.5
"AT","AUT","Austria",2017,25,0,75,0.813463195231154,0.338474732816403,0.737888702767901,1,0,1,0.15,46,1,8,0.55,24.310926,1.13251138577789,3,50,0.275,0,0.275,20,36585.3658536585,0.58895997712564,35,0,0.0900118992586461,1,1,0,0,1,1,1,1,0,0.275,0,0.2,86,0,0.5
"AU","AUS","Australia",2017,30,0,100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,1,0.1525,37,1,6,0.49,2.194088,1.4134143528398,4,18,0.245,0,0.2428,10,50335.5704697987,0.495545496897089,50,1,0.942644344499768,1,1,0,1,1,1,1,1,0,0.3,0.1,0.3,44,0.333333333333333,0.5
"BE","BEL","Belgium",2017,33.99,0,100,0.875897349190039,0.622404878792567,1.00486525392967,1,1,0,0.155,21,1,8,0.60533822,1.046325,1.22915827485894,2,40,0,1,0.3,21,30487.8048780488,0.468344652876705,75,0.5,0.550312893886719,1,0,0,1,1,0,0.95,0.987878788,0,0.3,0.3,0.3,93,0,0.5
"CA","CAN","Canada",2017,26.65,3,20,0.965116279069767,0.242105263157895,0.518965517241379,0.5,0,1,0.2125,45,1,4,0.535296,4.328839,1.16753592251421,3,36,0.2675,0,0.39343524,12.4,24000,0.475086511535308,50,0.5,1.47761532802092,1,1,0,0,0,1,1,0.5,1,0.25,0.25,0.25,93,0.333333333333333,0.5
"CH","CHE","Switzerland",2017,21.148581,0,7,0.86,0.554838709677419,0.905263157894737,1,0,1,-0.01,15,2,10,0.41729972,3.371824,1.36170721338098,7,40,0,1,0.21135,8,78125,0.687045780392545,8,0.5,0.0731315037492963,0,0,0,0,0,0,1,1,0,0.35,0.35,0,92,0,0.5
"CL","CHL","Chile",2017,25,0,100,0.632611659769417,0.338474732816403,0,0.5,0,1,0.305,42,1,5,0.4,9.754696,1.15013270338827,1,124.5,0.35,0,0.13333333,19,0,0.642550959621906,124.5,0.5,0.382646531596812,1,0,1,0,1,1,0,0,1,0.35,0.35,0.3,26,0.666666666666667,0.5
"CZ","CZE","Czech Republic",2017,19,0,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,1,0.18,53,1,5,0.11,3e-06,1.12300416441405,2,75,0.15,1,0.15,21,75872.5341426404,0.587342193235465,94,0.5,0.0948521266311681,1,0,0,1,1,1,1,1,1,0.15,0.15,0.15,88,0,0.5
"DE","DEU","Germany",2017,29.889263,1,60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,1,-0.02,41,2,6,0.47475,5.481573,1.10177847768563,1,134,0.26375,0,0.26375,19,22151.8987341772,0.555961693374702,43,0.5,0.19748306696887,1,0,0,1,1,1,0.95,0.95,0,0.26375,0,0.15825,95,0.333333333333333,1
"DK","DNK","Denmark",2017,22,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,1,-0.01,27,3,6,0.55794,1.249225,1.29210745273779,1,65,0.42,0,0.42,25,6666.66666666667,0.573526842925167,40,0.5,0.697950016354121,1,0,0,1,1,1,1,1,1,0.27,0.22,0.22,73,0.666666666666667,0.5
"EE","EST","Estonia",2017,20,100,100,1,1,1,1,1,1,0,5,1,7,0.016,0.147724,1.05342664790177,0,31,0.2,0,0,20,28571.4285714286,0.729103999536852,20,1,0.134874821641954,1,1,1,1,1,1,1,1,1,0,0,0.1,56,0.666666666666667,0
"ES","ESP","Spain",2017,25,0,70,0.778563038959402,0.391406012913837,0.737888702767901,0.5,0,0,0.295,33,1,6,0.45,2.449093,1.12658341600752,1,84,0.23,0,0.23,21,0,0.425498168627791,35,0,0.509848538724992,0,0,0,1,0,1,1,1,1,0.19,0.19,0.19,92,0.333333333333333,1
"FI","FIN","Finland",2017,20,0,10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,1,-0.005,21,1,4,0.58943686,1.803856,1.27354071903888,3,48,0.34,0,0.289,24,10752.688172043,0.533878523080525,24,0.5,0.330897261588108,1,0,0,1,1,0,1,1,1,0.2,0,0.2,75,0.666666666666667,1
"FR","FRA","France",2017,44.42889,1,50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,0,0.405,28,1,6,0.55062,16.024694,1.21435495680606,2,80,0.3444675,0,0.44001,20,100243.902439024,0.485072744899431,31,0.5,1.2380706797117,0,0,0,0,0,0,0.95,0.88,1,0.3,0,0.3333,122,0.666666666666667,1
"GB","GBR","United Kingdom",2017,19,1,50,0.758823529411765,0,0.826923076923077,0,0,0,0.195,32,1,6,0.47,4.042911,1.38504927016457,1,48,0.2,0,0.381,20,118840.579710145,0.441162837936398,25,0.5,1.80908592806225,1,0,0,0,1,0,1,1,0,0,0.2,0.2,126,0.666666666666667,1
"GR","GRC","Greece",2017,29,0,5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,1,0.095,78,1,6,0.54325,11.218841,1.25239458228101,1,46,0.15,0,0.15,24,16393.4426229508,0.383647353956222,69,0,0.949335190735103,1,0,0,1,0,1,1,0,1,0.15,0.15,0.2,57,0.333333333333333,1
"HU","HUN","Hungary",2017,9,0,2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,0,0.285,35,2,7,0.335,0,1,2,146,0.15,0,0.15,27,44822.9493500672,0.596712802594611,96,0,0.295307871044614,1,0,0,0,1,1,1,1,0,0,0,0,80,0.666666666666667,0.5
"IE","IRL","Ireland",2017,12.5,1,100,0.787075165170195,0.479318672008477,0.646263719038607,0,0,0,0.26,12,1,7,0.52,1.566533,1.47842181932419,1,40,0.33,0,0.51,23,88339.222614841,0.484759438197319,29,0.5,0.486701225789942,1,0,0,1,1,0,0,1,1,0.2,0.2,0.2,72,0,0
"IL","ISR","Israel",2017,24,0,100,0.869865253929667,0.547953910556565,0.787075165170195,0.5,0,0,0,110,2,14,0.5,5.59539,1.71909144696196,12,60,0.27,1,0.27,17,25517.0103092784,0.624583395914838,69,0.5,1.26240980636888,1,1,0,1,1,1,0,0,1,0.3,0.24,0.24,54,0.666666666666667,0
"IS","ISL","Iceland",2017,20,0,10,0.86,0.477777777777778,0.812269350072009,0.5,0,1,0.24,40,1,7,0.44399998,1.261743,1.28714798664075,13,60,0.2,0,0.2,24,7032.3488045007,0.524289597466797,40,0,0.82811386811624,1,0,1,0,1,1,1,1,0,0.18,0.1,0.2,41,0.666666666666667,1
"IT","ITA","Italy",2017,27.8064,0,80,0.760252585046526,0.462657542127945,0.965116279069767,1,1,0,0.04,39,2,11,0.488131,9.797844,1.21202533087431,1,169,0.26,0,0.26,22,40000,0.377371504948421,32,0,0.643971735662305,0,0,0,1,0,0,0.95,0.95,1,0.26,0.26,0.225,97,0.666666666666667,1
"JP","JPN","Japan",2017,29.97,0,4.95,0.769602272727273,0.278958448750364,0.787075165170195,0.5,0,1,0.0625,38,3,13,0.56121221,8.632352,1.13836205021925,3,70.5,0.204,0,0.2032,8,94939.7132820659,0.728203213265697,20,0.5,0.780382650764785,1,0,0,1,0,1,0.95,0,0,0.2042,0.2042,0.2042,63,0.666666666666667,0.5
"KR","KOR","Korea",2017,24.2,0.5,8,0.921720532319392,0.547953910556565,0.737888702767901,1,0,0,0.135,83,2,8,0.43239866,3.966328,1.26094950387518,2,80,0,1,0.3784,10,26928.4712482468,0.636067104540328,25,0,0.341749068360414,1,0,0,1,0,0,0,0,1,0.22,0.22,0.22,91,0.666666666666667,0.5
"LT","LTU","Lithuania",2017,15,0,70,0.905263157894737,0.826923076923077,0.966194331983806,1,0,1,0.28,28,1,8,0.24,0.256148,1.0708081936756,2,85,0.15,NA,0.15,21,100223,0.509204814364489,58,0.5,0.209686042458304,1,0,1,1,1,1,1,1,1,0.15,0.1,0.1,53,0.333333333333333,0.5
"LU","LUX","Luxembourg",2017,27.08,0,17,0.870869546099498,0.479318672008477,0.869865253929667,1,0,1,-0.01,19,5,6,0.455,2.902134,1.34225274673982,12,14,0,1,0.21,17,27777.7777777778,0.955762392001671,22,0.5,0.0483522923829296,1,0,0,0,1,1,1,1,0,0.15,0,0,79,0,0.5
"LV","LVA","Latvia",2017,15,0,75,0.905263157894737,0.614285714285714,0.869865253929667,0.5,0,1,0.28,22.5,1,5,0.14985,0.13215,1.04992031090707,1,80,0.15,0,0.1,21,98619.3293885602,0.520651810028962,66,0.5,0.379513563275897,1,1,0,1,1,1,1,1,1,0,0,0,59,0,0.5
"MX","MEX","Mexico",2017,30,0,10,0.737888702767901,0.547953910556565,0.737888702767901,1,0,1,-0.01,102,1,3,0.35,26.87409,1.23746732246364,2,38.5,0.1,1,0.17142857,16,0,0.321940337203395,100,0.5,0.0942690265477634,1,0,0,1,1,1,0,0,1,0.1,0.4,0.4,55,1,0.5
"NL","NLD","Netherlands",2017,25,1,9,0.813463195231154,0.338474732816403,0.737888702767901,1,0,0,0.225,21,1,7,0.526512,1.393037,1.33041468232977,1,64,0.3,1,0.25,21,1620.48192771084,0.487597335581894,34,0.5,0.48434015120363,0,0,0,1,1,1,1,1,0,0.15,0,0,96,0,0
"NO","NOR","Norway",2017,24,0,100,0.781818181818182,0.373913043478261,0.737888702767901,0,0,1,0.225,24,1,2,0.469,1.606216,1.29673526626966,1,15,0.298,0,0.2976,25,5102.04081632653,0.558441281337383,44,0.5,0.191386594985159,0,1,0,0,1,1,0.97,1,1,0.25,0,0,87,0.666666666666667,1
"NZ","NZL","New Zealand",2017,28,0,100,0.731914893617021,0.307142857142857,0.737888702767901,0.5,0,1,-0.02,34,1,4,0.33,1.214258,1.48882085086912,2,59,0,1,0.06944444,15,40816.3265306122,0.95932608776232,59,1,1.26449807506374,1,1,1,1,1,1,1,1,0,0.3,0.15,0.15,40,0.333333333333333,0.5
"PL","POL","Poland",2017,19,0,2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,0,1,0.0475,70,1,4,0.38751185,2.110023,1.03865683981747,2,103,0.19,0,0.19,23,83333.3333333333,0.437557067388469,96,0.5,0.94325252414754,1,0,0,0,0,0,1,0,1,0.19,0.2,0.2,84,0.666666666666667,1
"PT","PRT","Portugal",2017,29.5,0,3.5,0.888411247396436,0.547953910556565,0.737888702767901,0.5,1,0,0.35,63,1,6,0.61285,15.980727,1.2734715158479,1,90,0.28,1,0.28,23,16949.1525423729,0.495145945911459,90,0.5,0.393429900235324,1,0,0,0,1,1,1,1,1,0.25,0.25,0.25,68,0.666666666666667,1
"SE","SWE","Sweden",2017,22,1.5,100,0.86,0.479318672008477,0.86,0,0,1,0.05,50,1,4,0.601,1.503143,1.24350576078361,1,36,0.3,0,0.3,25,0,0.583511565081778,36,0.5,0.378900759390472,1,1,0,1,1,1,1,1,0,0.3,0,0,81,0.666666666666667,0.5
"SI","SVN","Slovenia",2017,19,0,50,0.869865253929667,0.391406012913837,0.737888702767901,0.5,0,1,0.17,74,1,8,0.6105,5.194874,1.19671666841248,1,90,0,1,0.25,22,83333.3333333333,0.591460387633486,69,0,0.227530956724839,1,0,0,0,1,1,0.95,0.475,1,0.15,0.15,0.15,57,0,0.5
"SK","SVK","Slovak Republic",2017,21,0,4,0.873879108036537,0.547953910556565,0.869865253929667,0.5,0,1,0.095,46,1,6,0.3505,3.68508,1.11560051461157,1,62,0,0,0.07,20,99580,0.510256284906862,84,0.5,0.204684884236922,1,1,1,0,1,1,1,0,1,0.35,0.19,0.19,67,0,1
"TR","TUR","Turkey",2017,20,0,5,0.864149148541634,0.431068736527055,0.69441435606903,0.5,1,0,0.055,45.5,1,8,0.358,3.460417,1.21117881249185,1,80,0,1,0.175,18,0,0.41640592899826,91,0.5,0.13243624758706,1,0,0,1,0,0,1,1,0,0.15,0.1,0.2,83,1,0.5
"US","USA","United States",2017,38.906474,2,20,0.93846273303009,0.34958311169213,0.632751338890881,1,0,1,0.0375,87,2.4,4.6,0.486,8.088075,1.25390642247726,3.6,55,0.251,0,0.28506064,7.4,0,0.351,33,0.5,1.54121305851376,1,0,0,0,1,1,0,0,0,0.3,0.3,0.3,66,0.333333333333333,0.5
"AT","AUT","Austria",2018,25,0,75,0.813463195231154,0.338474732816403,0.737888702767901,1,0,1,0.15,46,1,8,0.55,23.826478,1.12775449123379,3,50,0.275,0,0.275,20,37457.4389849533,0.595346920500117,35,0,0.0891521752056925,1,1,0,0,1,1,1,1,0,0.275,0,0.2,88,0,0.5
"AU","AUS","Australia",2018,30,0,100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,1,0.1375,37,1,6,0.49,2.15994,1.37619491228587,4,18,0.245,0,0.2428,10,50950.9831162029,0.495677137783973,50,1,0.987759566477471,1,1,0,1,1,1,1,1,0,0.3,0.1,0.3,44,0.333333333333333,0.5
"BE","BEL","Belgium",2018,29.58,0,100,0.875897349190039,0.622404878792567,1.00486525392967,1,1,0,0.15,21,1,8,0.60215738,1.044424,1.22788012132812,2,40,0,1,0.3,21,31109.1533083962,0.476392998987602,75,0.5,0.559775703063926,0,0,0,1,1,0,1,1,0,0.3,0.3,0.3,95,0,0.5
"CA","CAN","Canada",2018,26.78,3,20,0.965116279069767,0.242105263157895,0.518965517241379,0.5,0,1,0.2125,45,1,4,0.535296,4.261458,1.18111708242576,3,36,0.2675,0,0.39343524,12.4,23975.8898451717,0.474503207079933,50,0.5,1.46840721547966,1,1,0,0,0,1,1,0.5,1,0.25,0.25,0.25,93,0.333333333333333,0.5
"CH","CHE","Switzerland",2018,21.148581,0,7,0.86,0.554838709677419,0.905263157894737,1,0,1,-0.01,15,2,10,0.41692468,3.359721,1.35995394491048,7,40,0,1,0.21135,7.7,81953.3750858462,0.682580340126438,8,0.5,0.0768499809996211,0,0,0,0,0,0,1,1,0,0.35,0.35,0,92,0,0.5
"CL","CHL","Chile",2018,25,0,100,0.632611659769417,0.338474732816403,0,0.5,0,1,0.305,42,1,5,0.35,7.727266,1.1460878682868,1,124.5,0.35,0,0.13333333,19,0,0.638025880525371,124.5,0.5,0.392448473512897,1,0,1,0,1,1,0,0,1,0.35,0.35,0.3,32,0.666666666666667,0.5
"CZ","CZE","Czech Republic",2018,19,0,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,1,0.18,53,1,5,0.11,3e-06,1.11430887715784,2,75,0.15,1,0.15,21,76296.5356413544,0.600302406645114,108,0.5,0.094893712558346,1,0,0,1,1,1,1,1,1,0.15,0.15,0.15,88,0,0.5
"DE","DEU","Germany",2018,29.897059,1,60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,1,-0.02,41,2,6,0.47475,5.441752,1.09954802901742,1,134,0.26375,0,0.26375,19,22456.2808292655,0.556567367932321,43,0.5,0.200085158778716,1,0,0,1,1,1,0.95,0.95,0,0.26375,0,0.15825,95,0.333333333333333,1
"DK","DNK","Denmark",2018,22,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,1,-0.01,27,3,6,0.55794,1.265165,1.29658266430956,1,65,0.42,0,0.42,25,6907.63633670914,0.596063795426487,40,0.5,0.699815594518791,1,0,0,1,1,1,1,1,1,0.27,0.22,0.22,73,0.666666666666667,0.5
"EE","EST","Estonia",2018,20,100,100,1,1,1,1,1,1,0,5,1,7,0.1888,0.146415,1.05292647685851,0,31,0.2,0,0,20,72611.8858395931,0.728150828092231,14,1,0.136401906870112,1,1,1,1,1,1,1,1,1,0,0,0.1,56,0.666666666666667,0
"ES","ESP","Spain",2018,25,0,70,0.778563038959402,0.391406012913837,0.737888702767901,0.5,0,0,0.295,33,1,7,0.435,2.442919,1.21946414002396,1,84,0.23,0,0.23,21,0,0.430877668728623,35,0,0.513482348150371,0,0,0,1,0,1,1,1,1,0.19,0.19,0.24,93,0.333333333333333,1
"FI","FIN","Finland",2018,20,0,10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,1,-0.005,21,1,4,0.58349397,1.844204,1.29129398292461,3,48,0.34,0,0.289,24,11062.4119155451,0.543890115085756,24,0.5,0.340979440912823,1,0,0,1,1,0,1,1,1,0.2,0,0.2,76,0.666666666666667,1
"FR","FRA","France",2018,34.43,1,50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,0,0.405,28,1,6,0.550875,15.749776,1.21463280049877,2,80,0.3,0,0.34,20,103912.923981672,0.48566405924343,31,0.5,1.26600190227549,0,0,0,0,0,0,0.95,0.88,1,0.3,0,0.333,122,0.666666666666667,1
"GB","GBR","United Kingdom",2018,19,1,50,0.758823529411765,0,0.826923076923077,0,0,0,0.185,32,1,6,0.47,3.894003,1.38301936016998,1,48,0.2,0,0.381,20,119167.287037543,0.438381144265963,25,0.5,1.82644213931597,1,0,0,0,1,0,1,1,0,0,0.2,0.2,129,0.666666666666667,1
"GR","GRC","Greece",2018,29,0,5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,1,0.095,78,1,6,0.54325,11.143308,1.24740670512894,1,46,0.15,0,0.15,24,16710.6993594789,0.436878506277984,69,0,1.01268812349867,1,0,0,1,0,1,1,0,1,0.15,0.15,0.2,57,0.333333333333333,1
"HU","HUN","Hungary",2018,9,0,2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,0,0.21,35,2,7,0.335,0,1,2,146,0.15,0,0.15,27,57601.502523673,0.567176393235143,96,0,0.300991594615544,1,0,0,0,1,1,1,1,0,0,0,0,80,0.333333333333333,0.5
"IE","IRL","Ireland",2018,12.5,1,100,0.787075165170195,0.479318672008477,0.646263719038607,0,0,0,0.26,12,1,7,0.52,1.539297,1.47558009748607,1,40,0.33,0,0.51,23,92218.141398691,0.498533689864113,29,0.5,0.433630138669984,1,0,0,1,1,0,0,1,1,0.2,0.2,0.2,72,0,0
"IL","ISR","Israel",2018,23,0,100,0.869865253929667,0.391406012913837,0.787075165170195,0.5,0,0,0,110,2,14,0.5,4.3262,1.7328340570961,12,60,0.28,1,0.33,17,26132.3890060412,0.632540965239364,69,0.5,1.24377855542268,1,1,0,1,1,1,0,0,1,0.3,0.23,0.23,54,0.666666666666667,0
"IS","ISL","Iceland",2018,20,0,10,0.86,0.602353618717047,0.812269350072009,0.5,0,1,0.24,40,1,7,0.443904,1.191078,1.28118069605336,13,60,0.22,0,0.22,24,14202.1555989162,0.546822043581059,40,0,0.901097632333986,1,0,1,0,1,1,1,1,0,0.2,0.12,0.2,44,0.666666666666667,1
"IT","ITA","Italy",2018,27.8064,0,80,0.760252585046526,0.462657542127945,0.965116279069767,1,1,0,0.09,39,2,11,0.52765573,2.712898,1.2122797460602,1,169,0.26,0,0.26,22,90380.9627102053,0.378756793044304,30,0,0.550634818591751,0,0,0,1,0,0,0.95,0.95,1,0.26,0.26,0.225,100,0.666666666666667,1
"JP","JPN","Japan",2018,29.74,0,5,0.769602272727273,0.278958448750364,0.787075165170195,0.5,0,1,0.0875,38,3,13,0.56077165,8.595115,1.13671311343403,3,70.5,0.204,0,0.2032,8,100407.568377102,0.7125070110352,20,0.5,0.79542786772275,1,0,0,0,0,1,0.95,0,0,0.2,0.2,0.2,66,0.666666666666667,0.5
"KR","KOR","Korea",2018,27.5,0.5,7,0.921720532319392,0.547953910556565,0.737888702767901,1,0,0,0.13,83,2,8,0.45309839,11.975707,1.25964439491447,2,80,0,1,0.4028,10,34205.4862364084,0.696451079081173,25,0,0.344488071284519,1,0,0,1,0,0,0,0,1,0.22,0.22,0.22,93,0.666666666666667,0.5
