"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"NZ","NZL","New Zealand",2015,28,0,100,0.731914893617021,0.307142857142857,0.737888702767901,0.5,0,1,-0.015,34,1,5,0.33,1.27894,1.52863068710885,2,59,0,1,0.06944444,15,38134.0006652947,0.933812450268339,59,1,1.27893413997417,1,1,1,1,1,1,1,1,0,0.3,0.15,0.15,39,0.333333333333333,0.5
"PL","POL","Poland",2015,19,0,2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,0,1,0,70,1,16,0.38751185,2.261463,1.04118809904881,2,103,0.19,0,0.19,23,77747.204225308,0.424784026135982,113,0.5,0.947056491095155,1,0,0,0,0,0,1,0,1,0.19,0.2,0.2,84,0.666666666666667,1
"PT","PRT","Portugal",2015,29.5,0,8.4,0.888411247396436,0.547953910556565,0.737888702767901,0.5,0,1,0.36,63,1,6,0.61285,16.224802,1.32780148973084,1,116,0.28,1,0.28,23,14317.549643698,0.458747463006593,96,0.5,0.34209536262211,1,0,0,0,1,1,1,1,1,0.25,0.25,0.25,63,0.666666666666667,1
"SE","SWE","Sweden",2015,22,1.5,100,0.86,0.479318672008477,0.86,0,0,1,0.05,50,1,4,0.5686,1.508153,1.24159996210409,1,36,0.3,0,0.3,25,0,0.559744877330602,36,0.5,0.399377429665318,1,1,0,1,1,1,1,1,0,0.3,0,0,80,0.666666666666667,0.5
"SI","SVN","Slovenia",2015,17,0,50,0.869865253929667,0.391406012913837,0.737888702767901,0.5,0,1,0.17,74,1,8,0.6105,5.307771,1.19780804585969,1,90,0,1,0.25,22,74142.1047824595,0.601906459423934,69,0,0.230307848626956,1,0,0,0,1,1,0.95,0.475,1,0.15,0.15,0.15,57,0,0.5
"SK","SVK","Slovak Republic",2015,22,0,4,0.873879108036537,0.652728119257913,0.869865253929667,0.5,0,1,-0.01,42,1,20,0.3505,3.880309,1.12247559781109,1,62,0.22,0,0,20,86990.532950811,0.462482426412319,103,0.5,0.201914680009992,1,1,1,0,1,1,1,0,1,0,0.19,0.19,66,0,1
"TR","TUR","Turkey",2015,20,0,5,0.864149148541634,0.431068736527055,0.69441435606903,0.5,0,1,0.055,49,1,8,0.358,3.998254,1.16689114988297,1,80,0,1,0.175,18,0,0.438792781932007,97,0.5,0.117266966061887,1,0,0,1,0,0,1,1,0,0.15,0.1,0.2,80,1,0.5
"US","USA","United States",2015,38.9975,2,20,0.93846273303009,0.34958311169213,0.632751338890881,1,0,1,0.035,87,2.4,4.6,0.486,8.220619,1.24980377805961,3.6,55,0.251,0,0.28535406,7.3,0,0.354,33,0.5,1.5559681390471,1,0,0,0,1,1,0,0,0,0.3,0.3,0.3,66,0.333333333333333,0.5
"AT","AUT","Austria",2016,25,0,75,0.813463195231154,0.391406012913837,0.737888702767901,1,0,1,0.12,46,1,8,0.5,13.539476,1.10522284256619,3,50,0.275,0,0.275,20,36585.3658536585,0.581548019729405,35,0,0.0902351282131577,1,1,0,0,1,1,1,1,0,0.275,0,0.2,86,0,0.5
"AU","AUS","Australia",2016,30,0,100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,1,0.1425,37,1,6,0.49,2.229938,1.42302741528584,4,18,0.245,0,0.27121,10,50335.5704697987,0.484352186885038,50,1,0.919434914575111,1,1,0,1,1,1,1,1,0,0.3,0.1,0.3,44,0.333333333333333,0.5
