ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_time,profit_payments,other_payments,top_income_rate,threshold_top_income_rate,tax_wedge,labor_payments,labor_time,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth_str,estate_or_inheritance_tax_str,transfer_tax,asset_tax_str,capital_duties_str,financial_transaction_tax_str,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
CA,CAN,Canada,2018,0.2678,3,20,0.965116279,0.242105263,0.518965517,0.5,0,0,0.2125,0,45,1,4,0.535296,4.261458,1.181117082,3,36,0.2675,0,0.39343524,12.4,23975.88985,0.480966841,50,0.5,1.473438797,No,No,Real Estate Transfer Tax,Bank Tax in Certain Provinces,Yes,No,1,0.5,1,0.25,0.25,0.25,93,0.333333333,0.5
CA,CAN,Canada,2019,0.2661,3,20,1,0.426086957,0.49,0.5,0,0,0.2125,0,45,1,4,0.535296,4.084894,1.220589206,3,36,0.2675,NA,0.39344076,12.4,23975.88985,0.489186666,50,0.5,1.456959966,No,No,Real Estate Transfer Tax,Bank Tax in Certain Provinces,Yes,No,1,0.5,1,0.25,0.25,0.25,94,0.333333333,0.5
CA,CAN,Canada,2020,0.2615,3,20,1,0.426086957,0.49,0.5,0,0,0.2125,0,45,1,4,0.535296,3.968359,1.289100756,3,36,0.2675,NA,0.39344076,12.4,25130.19535,0.488548264,50,0.5,1.475574738,No,No,Real Estate Transfer Tax,Bank Tax in Certain Provinces,Yes,No,1,0.5,1,0.25,0.25,0.25,96,0.333333333,0.5
CA,CAN,Canada,2021,0.2615,3,20,1,0.426086957,0.49,0.5,0,0,0.2125,0,45,1,4,0.535296,3.842896,1.37508437,3,36,0.2675,NA,0.39344076,12.4,25039.8969,0.480243206,50,0.5,1.473986083,No,No,Real Estate Transfer Tax,Bank Tax in Certain Provinces,Yes,No,1,0.5,1,0.25,0.25,0.25,96,0.333333333,0.5
CL,CHL,Chile,2014,0.21,100,100,0.63261166,0.338474733,0,0.5,0,0,0.315,0,42,1,5,0.4,10.408629,1.162326744,1,124.5,0.2,0,0.24050633,19,0,0.645633947,124.5,0.5,0.428327307,No,Inheritance and Gift Tax,No,Yearly fee on tax-adjusted equity,No,No,0,0,1,0.35,0.35,0.15,25,0,0.5
CL,CHL,Chile,2015,0.225,100,100,0.63261166,0.338474733,0,0.5,0,0,0.31,0,42,1,5,0.4,10.379357,1.161679952,1,124.5,0.2,0,0.22580645,19,0,0.637910442,124.5,0.5,0.411617152,No,Inheritance and Gift Tax,No,Yearly fee on tax-adjusted equity,No,No,0,0,1,0.35,0.35,0.15,25,0,0.5
CL,CHL,Chile,2016,0.24,100,100,0.63261166,0.338474733,0,0.5,0,0,0.305,0,42,1,5,0.4,10.035255,1.155359968,1,124.5,0.4,0,0.21052632,19,0,0.635317261,124.5,0.5,0.385722142,No,Inheritance and Gift Tax,No,Yearly fee on tax-adjusted equity,No,No,0,0,1,0.35,0.35,0.15,25,0.666666667,0.5
CL,CHL,Chile,2017,0.25,0,100,0.63261166,0.338474733,0,0.5,0,0,0.305,0,42,1,5,0.4,9.754696,1.150132703,1,124.5,0.35,0,0.13333333,19,0,0.642838654,124.5,0.5,0.388400525,No,Inheritance and Gift Tax,No,Yearly fee on tax-adjusted equity,No,No,0,0,1,0.35,0.35,0.15,26,0.666666667,0.5
CL,CHL,Chile,2018,0.25,0,100,0.63261166,0.338474733,0,0.5,0,0,0.305,0,42,1,5,0.35,7.727266,1.146087868,1,124.5,0.35,0,0.13333333,19,0,0.634291095,124.5,0.5,0.398286312,No,Inheritance and Gift Tax,No,Yearly fee on tax-adjusted equity,No,No,0,0,1,0.35,0.35,0.15,32,0.666666667,0.5
CL,CHL,Chile,2019,0.25,0,100,0.63261166,0.338474733,0,0.5,0,0,0.305,0,42,1,5,0.35,7.705428,1.252828433,1,124.5,0.35,NA,0.13333333,19,0,0.638195438,124.5,0.5,0.396411009,No,Inheritance and Gift Tax,No,Yearly fee on tax-adjusted equity,No,No,0,0,1,0.35,0.35,0.15,33,0.666666667,0.5
CL,CHL,Chile,2020,0.1,0,100,0.63261166,0.338474733,0,0.5,0,0,0.305,0,48,1,5,0.4,7.621055,1.249126175,1,124.5,0.35,NA,0.33333333,19,0,0.642205972,123.5,0.5,0.416129002,No,Inheritance and Gift Tax,No,Yearly fee on tax-adjusted equity,No,No,0,0,1,0.35,0.35,0.15,33,0.666666667,0.5
CL,CHL,Chile,2021,0.1,0,100,1,1,1,0.5,0,0,0.305,0,48,1,5,0.4,7.660926,1.250499362,1,124.5,0.4,NA,0.33333333,19,0,0.630344868,123.5,0.5,0.413946752,No,Inheritance and Gift Tax,No,Yearly fee on tax-adjusted equity,No,No,0,0,1,0.35,0.35,0.15,33,0.666666667,0.5
CO,COL,Colombia,2014,0.34,0,100,0.737888703,0.547953911,0.869865254,0.5,0,0,0.31,0,50,1,8,0.33,11.453029,0,1,87,0.1,NA,0,16,0,0.462436549,66,0.5,0.412846043,Net Wealth Tax,No,Real Estate Registration Tax,No,No,Yes,1,0,0,0.33,0.33,0.33,4,0,0.5
