"country","year","corporate_rate_rank","corporate_rate","cost_recovery_rank","cost_recovery","incentives_rank","incentives","consumption_tax_rate_rank","consumption_tax_rate","consumption_tax_base_rank","consumption_tax_base","real_property_tax_rank","real_property_tax","wealth_taxes_rank","wealth_taxes","capital_taxes_rank","capital_taxes","capital_gains_and_dividends_rank","capital_gains_and_dividends","income_tax_rank","income_tax","income_tax_complexity_rank","income_tax_complexity","territorial_rank","territorial","withholding_taxes_rank","withholding_taxes","tax_treaties_rank","tax_treaties","international_regulations_rank","international_regulations","ISO_2","ISO_3"
"Italy",2026,29,42.1637589392331,5,57.721910233463,32,66.8478009486328,25,41.2893353820664,38,24.9075889148556,37,35.3389105288268,33,49.1448559101156,31,46.2494517950707,24,55.406765303591,28,48.5848875714368,1,100,27,78.7284474621562,31,38.7091100996474,4,81.6075769312531,28,34.0328503014843,"IT","ITA"
"Japan",2026,32,36.2294715789311,30,36.3002718576979,37,53.4388481406337,3,89.8774716175977,18,60.836916215392,8,75.2266520706516,12,70.4418214800388,29,46.4222701685828,18,66.2779206591478,27,49.3858950949538,32,39.215814457948,32,70.7729380751049,25,49.4810721655873,18,65.752039803023,31,25.8776893082911,"JP","JPN"
"Korea",2026,28,43.1169346292297,11,50.3863732192904,23,74.5986106033454,3,89.8774716175977,7,69.6985828179433,32,48.6887209033551,12,70.4418214800388,31,46.2494517950707,21,59.5611477636522,38,33.8097740796201,32,39.215814457948,37,53.1649114744745,28,45.5721639394183,7,75.2653620799611,31,25.8776893082911,"KR","KOR"
"Latvia",2026,6,66.177636806569,1,100,1,100,19,45.3383467350273,22,54.760000822251,22,67.0003941798223,1,100,6,79.0579093565831,10,79.8405140432284,8,67.5070531083522,1,100,16,82.3919733993696,1,100,26,54.3360530706974,5,62.2085908975513,"LV","LVA"
"Lithuania",2026,3,75.4019176775047,3,67.9497577447406,25,74.4132888266509,19,45.3383467350273,25,52.8782450925413,18,70.0616042177624,12,70.4418214800388,1,100,15,72.0056100052149,5,69.6338575099659,1,100,16,82.3919733993696,9,69.2607891095874,30,51.1649456450514,5,62.2085908975513,"LT","LTU"
"Luxembourg",2026,19,54.278314483062,15,48.4722526884381,27,73.2127912001111,10,61.5343921468711,2,87.0814129183881,13,74.3134853844,12,70.4418214800388,14,63.7639687609601,7,83.5989445936232,21,53.3582702200678,32,39.215814457948,1,100,4,87.1443884107215,14,69.5573687137983,14,42.1880112946774,"LU","LUX"
"Mexico",2026,33,35.43003390345,25,40.5509895382985,3,95.6763208151329,9,65.583403499832,27,51.2873100982375,9,75.2071170222701,1,100,6,79.0579093565831,12,78.6809054140558,19,55.3190107501471,36,37.809191565137,38,26.7294812557323,36,34.8362801281751,28,52.4333886153098,11,54.0534299043582,"MX","MEX"
"Netherlands",2026,26,48.34402712276,18,46.2463119882553,19,77.7037595012992,19,45.3383467350273,14,63.717357310116,24,66.5745589194374,12,70.4418214800388,14,63.7639687609601,33,41.4095703061985,32,43.7430577658935,1,100,1,100,4,87.1443884107215,6,75.8995835650903,14,42.1880112946774,"NL","NLD"
"New Zealand",2026,30,41.5795544840738,35,33.4447915850309,13,82.6381576266675,8,69.632414852793,1,100,28,57.6018591141848,1,100,1,100,3,89.4645995979725,15,57.1612909932954,1,100,1,100,7,75.7457233661546,35,39.7489589127257,9,61.0837158459017,"NZ","NZL"
"Norway",2026,11,60.0281162259452,29,37.0083273224182,8,89.4929601948686,34,29.1423013231836,10,67.4094010042832,11,74.9570960264891,32,57.4060688601536,6,79.0579093565831,36,32.8011833870505,13,59.0749355900084,1,100,26,81.0011273945473,6,78.5739806845358,17,66.3862612881522,28,34.0328503014843,"NO","NOR"
"Poland",2026,4,69.2523970968809,14,48.9083825681009,33,63.0067980805344,27,37.2403240291055,34,35.033939212934,17,70.2074669472499,12,70.4418214800388,36,30.9555111994477,17,68.7925326719107,11,66.1094837721118,1,100,16,82.3919733993696,23,51.3771898084534,15,67.0204827732815,28,34.0328503014843,"PL","POL"
"Portugal",2026,31,36.967414048606,8,53.5137263698318,35,54.1271397459969,27,37.2403240291055,12,66.9419694057442,23,66.7623486504753,12,70.4418214800388,14,63.7639687609601,23,59.0346270948498,34,37.562695490291,1,100,16,82.3919733993696,32,38.1501862947935,20,63.2151538625062,31,25.8776893082911,"PT","PRT"
"Slovak Republic",2026,20,53.8785956453214,22,43.3264448425508,30,68.1572590051206,27,37.2403240291055,31,44.299046217369,21,67.8210248390588,1,100,13,69.2393004352418,2,97.9498680742029,7,68.5152368338968,1,100,16,82.3919733993696,22,52.9941415840431,23,61.3124894071186,5,62.2085908975513,"SK","SVK"
"Slovenia",2026,11,60.0281162259452,26,37.6408026715844,9,89.0556081801981,25,41.2893353820664,30,45.2879875675524,35,41.9119245693985,12,70.4418214800388,6,79.0579093565831,11,79.498680742029,30,45.3798425130165,1,100,34,65.9466794683154,15,62.8901117768761,30,51.1649456450514,14,42.1880112946774,"SI","SVN"
"Spain",2026,21,50.8038353550095,31,35.563596030083,34,56.7159864662724,19,45.3383467350273,16,62.1114289076889,26,62.6535634624112,36,27.8478903401924,31,46.2494517950707,28,47.7577553788369,23,52.8194285170972,1,100,27,78.7284474621562,26,48.6614039368114,10,73.3626976245735,14,42.1880112946774,"ES","ESP"
"Sweden",2026,9,64.3327806323819,19,44.8900111733975,5,93.5818220308854,34,29.1423013231836,9,68.0796214337558,12,74.6416850495875,1,100,14,63.7639687609601,28,47.7577553788369,16,57.091821309104,30,99.6262594858276,1,100,8,74.2887768214429,18,65.752039803023,31,25.8776893082911,"SE","SWE"
"Switzerland",2026,5,67.8015068839312,13,49.0930658093047,14,81.2152162454046,2,97.5705931882234,23,54.0563883677557,15,73.5018659540413,36,27.8478903401924,36,30.9555111994477,8,82.4149934064754,12,63.2203831815566,1,100,1,100,29,43.7394243433329,3,84.1444628717699,2,87.404327584794,"CH","CHE"
"Turkey",2026,21,50.8038353550095,17,47.7936604373619,22,75.1987518591068,15,49.3873580879883,19,58.4383868295065,7,75.2553249589933,12,70.4418214800388,31,46.2494517950707,6,84.6240105565218,10,66.8943921123155,1,100,15,86.5455073749044,17,62.3093953603611,8,73.9969191097027,12,52.9285548527086,"TR","TUR"
"United Kingdom",2026,21,50.8038353550095,20,44.4436709944396,31,67.8694959268869,15,49.3873580879883,37,29.1584721344815,38,22.7825952014957,12,70.4418214800388,24,48.297209791825,31,43.4965077354754,18,55.4834576298607,1,100,1,100,10,67.6609644882062,1,100,14,42.1880112946774,"GB","GBR"
"United States",2026,25,49.1788245415797,4,64.6964559032727,6,92.933263836554,1,100,26,51.9378296607681,36,37.3400771292355,12,70.4418214800388,14,63.7639687609601,27,50.1269812168478,20,54.2502918228787,1,100,31,73.0910147498088,37,25.7802235537522,25,54.9702745558266,31,25.8776893082911,"US","USA"
