"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"DK","DNK","Denmark",2014,0.245,0,60,0.826923077,0.479318672,0.813406443,0,0,0,-0.01,0,0,0,5.072,0.55564,1.16303,1.275853248,0,0,0.42,0.42,25,5879.076387,0.58308513,0.5,0.666227195,0,1,1,0,0,0,1,1,1,0.27,0.25,0.25,73,0.5,0.5
"EE","EST","Estonia",2014,0.21,100,100,1,1,1,1,1,0,0,0,0,0,0,0.236,0.15036,1.055437074,0,0,0.21,0,20,25581.77657,0.694793703,1,0.163644606,0,0,0,0,0,0,1,0,1,0,0,0.1,51,0,0
"ES","ESP","Spain",2014,0.3,0,18,0.695001857,0.29138553,0.278958449,0.5,0,1,0.31,0,3,0,0,0.52,11.728847,1.120067283,0,0,0.27,0.27,21,0,0.399728811,0.5,0.468337798,1,1,1,0,1,0,1,1,1,0.21,0.21,0.2475,85,0.25,1
"FI","FIN","Finland",2014,0.2,0,10,0.826923077,0.518965517,0.737888703,0,0,0,0.25,0,0,0,0,0.56617293,2.535029,1.267256345,0,0,0.32,0.272,24,8589.472836,0.562208651,0.5,0.269080288,0,1,1,1,0,1,1,1,1,0.2,0,0.2,75,0.375,1
"FR","FRA","France",2014,0.38,1,50,0.880275604,0.547953911,0.869865254,0.5,0,1,0.425,0,3,1,1.105,0.549345,15.274647,1.205411117,0,0,0.38,0.44001,19.6,93551.08764,0.483041969,0.5,1.117763142,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.5,1
"GB","GBR","United Kingdom",2014,0.21,1,100,0.758823529,0,0.826923077,0,0,1,0.185,0,1,0,0,0.73,0.26906,1.369563328,0,0,0.28,0.3055625,20,102850.5599,0.433173224,0.5,1.739965596,0,1,1,1,0,1,1,1,0,0,0.2,0.2,123,0.375,0
"GR","GRC","Greece",2014,0.26,0,5,0.737888703,0.479318672,0.737888703,1,0,0,0.07,0,0,0,1.208,0.46,5.346351,1.188777411,0,0,0.15,0.1,23,6677.549595,0.371479609,0.5,0.694996432,0,1,1,1,1,0,1,0,1,0.25,0.15,0.2,55,0.25,0.5
"HU","HUN","Hungary",2014,0.19,0,50,0.816200383,0.278958449,0.737888703,0.5,0,1,0.2925,0,3,0,0.014,0.345,0,1,0,0.263,0.16,0.16,27,42328.19865,0.518987868,0.5,0.205339775,0,1,1,1,0,0,1,1,0,0,0,0,73,0.5,0.5
"IE","IRL","Ireland",2014,0.125,3,100,0.787075165,0.479318672,0.646263719,0.5,0,0,0.235,0,1,0,0.009,0.52,0.761985,1.466455455,0,0,0.33,0.51,23,78844.25615,0.439434936,0.5,0.429691173,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,68,0,0
"IL","ISR","Israel",2014,0.265,0,100,0.869865254,0.547953911,0.787075165,0.5,0,0,-0.01,0,0,0,3.39,0.5,6.307592,1.826696667,0,0,0.27,0.32,17,18611.87492,0.648511092,0.5,1.211650003,0,0,1,0,0,0,1,1,0,0.3,0.25,0.25,53,0.25,0
"IS","ISL","Iceland",2014,0.2,0,10,0.86,0.602353619,0.81226935,0,0,0,0.24,0,1,0,3.06,0.4622,1.387967,1.277829918,0,10.357,0.2,0.2,25.5,7006.497053,0.430672145,0,0.714241507,1,1,0,1,0,0,1,1,0,0.18,0.1,0.2,39,0.5,0
"IT","ITA","Italy",2014,0.3129275,0,80,0.760252585,0.462657542,0.965116279,1,1,0,-0.02,0,1,0,5.379,0.5582,10.005698,1.176048551,0,0,0.2,0.2,21,35990.67374,0.374973056,0,0.597996824,0.5,1,1,0,1,1,0.95,0.95,1,0.2,0.2,0.225,95,0.5,1
"JP","JPN","Japan",2014,0.3462,0.5,7.2,0.769602273,0.278958449,0.787075165,0.5,0,0,0.1,0,1,0,0.251,0.510858,4.610718,1.135295974,1,0,0.204,0.20315,5,88240.34416,0.686890672,0.5,0.807484408,0,1,1,0,1,0,0.95,0,0,0.2,0.2,0.2,60,0.5,0.5
"KR","KOR","Korea",2014,0.242,0.5,10,0.921720532,0.547953911,0.737888703,1,0,1,0.1525,0,3,0,0,0.499911,10.6,1.13137221,1,0,0,0.35398,10,26238.6012,0.658756694,0,0.304618634,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,80,0.5,0.5
"LT","LTU","Lithuania",2014,0.15,0,70,0.905263158,0.826923077,0.966194332,1,0,0,0.28,0,2,0,0,0.27,0.360818,1.064012242,0,0,0.15,0.15,21,101580,0.498426409,0.5,0.194083206,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,49,0.25,0.5
"LU","LUX","Luxembourg",2014,0.2922,0,100,0.873417351,0.479318672,0.869865254,1,0,1,-0.01,0,2,1,0.093,0.45,3.048602,1.360545623,1,0,0,0.2,15,25182.62462,1.030026632,0.5,0.051967565,0,1,1,1,0,0,1,1,0,0.15,0,0,69,0,0.5
"LV","LVA","Latvia",2014,0.15,0,100,0.905263158,0.614285714,0.869865254,0.5,0,0,0,0,0,0,0,0.3236,0.104499,1.038924312,0,0,0.15,0.1,21,100402,0.460376715,0.5,0.385493051,0,0,1,0,0,0,1,1,1,0,0.05,0.05,56,0,0.5
"MX","MEX","Mexico",2014,0.3,0,10,0.737888703,0.547953911,0.737888703,1,0,0,-0.01,0,0,0,5.848,0.3165,3.999949,1.272814093,0,16.51,0.1,0.17142857,16,0,0.31390883,0.5,0.095930125,0,1,1,0,0,0,0,0,1,0.1,0.4,0.4,50,0.5,0.5
"NL","NLD","Netherlands",2014,0.25,1,9,0.941064314,0.338474733,0.869865254,1,0,1,0.1975,0,1,0,0.136,0.81570593,1.215933,1.5227268,0,0,0.3,0.22,21,1537.193296,0.515894956,0.5,0.346578646,0,1,1,1,0,0,1,1,0,0.15,0,0,96,0,0
"NO","NOR","Norway",2014,0.27,0,100,0.781818182,0.373913043,0.737888703,0,0,0,0.235,0,0,0,0,0.478,1.578054,1.283257349,0,0,0.27,0.27,25,5181.61744,0.569967551,0.5,0.142963974,1,0,1,0,0,0,0.97,0.97,1,0.25,0,0,88,0.375,1
"NZ","NZL","New Zealand",2014,0.28,0,100,0.731914894,0.307142857,0.547953911,0.5,0,0,-0.015,0,0,0,3.7,0.33,1.309645,1.548276974,0,0,0,0.06944444,15,38134.00067,0.939536673,0.5,1.237390654,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,37,0.25,0.5
"PL","POL","Poland",2014,0.19,0,2.5,0.737888703,0.338474733,0.869865254,1,0,0,-0.005,0,0,0,0,0.34885375,2.67431,1.044142118,0,0,0.19,0.19,23,77747.20423,0.432135124,0.5,0.827461181,0,1,1,0,1,1,1,0,1,0.19,0.2,0.2,84,0,0.5
"PT","PRT","Portugal",2014,0.315,0,8.4,0.888411247,0.547953911,0.737888703,0.5,0,0,0.365,0,4,1,0.385,0.61285,15.929717,1.319932381,0,0,0.28,0.28,23,14317.54964,0.472756762,0.5,0.286643151,0,1,1,1,0,0,1,0,1,0.25,0.25,0.25,61,0.5,1
"SE","SWE","Sweden",2014,0.22,0,100,0.86,0.479318672,0.86,0,0,0,-0.01,0,0,0,0,0.5673,1.518355,1.231656478,0,-0.021,0.3,0.3,25,0,0.551259593,0.5,0.363384602,0,0,1,1,0,0,1,1,0,0.3,0,0,79,0.5,0.5
"SI","SVN","Slovenia",2014,0.17,0,50,0.869865254,0.391406013,0.737888703,0.5,0,0,0.17,0,0,0,0.026,0.721,5.390324,1.201506255,0,0,0,0.25,20,74142.10478,0.570260813,0,0.21817465,0,1,1,0,0,0,0.95,0.475,1,0.15,0.15,0.15,53,0,0.5
"SK","SVK","Slovak Republic",2014,0.22,0,4,0.873879108,0.652728119,0.869865254,0.5,0,0,-0.01,0,3,0,0.79,0.25,4.577573,1.121612107,0,0,0.22,0,20,86990.53295,0.432697671,0.5,0.214837333,0,0,0,1,0,0,1,0,1,0,0.19,0.19,66,0,0
"TR","TUR","Turkey",2014,0.2,0,5,0.864149149,0.431068737,0.694414356,0.5,0,0,0.05,0,0,0,0,0.358,4.283921,1.180952672,0,0,0,0.175,18,0,0.404290335,0.5,0.103781825,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,80,0.5,0.5
"US","USA","United States",2014,0.390755,2,20,0.938462733,0.349583112,0.632751339,1,0,0,0.055,0,1,0,0,0.486,8.305387,1.255555981,0,0,0.2858,0.28583863,7.2,0,0.34030434,0.5,1.57727335,0,1,1,1,0,0,0,0,0,0.3,0.3,0.3,66,0.25,0.5
"AT","AUT","Austria",2015,0.25,0,75,0.813463195,0.391406013,0.737888703,1,0,0,0.12,0,2,0,0.981,0.5,13.879673,1.109893603,0,0,0.25,0.25,20,34987.89331,0.583845388,0,0.09219615,0,0,1,1,1,0,1,1,0,0.25,0,0.2,85,0,0.5
"AU","AUS","Australia",2015,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1425,0,0,0,0,0.465,2.266751,1.402902001,0,0,0.245,0.27121,10,48730.64034,0.475900249,1,0.725229569,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.25,0.5
"BE","BEL","Belgium",2015,0.3399,0,100,0.875897349,0.622404879,1.004865254,1,1,1,0.155,0,3,1,0.029,0.6657,1.592011,1.197086119,0,0,0,0.25,21,6319.04976,0.472928571,0.5,0.551888099,0,1,1,1,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5
"CA","CAN","Canada",2015,0.267,3,20,0.965116279,0.242105263,0.518965517,0.5,0,0,0.2125,0,1,0,0.907,0.495296,3.421462,1.231674864,0,0,0.2475,0.338214,15.6,23453.72582,0.363656504,0.5,1.535398921,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.25,0.5
"CH","CHE","Switzerland",2015,0.21148581,0,7,0.86,0.55483871,0.905263158,1,0,0,-0.01,0,0,0,4.482,0.41752888,3.461304,1.332469983,0,0,0,0.21135,8,63826.82681,0.69927207,0.5,0.061514188,1,1,1,1,1,1,1,1,0,0.35,0.35,0,90,0,0.5
"CL","CHL","Chile",2015,0.225,100,100,0.63261166,0.338474733,0,0.5,0,0,0.295,0,0,0,5.535,0.4,10.379357,1.161679952,0,0,0.2,0.22580645,19,0,0.655358539,0.5,0.411617152,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,25,0,0.5
"CO","COL","Colombia",2015,0.39,0,100,0.737888703,0.547953911,0.869865254,0.5,0,0,0.31,0,5,1,0.738,0.33,21.900224,0,0,11.641,0.1,0,16,0,0.405465129,0.5,0.458548263,1,0,1,0,0,1,0,0,0,0.2,0.33,0.33,5,0,0.5
"CR","CRI","Costa Rica",2015,0.3,0,3,0.822456691,0.602353619,0,0.5,0,0,-0.02,0,3,0,2.604,0.22937123,2.121949,1.054458065,0,28.292,0,0.15,13,0,0.45187067,0.5,0.16485297,0,0,1,0,1,1,1,1,0,0.15,0.15,0.25,1,0,0
"CZ","CZE","Czech Republic",2015,0.19,0,5,0.873879108,0.543222831,0.841318848,0.5,0,0,0.18,0,0,0,0,0.311,0.397857,1.133819821,0,0,0,0.15,21,67707.95356,0.563640626,0.5,0.09298434,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5
"DE","DEU","Germany",2015,0.29780475,1,60,0.737888703,0.391406013,0.869865254,1,0,0,-0.02,0,0,1,0,0.47475,5.655649,1.104428281,1,0,0.26375,0.26375,19,21297.52221,0.549981092,0.5,0.196555987,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.25,1
"DK","DNK","Denmark",2015,0.235,0,60,0.826923077,0.479318672,0.813406443,0,0,0,-0.01,0,0,0,2.274,0.55564,1.227747,1.290066431,0,0,0.42,0.42,25,5879.076387,0.561503094,0.5,0.699455268,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,73,0.5,0.5
"EE","EST","Estonia",2015,0.2,100,100,1,1,1,1,1,0,0,0,0,0,0,0.236,0.142973,1.052570529,0,0,0.2,0,20,25581.77657,0.665979441,1,0.15070294,0,0,0,0,0,0,1,0,1,0,0,0.1,55,0,0
"ES","ESP","Spain",2015,0.28,0,50,0.695001857,0.29138553,0.278958449,0.5,0,1,0.31,0,3,0,0,0.52,11.66034,1.114170591,0,0,0.24,0.235,21,0,0.385715469,0.5,0.513909239,1,1,1,0,1,0,1,1,1,0.195,0.195,0.195,87,0.25,1
"FI","FIN","Finland",2015,0.2,0,10,0.826923077,0.518965517,0.737888703,0,0,0,0.2,0,0,0,0,0.57211391,2.530586,1.267638351,0,0,0.33,0.2805,24,8589.472836,0.554408854,0.5,0.281299882,0,1,1,0,0,1,1,1,1,0.2,0,0.2,75,0.375,1
"FR","FRA","France",2015,0.38,1,50,0.880275604,0.547953911,0.869865254,0.5,0,1,0.425,0,3,1,1.106,0.55011,15.054145,1.205567503,0,0,0.344,0.44001,20,93551.08764,0.48301764,0.5,1.15151161,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.5,1
"GB","GBR","United Kingdom",2015,0.2,1,100,0.758823529,0,0.826923077,0,0,1,0.185,0,2,0,0,0.73,0.284761,1.387568163,0,0,0.28,0.3055625,20,102850.5599,0.435374208,0.5,1.762438431,0,1,1,1,0,1,1,1,0,0,0.2,0.2,123,0.375,0
"GR","GRC","Greece",2015,0.29,0,5,0.737888703,0.479318672,0.737888703,0.5,0,0,0.07,0,0,0,1.803,0.46,5.272871,1.195596932,0,0,0.15,0.1,23,6677.549595,0.364443536,0.5,0.669905153,0,1,1,1,1,0,1,0,1,0.1,0.15,0.2,57,0.25,1
"HU","HUN","Hungary",2015,0.19,0,2.5,0.816200383,0.278958449,0.737888703,0.5,0,1,0.285,0,3,0,0,0.345,0,1,0,0.22,0.16,0.16,27,42328.19865,0.521467804,0.5,0.296463733,0,1,1,1,0,0,1,1,0,0,0,0,75,0.5,0.5
"IE","IRL","Ireland",2015,0.125,1,100,0.787075165,0.479318672,0.646263719,0.5,0,0,0.245,0,1,0,0.009,0.52,0.756265,1.461344036,0,0,0.33,0.51,23,78844.25615,0.446101952,0.5,0.494496668,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,68,0,0
"IL","ISR","Israel",2015,0.265,0,100,0.869865254,0.479318672,0.787075165,0.5,0,0,-0.01,0,0,0,2.304,0.5,6.0228,1.769650909,0,0,0.27,0.32,18,18611.87492,0.651613417,0.5,1.209354529,0,0,1,0,0,0,1,1,0,0.3,0.265,0.265,53,0.25,0
"IS","ISL","Iceland",2015,0.2,0,10,0.86,0.602353619,0.81226935,0,0,0,0.24,0,1,0,3.214,0.4624,1.366742,1.273308593,0,10.338,0.2,0.2,25.5,7006.497053,0.4308487,0,0.74418111,0,1,0,1,0,0,1,1,0,0.18,0.1,0.2,39,0.5,0
"IT","ITA","Italy",2015,0.3129275,0,80,0.760252585,0.462657542,0.965116279,1,1,1,-0.02,0,1,0,5.388,0.5682,0.873805,1.20462189,0,0,0.26,0.26,22,35990.67374,0.370323178,0,0.523120245,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,95,0.5,1
"JP","JPN","Japan",2015,0.3211,0.5,5.85,0.85902866,0.278958449,0.787075165,0.5,0,0,0.1,0,1,0,0.238,0.510858,4.486476,1.148240751,1,0,0.204,0.20315,5,88240.34416,0.703361146,0.5,0.807110877,0,1,1,0,1,0,0.95,0,0,0.2042,0.2042,0.2042,62,0.5,0.5
"KR","KOR","Korea",2015,0.242,0.5,10,0.921720532,0.547953911,0.737888703,1,0,1,0.145,0,4,0,0,0.501411,10.5846,1.153468623,1,0,0,0.35398,10,26238.6012,0.639892412,0,0.30950094,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,83,0.375,0.5
"LT","LTU","Lithuania",2015,0.15,0,70,0.905263158,0.826923077,0.966194332,1,0,0,0.28,0,2,0,0,0.279,0.428279,1.080373712,0,0,0.15,0.15,21,100897,0.49582169,0.5,0.188257805,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,50,0.25,0.5
"LU","LUX","Luxembourg",2015,0.2922,0,100,0.873417351,0.479318672,0.869865254,1,0,1,-0.01,0,2,1,0.086,0.45,2.982644,1.348802846,1,0,0,0.2,15,25182.62462,1.081005226,0.5,0.048865686,0,1,1,1,0,0,1,1,0,0.15,0,0,74,0,0.5
"LV","LVA","Latvia",2015,0.15,0,100,0.905263158,0.614285714,0.869865254,0.5,0,0,0.28,0,0,0,0,0.24,5.218201,1.043318638,0,0,0.15,0.1,21,100604,0.486989721,0.5,0.38231012,0,0,1,0,0,0,1,1,1,0,0,0,57,0,0.5
"MX","MEX","Mexico",2015,0.3,0,10,0.737888703,0.547953911,0.737888703,1,0,0,-0.01,0,0,0,6.437,0.35,29.08548,1.252225166,0,16.255,0.1,0.17142857,16,0,0.284151079,0.5,0.093184123,0,1,1,0,0,0,0,0,1,0.1,0.4,0.4,54,0.5,0.5
"NL","NLD","Netherlands",2015,0.25,1,9,0.813463195,0.338474733,0.869865254,1,0,1,0.195,0,1,0,0.058,0.70962076,1.2394,1.530651919,0,0,0.3,0.25,21,1537.193296,0.471629156,0.5,0.39632069,0,1,1,1,0,0,1,1,0,0.15,0,0,96,0,0
"NO","NOR","Norway",2015,0.27,0,100,0.809090909,0.373913043,0.737888703,0,0,0,0.2325,0,0,0,0,0.472,1.593848,1.283820878,0,0,0.27,0.27,25,5181.61744,0.570324742,0.5,0.150750166,1,0,1,0,0,0,0.97,0.97,1,0.25,0,0,88,0.375,1
"NZ","NZL","New Zealand",2015,0.28,0,100,0.731914894,0.307142857,0.547953911,0.5,0,0,-0.015,0,0,0,3.485,0.33,1.272313,1.524456172,0,0,0,0.06944444,15,38134.00067,0.946217467,0.5,1.25652688,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,39,0.25,0.5
"PL","POL","Poland",2015,0.19,0,2.5,0.737888703,0.338474733,0.869865254,1,0,0,-0.005,0,0,0,0,0.34885375,2.524676,1.041188099,0,0,0.19,0.19,23,77747.20423,0.429789827,0.5,0.874632754,0,1,1,0,1,1,1,0,1,0.19,0.2,0.2,84,0.375,1
"PT","PRT","Portugal",2015,0.295,0,8.4,0.888411247,0.547953911,0.737888703,0.5,0,0,0.36,0,4,1,0.37,0.61285,16.224803,1.327801506,0,0,0.28,0.28,23,14317.54964,0.458647516,0.5,0.342436215,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,63,0.5,1
"SE","SWE","Sweden",2015,0.22,0,100,0.86,0.479318672,0.86,0,0,0,0.05,0,0,0,0,0.5686,1.508153,1.241599962,0,-0.076,0.3,0.3,25,0,0.548889259,0.5,0.391477115,0,0,1,1,0,0,1,1,0,0.3,0,0,80,0.5,0.5
"SI","SVN","Slovenia",2015,0.17,0,50,0.869865254,0.391406013,0.737888703,0.5,0,0,0.17,0,0,0,0.019,0.721,5.307771,1.197808046,0,0,0,0.25,22,74142.10478,0.620526095,0,0.23169731,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,57,0,0.5
"SK","SVK","Slovak Republic",2015,0.22,0,4,0.873879108,0.652728119,0.869865254,0.5,0,0,-0.01,0,3,0,0.77,0.25,4.500868,1.118529753,0,0,0.22,0,20,86990.53295,0.46927899,0.5,0.218489366,0,0,0,1,0,0,1,0,1,0,0.19,0.19,66,0,1
"TR","TUR","Turkey",2015,0.2,0,5,0.864149149,0.431068737,0.694414356,0.5,0,0,0.055,0,0,0,0,0.358,3.998254,1.16689115,0,0,0,0.175,18,0,0.439666204,0.5,0.101472897,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,80,0.5,0.5
"US","USA","United States",2015,0.389975,2,20,0.938462733,0.349583112,0.632751339,1,0,0,0.055,0,1,0,0,0.486,8.220619,1.249803778,0,0,0.2854,0.28535406,7.2,0,0.352392514,0.5,1.572930393,0,1,1,1,0,0,0,0,0,0.3,0.3,0.3,66,0.25,0.5
"AT","AUT","Austria",2016,0.25,0,75,0.813463195,0.391406013,0.737888703,1,0,0,0.12,0,2,0,0.909,0.5,13.539476,1.105222843,0,0,0.275,0.275,20,36585.36585,0.581548015,0,0.091468415,0,0,1,1,0,0,1,1,0,0.275,0,0.2,86,0,0.5
"AU","AUS","Australia",2016,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1425,0,1,0,0,0.49,2.229938,1.423027415,0,0,0.245,0.27121,10,50335.57047,0.476738887,1,0.721190089,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.25,0.5
"BE","BEL","Belgium",2016,0.3399,0,100,0.875897349,0.622404879,1.004865254,1,1,1,0.155,0,3,1,0.032,0.6657,1.443954,1.203273629,0,0,0,0.27,21,30487.80488,0.469757931,0.5,0.56108582,0,1,1,1,0,1,0.95,0.987878788,0,0.27,0.27,0.27,93,0,0.5
"CA","CAN","Canada",2016,0.267,3,20,0.965116279,0.242105263,0.518965517,0.5,0,0,0.2125,0,1,0,1.065,0.495296,3.353659,1.230545145,0,0,0.2475,0.39343524,10.6,24000,0.369094919,0.5,1.502184678,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.25,0.5
"CH","CHE","Switzerland",2016,0.21148581,0,7,0.86,0.55483871,0.905263158,1,0,0,-0.01,0,0,0,4.485,0.4173622,3.475011,1.333917538,0,0,0,0.21135,8,78125,0.69300407,0.5,0.060198428,1,1,1,1,1,1,1,1,0,0.35,0.35,0,91,0,0.5
"CL","CHL","Chile",2016,0.24,100,100,0.63261166,0.338474733,0,0.5,0,0,0.295,0,0,0,4.521,0.4,10.035255,1.155359968,0,0,0.4,0.21052632,19,0,0.651358623,0.5,0.385722142,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,25,0.5,0.5
"CO","COL","Colombia",2016,0.4,0,100,0.737888703,0.547953911,0.869865254,0.5,0,0,0.38,0,5,1,0.831,0.33,22.842678,0,0,9.196,0.1,0,16,0,0.422509424,0.5,0.474505963,1,0,1,0,0,1,0,0,0,0.2,0.33,0.33,7,0,0.5
"CR","CRI","Costa Rica",2016,0.3,0,3,0.822456691,0.602353619,0,0.5,0,0,-0.02,0,3,0,2.657,0.23107123,2.159425,1.054940147,0,28.742,0,0.15,13,0,0.442089416,0.5,0.171928353,0,0,1,0,1,1,1,1,0,0.15,0.15,0.25,1,0,0
"CZ","CZE","Czech Republic",2016,0.19,0,5,0.873879108,0.543222831,0.841318848,0.5,0,0,0.18,0,0,0,0,0.311,0.385444,1.129105353,0,0,0,0.15,21,75872.53414,0.580515464,0.5,0.090881443,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,86,0,0.5
"DE","DEU","Germany",2016,0.29818844,1,60,0.737888703,0.391406013,0.869865254,1,0,0,-0.02,0,0,1,0,0.47475,5.529533,1.103719516,1,0,0.26375,0.26375,19,22151.89873,0.55354581,0.5,0.196817507,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.25,1
"DK","DNK","Denmark",2016,0.22,0,60,0.826923077,0.479318672,0.813406443,0,0,0,-0.01,0,0,0,5.544,0.55794,1.236698,1.28937323,0,0,0.42,0.42,25,6666.666667,0.565419185,0.5,0.713651986,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,73,0.5,0.5
"EE","EST","Estonia",2016,0.2,100,100,1,1,1,1,1,0,0,0,0,0,0,0.236,0.144043,1.051993742,0,0,0.2,0,20,28571.42857,0.701606086,1,0.14808007,0,0,0,0,0,0,1,0,1,0,0,0.1,56,0,0
