"country","year","corporate_rate_rank","corporate_rate","cost_recovery_rank","cost_recovery","incentives_rank","incentives","consumption_tax_rate_rank","consumption_tax_rate","consumption_tax_base_rank","consumption_tax_base","real_property_tax_rank","real_property_tax","wealth_taxes_rank","wealth_taxes","capital_taxes_rank","capital_taxes","capital_gains_and_dividends_rank","capital_gains_and_dividends","income_tax_rank","income_tax","income_tax_complexity_rank","income_tax_complexity","territorial_rank","territorial","withholding_taxes_rank","withholding_taxes","tax_treaties_rank","tax_treaties","international_regulations_rank","international_regulations","ISO_2","ISO_3"
"Poland",2023,4,68.0709358919767,14,48.3919700121225,35,56.767744861369,29,36.8311280933199,35,38.3857098301545,26,54.6137965263922,12,70.8650249143512,37,30.8497655745123,17,69.9560446798871,25,74.651485464805,2,99.9173414333333,33,58.0348415512452,20,51.2348231963894,15,71.3441665692679,22,48.5674373951563,"PL","POL"
"Portugal",2023,37,28.1596057569475,6,57.7807598033468,37,33.5760220892055,29,36.8311280933199,17,61.6945685011257,18,65.9748427617968,12,70.8650249143512,14,63.9088779365839,26,52.3586845087872,36,58.4438399003526,2,99.9173414333333,16,81.6350020993272,32,37.9695096656473,19,65.4827460948,22,48.5674373951563,"PT","PRT"
"Slovak Republic",2023,14,61.685123070372,22,44.7076615316299,23,71.2718367409607,16,48.9789880753738,33,41.0081175884906,14,69.5002641165069,1,100,5,84.7794293168217,1,100,5,89.1910791549257,2,99.9173414333333,16,81.6350020993272,30,39.1093799239469,24,61.5751324451547,22,48.5674373951563,"SK","SVK"
"Slovenia",2023,4,68.0709358919767,24,44.6144192080921,7,91.436923325135,27,40.8804147540045,31,47.1534228344584,32,42.9474726496661,12,70.8650249143512,7,79.1294486197622,12,79.1894915859904,32,66.1572585921245,2,99.9173414333333,32,67.7371049865198,13,62.7817057993884,29,53.7599051458641,3,78.8269297721349,"SI","SVN"
"Spain",2023,21,48.9134974271627,32,37.2199805439006,36,53.3431363526312,21,44.9297014146891,15,62.9543948806015,22,62.3868714834635,37,28.0151961051869,32,46.0703362576906,24,54.238915487448,24,75.1815403301236,2,99.9173414333333,26,78.9471812468588,24,48.4672732905387,7,77.2055870437358,11,57.6538595442698,"ES","ESP"
"Sweden",2023,13,62.9622856346929,17,46.3942247160884,4,95.286577256112,35,28.7325547719506,6,74.5639559344544,15,67.921708083946,1,100,14,63.9088779365839,30,48.4481600263205,17,78.8766761590908,1,100,1,100,7,74.2235360838531,17,69.3903597444453,30,39.4810152460428,"SE","SWE"
"Switzerland",2023,7,65.9848441026661,10,50.2251813524598,19,73.8626100916412,2,98.7852140017946,20,56.9816113182397,4,74.2002583393331,37,28.0151961051869,37,30.8497655745123,9,84.4834818971641,9,83.3842962684036,2,99.9173414333333,1,100,28,43.8841919193788,3,81.7644696349887,2,96.9997740703618,"CH","CHE"
"Turkey",2023,8,64.8780294811743,15,48.1378339283237,21,73.2103780913213,12,57.077561396743,14,63.1665963274723,7,72.9341760406955,12,70.8650249143512,32,46.0703362576906,7,86.8030922252622,11,81.9191718332258,2,99.9173414333333,1,100,15,62.1126184361947,13,72.646704452483,9,60.6540854739079,"TR","TUR"
"United Kingdom",2023,21,48.9134974271627,19,45.6792733493505,33,57.8321103944293,16,48.9789880753738,38,24.5416777893237,37,33.8722843888589,12,70.8650249143512,25,48.1322240288968,31,48.3576927893326,27,70.5577876242997,2,99.9173414333333,1,100,9,67.5599170099491,1,100,22,48.5674373951563,"GB","GBR"
"United States",2023,24,46.4615528425832,20,45.5365015236601,16,78.7399291222148,1,100,25,53.4436652689305,35,35.0679131378132,12,70.8650249143512,14,63.9088779365839,27,50.655352733125,21,76.3941060155657,2,99.9173414333333,29,76.399839451918,37,25.5634115987768,25,58.318787737117,30,39.4810152460428,"US","USA"
