"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"LT","LTU","Lithuania",2021,0.15,0,70,0.905263157894737,0.826923076923077,0.966194331983806,1,0,1,0.28,0,2,0,0,0.3898,6.190679,1.201631092,0,0,0.2,0.15,21,98948.72477,0.543262962,0.5,0.215856998784015,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,54,0.333333333333333,1,0
"LU","LUX","Luxembourg",2021,0.2494,0,17,0.873417350634541,0.479318672008477,0.869865253929667,1,0,1,-0.01,0,1,1,0.118,0.4718,3.340764,1.382533161,1,0,0,0.21,17,35513.17124,0.75765961,0.5,0.044671895077757,0,1,1,1,0,0,1,1,0,0.15,0,0,83,0.333333333333333,1,0
"LV","LVA","Latvia",2021,0.2,100,100,1,1,1,1,1,0,0,0,0,0,0,0.314,4.598755,1.163306785,0,0,0.2,0,21,80850.71118,0.591901939,0.5,0.423047822372292,0,0,1,0,0,0,1,1,1,0,0,0,62,0.333333333333333,1,0
"MX","MEX","Mexico",2021,0.3,0,10,0.737888702767901,0.547953910556565,0.737888702767901,1,0,0,0.055,0,0,0,1.527,0.35,25.31648,1.122039221,0,13.816,0.1,0.17142857,16,0,0.309342955,0.5,0.095510201778892,0,0,1,0,0,0,0,0,0,0.1,0.35,0.35,59,0.666666666666667,1,0
"NL","NLD","Netherlands",2021,0.25,1,6,0.813463195231154,0.338474732816403,0.869865253929667,1,0,1,0.225,0,1,0,0,0.513708,1.330203,1.451228864,0,0,0.31,0.269,21,25479.75188,0.558428333,0.5,0.508395456450777,0,1,1,1,0,0,1,1,0,0.15,0,0,93,0.333333333333333,1,0
"NO","NOR","Norway",2021,0.22,0,100,0.781818181818182,0.373913043478261,0.737888702767901,0,0,0,0.22,0,0,0,0,0.464,1.589437,1.239603587,0,0,0.3168,0.3168,25,5034.849719,0.574098168,0.5,0.198498008730859,1,0,1,0,0,0,0.97,1,1,0.25,0,0,87,0.5,1,0
"NZ","NZL","New Zealand",2021,0.28,1,100,0.731914893617021,0.307142857142857,0.547953910556565,0.5,0,0,0.18,0,0,0,2.935,0.39,1.07703,1.389120625,0,0,0,0.15277778,15,41283.70298,0.936112684,0.5,1.21721100875878,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,0.333333333333333,0.5,0
"PL","POL","Poland",2021,0.19,0,2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,1,1,0.195,1,1,0,0,0.36,14.98531,1.144247823,0,0,0.19,0.19,23,114294.6619,0.510087164,0.5,0.860537711437396,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,86,0.5,1,0
"PT","PRT","Portugal",2021,0.315,0,9.6,0.888411247396436,0.547953910556565,0.547953910556565,0.5,1,1,0.35,1,4,0,0.429,0.5817,14.13854,1.239181002,0,0,0.28,0.28,23,17640.07543,0.527029168,0.5,0.424802546105085,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,78,0.5,1,0
"SE","SWE","Sweden",2021,0.206,0,100,0.86,0.479318672008477,0.86,0,0,0,0.105,0,0,0,0,0.5227,1.127048,1.196829679,0,0.031,0.3,0.3,25,3430.193616,0.591260435,0.5,0.337700669889097,0,0,1,1,0,0,1,1,0,0.3,0,0,85,0.666666666666667,1,0
