"country","year","corporate_rate_rank","cost_recovery","cost_recovery_rank","incentives","incentives_rank","consumption_tax_rate","consumption_tax_rate_rank","consumption_tax_base","consumption_tax_base_rank","real_property_tax","real_property_tax_rank","wealth_taxes","wealth_taxes_rank","capital_taxes","capital_taxes_rank","capital_gains_and_dividends","capital_gains_and_dividends_rank","income_tax","income_tax_rank","income_tax_complexity","income_tax_complexity_rank","territorial","territorial_rank","withholding_taxes","withholding_taxes_rank","tax_treaties","tax_treaties_rank","international_regulations","ISO_2","ISO_3"
"Finland",2022,10,38.0381139055353,33,100,1,32.6040600159054,33,68.6334275476442,10,68.4464933050011,18,72.0492356410282,13,64.4706904245686,24,45.4551751667062,33,45.0832435029121,30,99.8578021960803,2,81.2192910199392,16,72.5329694950063,10,65.9254223357544,20,65.0547582900121,"FI","FIN"
"France",2022,27,48.7304625856764,16,33.551932317273,38,48.8440455542414,16,29.9826917965612,37,50.1261619413534,30,60.836052810466,34,49.0107667530376,27,40.3364409055502,36,42.3943314059418,32,56.3625063161692,37,76.8784120056562,28,63.6061845808834,18,94.9519144201118,2,64.9473974507586,"FR","FRA"
"Germany",2022,34,50.8336480064628,11,77.0030778313824,20,52.9040419388255,13,57.9523310347425,16,72.7001901613354,12,72.0492356410282,13,80.8630243931821,9,55.2924910524627,25,63.1215971654234,11,75.1955210270585,32,97.3655326984417,15,72.8592458983767,9,78.545636285475,4,65.1621191292656,"DE","DEU"
"Greece",2022,16,35.2810942796897,35,86.576962180999,13,32.6040600159054,33,56.2670419404951,20,48.4923228026025,32,72.0492356410282,13,47.7060805971496,30,87.6407095432605,6,54.9514790184396,19,55.0172909796771,38,81.2192910199392,16,69.22979308141,11,53.9362190835199,31,65.1621191292656,"GR","GRC"
"Hungary",2022,1,33.8540267172128,38,63.8279840908153,31,20.4240708621534,39,48.5381272904969,30,71.2646962569382,14,72.0492356410282,13,65.4031007216512,15,77.6039756978566,14,81.9389060608222,4,99.4824932381939,25,100,1,100,1,69.7114865206706,18,65.1621191292656,"HU","HUN"
"Iceland",2022,10,43.9995504115459,24,69.5449880295736,27,32.6040600159054,33,57.4829761395669,17,24.1559930360127,39,72.0492356410282,13,84.5400763284691,6,63.8738313006911,20,57.0800914261524,17,79.1691872815353,30,100,1,63.7397558926066,17,46.3640907136875,33,64.9473974507586,"IS","ISL"
"Ireland",2022,2,44.1773206188101,23,75.0984319241909,21,36.6640564004894,30,31.6748084121776,36,73.8021691261081,9,72.0492356410282,13,64.4706904245686,24,24.2317691834183,39,54.8631183314043,20,63.9853932229577,35,52.9072551705555,36,55.314833294539,25,64.0323902432963,22,65.1621191292656,"IE","IRL"
"Israel",2022,19,48.091875292273,17,82.0224603077329,17,61.0240347079935,10,68.9729688192833,9,50.0386504748392,31,100,1,80.8630243931821,9,47.0867691804187,32,38.8800970988962,35,99.8578021960803,2,100,1,47.9713632396029,32,54.5672297810059,30,99.785278321493,"IL","ISR"
"Italy",2022,31,68.2549303287612,4,61.9150377371089,35,40.7240527850734,28,25.4036021004397,38,38.1696712678694,36,60.836052810466,34,46.773670300067,33,56.0280345023108,23,50.8546326969021,23,99.8578021960803,2,78.584823718381,26,48.2536817391552,31,81.0696790754191,3,64.9473974507586,"IT","ITA"
"Japan",2022,33,36.6876838651132,34,92.1306237265018,8,89.4440094000816,3,49.9821720761506,29,56.6113582417971,27,72.0492356410282,13,47.7060805971496,30,67.1690659560109,19,47.3981253609405,27,90.4412948406356,28,74.2070880257492,31,56.9930433743179,22,62.7703688483243,23,65.1621191292656,"JP","JPN"
"Korea",2022,30,48.9755677102531,15,56.0605918849793,37,89.4440094000816,3,72.3149443834195,5,41.8881084465539,34,72.0492356410282,13,46.773670300067,33,62.9142684412326,21,27.3632784767783,39,99.8578021960803,2,28.5299449887739,37,53.6653748401074,26,77.2836148905029,8,65.0547582900121,"KR","KOR"
"Latvia",2022,10,100,1,100,1,44.7840491696574,22,50.0834245031597,28,67.5626192610651,19,100,1,80.8630243931821,9,87.8701973906891,4,73.3923540187268,6,99.8578021960803,2,81.2192910199392,16,100,1,57.09127257095,26,65.1621191292656,"LV","LVA"
"Lithuania",2022,3,64.2164127249712,6,70.1860478574144,25,44.7840491696574,22,39.0698559644987,33,72.7188832258933,11,72.0492356410282,13,100,1,72.8150966225832,17,65.199717234457,10,99.8578021960803,2,81.2192910199392,16,76.3760265490356,8,52.0431869910618,32,65.1621191292656,"LT","LTU"
"Luxembourg",2022,21,49.3058737701965,14,66.2225760051406,30,61.0240347079935,10,79.8612962637346,2,76.8809461580582,4,72.0492356410282,13,65.4031007216512,15,85.9485726164345,8,59.4313738939777,13,68.469444344598,33,100,1,92.3116594105967,3,70.3424972181566,17,65.1621191292656,"LU","LUX"
"Mexico",2022,35,42.5204842688575,28,92.5261472071864,6,65.0840310925775,9,53.0826600045739,22,75.8364852595728,6,72.0492356410282,13,80.8630243931821,9,80.242126235354,11,34.4478524712194,37,67.4740006870258,34,28.5299449887739,37,39.0997245916007,36,55.1982404784919,28,64.9473974507586,"MX","MEX"
"Netherlands",2022,25,47.6709944733146,18,74.2515989074613,22,44.7840491696574,22,63.7354765370338,11,64.1213336623481,23,72.0492356410282,13,65.4031007216512,15,50.3358493809511,28,50.5590055252284,25,99.8578021960803,2,100,1,92.3116594105967,3,76.0215934955309,11,65.1621191292656,"NL","NLD"
"New Zealand",2022,32,35.2287129588346,37,84.6942760150322,14,69.1440274771615,8,100,1,70.6947960720463,16,100,1,100,1,91.691814538266,3,58.6168907914901,15,99.8578021960803,2,100,1,60.7198695288517,19,43.2090372262574,35,82.4736987253793,"NZ","NZL"
"Norway",2022,16,38.218654564185,32,90.6848368159744,9,28.5440636313214,36,71.5528632938685,7,72.9478520568238,10,77.5736343388755,11,80.8630243931821,9,41.3540727350287,35,59.3527232380255,14,99.8578021960803,2,80.3699299444577,25,87.1860990176611,6,72.8665400081007,13,65.0547582900121,"NO","NOR"
"Poland",2022,5,49.7076156949199,13,63.3757893591353,33,36.6640564004894,30,33.4857143593961,35,55.3235842569503,28,72.0492356410282,13,31.3137466285361,38,69.7581788994763,18,73.1112102294971,7,99.8578021960803,2,56.8419808381576,35,58.3901695303003,21,72.2355293106147,14,65.0547582900121,"PL","POL"
"Portugal",2022,38,51.6615075315507,10,33.4491935044385,39,36.6640564004894,30,57.1463814330247,19,67.2714656917295,20,72.0492356410282,13,65.4031007216512,15,52.1051361031207,27,35.0920907334409,36,88.6476743919795,29,81.2192910199392,16,47.3470168637584,33,67.1874437307265,19,65.0547582900121,"PT","PRT"
"Slovak Republic",2022,15,43.8989460382917,25,62.2589681854398,34,48.8440455542414,16,38.6699691577275,34,71.2588220481356,15,100,1,100,1,100,1,72.6721717437264,8,99.8578021960803,2,81.2192910199392,16,51.7828361877595,28,62.1393581508383,24,64.840036611505,"SK","SVK"
"Slovenia",2022,5,43.6183219442088,27,88.477947428436,11,40.7240527850734,28,43.0509700823696,32,46.2511889571246,33,72.0492356410282,13,65.4031007216512,15,79.424695616922,12,47.2479765144391,28,99.5757376997806,24,67.0056013820347,34,68.4082101182551,13,55.1982404784919,28,82.4736987253793,"SI","SVN"
"Spain",2022,22,41.0611034052067,29,59.3533325296697,36,44.7840491696574,22,57.4131234522185,18,63.8304689319245,24,49.6228699799037,37,46.773670300067,33,56.0280345023108,23,42.1863252755587,33,99.8578021960803,2,78.584823718381,26,55.6797553866758,24,77.914625587989,6,65.1621191292656,"ES","ESP"
"Sweden",2022,14,45.8018122544036,20,95.5541266621696,5,28.5440636313214,36,72.2813741199428,6,69.4236592541523,17,100,1,65.4031007216512,15,48.1822377039305,31,54.3435996504409,21,100,1,100,1,84.6233188211933,7,71.6045186131287,16,64.9473974507586,"SE","SWE"
"Switzerland",2022,9,50.1145920312547,12,68.5255145264221,28,98.7820010846248,2,50.7605725224566,25,76.1161043275927,5,49.6228699799037,37,31.3137466285361,38,84.6588523173001,9,58.1289016274503,16,99.8578021960803,2,100,1,56.4136656177263,23,77.2836148905029,8,82.6884204038863,"CH","CHE"
"Turkey",2022,19,47.1799114300054,19,72.9457550179246,23,56.9640383234095,12,59.5292377816666,14,74.9053526161225,8,72.0492356410282,13,46.773670300067,33,86.9522460009749,7,59.948636966756,12,96.4544073947553,26,100,1,67.7680716894743,16,72.2355293106147,14,82.2589770468722,"TR","TUR"
"Ukraine",2022,4,45.4869580638721,21,100,1,48.8440455542414,16,70.8656656298908,8,76.961444587821,3,26.696721616537,39,84.5400763284691,6,79.3160248373529,13,95.2637890784926,2,99.8578021960803,2,71.6879641506163,32,24.8409467783028,39,18.0632609314391,39,19.9896902798277,"UA","UKR"
"United Kingdom",2022,5,54.1096092826895,8,63.5874976133177,32,48.8440455542414,16,23.4545471243782,39,32.8515957944201,38,72.0492356410282,13,49.0107667530376,27,48.3756497090247,30,51.5110447105335,22,99.8578021960803,2,100,1,68.1287342768779,15,100,1,65.0547582900121,"GB","GBR"
"United States",2022,26,52.2192965717375,9,79.1836486601664,18,100,1,50.8145303818746,24,35.7992654537392,37,72.0492356410282,13,65.4031007216512,15,50.2891797357456,29,50.7145841551067,24,99.8578021960803,2,75.6226898182184,29,36.8164202365101,37,59.6153153608941,25,64.9473974507586,"US","USA"
