"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"CL","CHL","Chile",2018,0.26,0,100,0.632611659769417,0.338474732816403,0,0.5,0,0,0.305,0,1,0,3.83,0.35,7.727266,1.1460878682868,0,0,0.35,0,0.13333333,19,0,0.6342910951359,0.5,0.398286311669548,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,32,0.5,0.5
"CO","COL","Colombia",2018,0.37,0,12,0.737888702767901,0.305956530933891,0.869865253929667,0.5,0,0,0.315,0,3,4,1.285,0.33,11.615895,0,0,9.371,0.1,NA,0,19,0,0.384774138459764,0.5,0.45504342934108,1,0,1,0,0,1,1,0,0,0.35,0.15,0.264,9,0.25,0.5
"CR","CRI","Costa Rica",2018,0.3,0,3,0.822456690745778,0.602353618717047,0,0.5,0,0,-0.02,0,3,0,3.453,0.23607123,1.973903,1.111183839714,0,29.336,0,NA,0.15,13,0,0.444480444758348,0.5,0.192392439948093,0,0,1,0,1,1,1,1,0,0.15,0.15,0.25,2,0,0
"CZ","CZE","Czech Republic",2018,0.19,0,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,0,0.18,0,0,0,0,0.15,3e-06,1.11430887715784,0,0,0,1,0.15,21,76296.5356413544,0.595785368946662,0.5,0.0926637802192891,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,88,0,0.5
"DE","DEU","Germany",2018,0.29897059,1,60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,-0.02,0,0,5.5,0,0.41975,5.464008,1.09953993463611,5.5,0,0.26375,0,0.26375,19,22456.2808292655,0.560202274186004,0.5,0.202330266822142,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,95,0.25,1
"DK","DNK","Denmark",2018,0.22,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,-0.01,0,0,0,3.574,0.47794,1.265165,1.29658266430956,8,0,0.42,0,0.42,25,6907.63633670914,0.594023615191389,0.5,0.713566615593007,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,73,0.5,0.5
"EE","EST","Estonia",2018,0.2,100,100,1,1,1,1,1,0,0,0,0,0,0,0.2,0.146415,1.05292647685851,0,0,0.2,0,0,20,72611.8858395931,0.731127305162278,1,0.13759745432411,0,0,0,0,0,0,1,1,1,0,0,0.1,56,0,0
"ES","ESP","Spain",2018,0.25,0,70,0.778563038959402,0.391406012913837,0.737888702767901,0.5,0,1,0.295,0,1,0,0,0.435,2.442919,1.21946414002396,0,0,0.23,0,0.23,21,0,0.433164412976556,0.5,0.555048249742934,1,1,1,0,1,0,1,1,1,0.19,0.19,0.24,93,0.25,1
"FI","FIN","Finland",2018,0.2,0,10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,0,-0.005,0,0,0,0,0.58349397,1.844204,1.29129398292461,0,0,0.34,0,0.289,24,11062.4119155451,0.547143098451308,0.5,0.333776843777665,0,1,1,0,0,1,1,1,1,0.2,0,0.2,76,0.375,1
"FR","FRA","France",2018,0.34433333,1,50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.405,0,4,30,1.045,0.453875,14.779185,1.23675646163574,9.7,0,0.34,0,0.34,20,103912.923981672,0.485566300661103,0.5,1.21191834665995,0.5,1,1,1,1,1,0.95,0.88,1,0.3,0,0.333,122,0.5,1
"GB","GBR","United Kingdom",2018,0.19,1,50,0.758823529411765,0,0.826923076923077,0,0,1,0.185,0,1,0,0,0.47,3.894003,1.38301936016998,0,0,0.2,0,0.381,20,119167.287037543,0.442798416447516,0.5,1.77558997884456,0,1,1,1,0,1,1,1,0,0,0.2,0.2,129,0.375,1
"GR","GRC","Greece",2018,0.29,0,5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,0,0.09,0,0,0,1.242,0.45,11.707338,1.26322708535307,10,0,0.15,0,0.15,24,16710.6993594789,0.444230235637848,0.5,1.08957264663241,0,1,1,1,1,0,1,0,1,0.15,0.15,0.2,57,0.25,1
"HU","HUN","Hungary",2018,0.09,0,2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,1,0.21,1,1,0,0.052,0.335,0,1,0,0.183,0.15,0,0.15,27,57601.502523673,0.553795331373839,0.5,0.300380589245405,0,1,1,1,0,0,1,1,0,0,0,0,80,0.25,0.5
"IE","IRL","Ireland",2018,0.125,1,100,0.787075165170195,0.479318672008477,0.646263719038607,0.5,0,1,0.26,0,1,0,0.007,0.44,1.539297,1.47558009748607,8,0,0.33,0,0.51,23,92218.141398691,0.485177715722362,0.5,0.415208624259299,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,72,0,0
"IL","ISR","Israel",2018,0.23,0,100,0.737888702767901,0.479318672008477,0.787075165170195,0.5,0,1,0,0,0,0,1.869,0.5,4.3262,1.7328340570961,0,0,0.28,1,0.33,17,26132.3890060412,0.633764928529151,0.5,1.2026892297197,0,0,1,0,0,0,1,1,0,0.3,0.23,0.23,54,0.25,0
