"country","year","corporate_rate_rank","corporate_rate","cost_recovery_rank","cost_recovery","incentives_rank","incentives","consumption_tax_rate_rank","consumption_tax_rate","consumption_tax_base_rank","consumption_tax_base","consumption_tax_complexity_rank","consumption_tax_complexity","real_property_tax_rank","real_property_tax","wealth_taxes_rank","wealth_taxes","capital_taxes_rank","capital_taxes","capital_gains_and_dividends_rank","capital_gains_and_dividends","income_tax_rank","income_tax","income_tax_complexity_rank","income_tax_complexity","territorial_rank","territorial","withholding_taxes_rank","withholding_taxes","tax_treaties_rank","tax_treaties","international_regulations_rank","international_regulations","ISO_2","ISO_3"
"Italy",2020,29,34.3098718531156,5,62.096657715313,34,41.5708408184986,25,40.9767150300835,35,27.3633473719215,10,88.9364845570749,31,39.459789569436,33,28.3585613626821,32,45.651940855329,21,55.5460962089032,16,55.218675934691,35,42.8637729490189,25,78.1095464633337,29,43.6030705285161,3,74.6946300262214,22,41.6466355424959,"IT","ITA"
"Japan",2020,31,27.5697364292195,34,35.5754271204893,35,39.953512173998,3,89.4890040464532,20,57.9921340910763,4,93.96535521295,22,57.7029036215351,10,68.7857576388649,30,47.3079932525468,16,66.7154828730753,18,51.5293826101634,28,69.9270772359316,28,74.6053179692783,20,54.4748331110816,23,49.3892600524428,22,41.6466355424959,"JP","JPN"
"Korea",2020,28,35.3924842787155,9,51.1961561783598,36,37.4610362494317,3,89.4890040464532,7,73.8101658668726,3,94.4682422785375,29,44.7000041058018,10,68.7857576388649,32,45.651940855329,17,66.26305115834,29,45.4851241034626,26,71.1432499319331,33,28.9550632057137,24,49.9223164221897,8,68.7900436990064,22,41.6466355424959,"KR","KOR"
"Latvia",2020,9,61.584720381939,1,100,2,94.9323401987459,19,45.0194057814476,28,50.5011178770248,25,70.8325501959248,16,68.1701493086238,1,100,7,79.8166184462556,3,87.667369483456,6,77.2794845445798,20,75.8840600109495,14,80.6966245295242,1,100,26,42.6411613927685,10,59.6903665508724,"LV","LVA"
"Lithuania",2020,4,79.0462111174213,4,65.9095963488294,26,53.7774292708713,19,45.0194057814476,31,39.3058445063907,19,82.3989527044374,9,73.619101588047,10,68.7857576388649,1,100,14,72.4867547480996,7,66.5946520472842,3,92.9507252339699,14,80.6966245295242,8,73.2884978375907,32,35.8930627330941,10,59.6903665508724,"LT","LTU"
"Luxembourg",2020,21,44.3327675352824,10,51.1370849154997,32,43.1945248228871,9,61.1901687869042,2,94.592614077217,5,92.9595810817749,2,77.7396427220417,10,68.7857576388649,16,64.6790822809472,7,85.7752012981848,24,49.4197319406029,33,48.2221035921887,1,100,4,88.1532438461498,16,60.3549203744135,10,59.6903665508724,"LU","LUX"
"Mexico",2020,33,26.6617389109744,23,43.9784102489706,11,74.5702162931871,8,65.2328595382683,26,53.4913991933818,33,53.7343899659497,5,76.3788756343324,10,68.7857576388649,7,79.8166184462556,9,79.9984418668827,32,36.2060458559013,7,86.5403500787884,33,28.9550632057137,33,40.0755515341431,27,40.1106243953906,36,23.6029045341194,"MX","MEX"
"Netherlands",2020,22,44.1232296464567,26,42.6390064648302,23,59.7235239846838,19,45.0194057814476,16,62.6625681904926,13,86.9249362947249,19,64.9461244173733,33,28.3585613626821,7,79.8166184462556,26,51.4209474744683,28,47.2480868752478,13,81.8202913928696,1,100,4,88.1532438461498,4,71.3205806963842,10,59.6903665508724,"NL","NLD"
"New Zealand",2020,30,33.6463352051673,28,41.904023112879,6,83.6780130339545,7,69.2755502896325,1,100,21,80.3874044420873,12,70.7609072430362,1,100,1,100,1,100,13,58.9672573790924,17,78.9345536207032,1,100,21,54.0093686794609,35,24.0838900786641,4,79.8451832754362,"NZ","NZL"
"Norway",2020,16,54.600124087746,30,40.644136268815,4,87.5816020484895,33,28.848642775991,6,74.1962515133484,16,83.9076139011999,8,73.6828463083882,32,59.5728037238172,16,64.6790822809472,31,44.2992667749542,14,57.4859985403329,1,100,24,79.8646178150056,6,80.2554064102496,13,63.7289697042506,22,41.6466355424959,"NO","NOR"
"Poland",2020,5,65.0770185290354,12,50.2543195432162,22,60.1630157542957,27,36.9340242787193,34,34.6135688090847,36,17.5265212436494,23,55.1084323452095,10,68.7857576388649,35,30.5144046900207,15,69.4066254408826,4,80.2653253723649,29,62.6099173204229,31,56.6886203563335,19,55.2646168546716,15,62.0419450393321,22,41.6466355424959,"PL","POL"
"Portugal",2020,35,21.4232916903297,7,53.3712292307459,33,42.787542519292,27,36.9340242787193,14,63.4532679929637,31,58.7632606218247,17,67.7855508624508,10,68.7857576388649,16,64.6790822809472,25,51.5859449997662,34,32.8379241846225,24,72.1739153972495,14,80.6966245295242,30,43.0935413888519,19,56.137358712117,22,41.6466355424959,"PT","PRT"
"Slovak Republic",2020,13,58.0924222348425,19,46.6217932049634,31,46.9310685574399,14,49.0620965328118,30,39.3814629409467,30,61.7805830153497,11,73.3081110939079,1,100,4,84.8624638346917,2,99.9437750511842,5,77.3203722494676,12,82.5623203156097,14,80.6966245295242,28,44.1145515580872,23,49.3892600524428,22,41.6466355424959,"SK","SVK"
"Slovenia",2020,5,65.0770185290354,22,45.9194256882444,24,57.4579992186182,25,40.9767150300835,29,50.3072665989663,26,69.3238889991623,25,47.9280785994348,10,68.7857576388649,16,64.6790822809472,10,79.1969349128637,17,52.5935175522442,24,72.1739153972495,30,66.7057444810681,13,65.8561248333112,27,40.1106243953906,4,79.8451832754362,"SI","SVN"
"Spain",2020,22,44.1232296464567,25,42.7986179927746,28,51.7710865296041,19,45.0194057814476,13,63.5725325752984,8,90.9480328194249,30,40.83438454862,33,28.3585613626821,26,62.4455294178551,19,61.4863230226086,10,64.3168303014668,21,74.4000021654695,14,80.6966245295242,22,52.771395049656,8,68.7900436990064,10,59.6903665508724,"ES","ESP"
"Sweden",2020,15,56.6955029760039,16,48.2219193871925,5,87.0076860297727,33,28.848642775991,5,75.4275773244247,15,85.9191621635499,13,69.7897280483585,1,100,7,79.8166184462556,29,47.6257937906292,21,50.0261639922317,4,92.2086963112299,1,100,7,76.3064876922996,17,58.6678957094949,22,41.6466355424959,"SE","SWE"
"Switzerland",2020,14,57.5735330838488,8,52.0456316585042,25,57.1437453778375,2,98.7871927745907,19,58.9460258270111,1,100,3,77.0879364255358,33,28.3585613626821,35,30.5144046900207,8,84.4747286358559,15,55.3010593960901,30,62.2797779916509,1,100,25,48.1888327854934,8,68.7900436990064,2,97.8889142838127,"CH","CHE"
"Turkey",2020,16,54.600124087746,14,49.3194547292125,17,66.0216282896316,11,57.14747803554,18,59.037634667389,28,66.3065666056373,7,75.545140996236,10,68.7857576388649,32,45.651940855329,6,86.7872422805419,8,65.7676042299017,16,79.2231901632796,1,100,15,65.3291050258476,14,62.8854573717913,21,43.7577212586832,"TR","TUR"
"United Kingdom",2020,5,65.0770185290354,35,35.095213330882,18,62.0316263178073,14,49.0620965328118,36,25.0099537248419,7,91.4509198850124,34,27.5580466460443,10,68.7857576388649,28,47.8854937184212,28,49.1086080556506,26,47.8949129657169,15,79.6765825434432,1,100,9,70.2705079828819,1,100,22,41.6466355424959,"GB","GBR"
"United States",2020,26,41.4461351635388,6,57.0401268320517,20,60.4947301811041,1,100,25,53.5470920643399,12,87.4278233603124,33,35.5600973932318,10,68.7857576388649,16,64.6790822809472,23,54.76917144766,20,50.461954613761,23,72.8333153397569,27,75.9919958268093,34,31.7122496666223,25,46.0152107226056,10,59.6903665508724,"US","USA"
