"country","year","base"
"Mexico","2019","0.334129712488695"
"Netherlands","2019","0.514299988155268"
"New Zealand","2019","0.95224411225627"
"Norway","2019","0.565921326183334"
"Poland","2019","0.441385620326629"
"Portugal","2019","0.492153165545173"
"Slovak Republic","2019","0.495470639649474"
"Slovenia","2019","0.583747031500922"
"Spain","2019","0.430877668728623"
"Sweden","2019","0.597513703470289"
"Switzerland","2019","0.682580340126438"
"Turkey","2019","0.400067337416955"
"United Kingdom","2019","0.438381144265963"
"United States","2019","0.4"
