country,corprate,losscarryback,losscarryforward,pdvmachines,pdvbuildings,pdvintangibles,inventory,patentbox,rndcredit,corptime,profitpayments,otherpayments,vatrate,threshold,base,consumptiontime,propertytaxes,propertytaxescollections,netwealth,estate/inheritance tax,transfertaxes,Assettaxes,capitalduties,financialtrans,capgainsrate,capgainsindex,divrate,incrate,threshold,taxwedge,laborpayments,labortime,dividendexempt,capgainsexemption,divwithhold,intwithhold,roywithhold,taxtreaties,cfcrules,countrylimitations,thincap
Germany,0.2979,1,60,0.7378887,0.391406,0.8698653,1,0,0,41,2,6,0.19,21297.52221,0.55,43,1,0.28503225,0,1,1,0,0,0,0.25,0,0.26375,0.47475,5.655649,1.10937775,1,134,0.95,0.95,0.26375,0,0.15825,97,0.5,0,1
Greece,0.29,0,5,0.7378887,0.4793187,0.7378887,1,0,1,78,1,6,0.23,6677.549595,0.37,69,1,0.927035212,0,1,1,0,1,0,0.23,0,0.1,0.46,5.272871,1.20230251,1,46,1,0,0.1,0.15,0.2,57,0.5,1,1
Hungary,0.19,0,2.5,0.8162004,0.2789584,0.8698653,0.5,1,1,35,2,7,0.27,42328.19865,0.52,96,1,0.483337663,0,1,1,1,0,1,0.16,0,0.16,0.345,0,1,2,146,1,1,0,0,0,128,0.833333333,0,0.5
Iceland ,0.2,0,10,0.86,0.4777778,0.8122694,0,0,1,40,1,7,0.24,7006.497053,0.45,40,1,1.220983457,0,1,0,1,0,0,0.2,0,0.2,0.443904,1.366742,1.280248515,13,60,1,1,0.18,0.1,0.2,36,0.833333333,0,0
Ireland,0.125,1,100,0.7870752,0.4793187,0.5479539,0.5,0,1,10,1,7,0.23,78844.25615,0.45,30,0.5,0.497906316,0,1,1,0,0,0,0.33,0,0.51,0.52,0.959707,1.69812369,1,40,0,1,0.2,0.2,0.2,70,0,1,0
Israel,0.265,0,100,0.8698653,0.5479539,0.7870752,0.5,0,0,110,2,14,0.18,18611.87492,0.64,69,1,1.68411066,0,0,1,0,0,0,0.27,1,0.32,0.5,6.0228,1.821324017,12,60,0,0,0.3,0.265,0.265,52,0.666666667,1,0
Italy,0.3129275,0,80,0.7602526,0.4626575,0.9651163,1,1,1,39,2,10,0.22,35990.67374,0.38,32,1,0.63438773,1,1,1,0,1,1,0.26,0,0.26,0.478431,9.885683,1.20886743,1,198,0.95,0.95,0.26,0.26,0.225,92,0.666666667,1,1
Japan,0.3211,0,7.2,0.7696023,0.2789584,0.7870752,1,0,1,102,3,13,0.08,88240.34416,0.69,23,1,1.291431465,0,1,1,0,1,0,0.204,0,0.20315,0.510858,4.486476,1.147949331,14,74.5,0.95,0,0.2042,0.2042,0.2042,59,0.666666667,0,0.5
Korea,0.242,0.5,10,0.9217205,0.5479539,0.7378887,1,1,1,82,1,8,0.1,26238.6012,0.69,25,1,0.206629403,0,1,1,0,1,1,0,1,0.35398,0.43199462,4.267112,1.231543551,2,80,0,0,0.22,0.22,0.22,83,0.666666667,1,0.5
Latvia,0.15,0,100,0.905,0.6142,0.7378887,0.5,0,1,28,1,5,0.21,0,0.6885318,66,0.5,0.419554625,0,0,1,0,0,0,0.15,0,0.1,0.1938,0.113023,1.04356413,1,99,1,1,0,0,0,58,0,1,0.5
Lithuania,,0,70,,,,1,0,1,28,1,8,,,,58,0.5,,0,1,0,0,0,0,0.15,1,1,,,,2,85,0.15,0.1,0.1,,,,,1,0.5
Luxembourg,0.2922,0,100,0.8708695,0.4793187,0.8698653,1,1,1,19,5,6,0.17,25182.62462,1,22,1,0.049918199,0,1,1,1,0,0,0,1,0.2,0.45,2.982644,1.377424771,12,14,1,1,0.15,0,0,70,0,0,0.5
Mexico,0.3,0,10,0.7378887,0.5479539,0.7378887,1,0,1,150,1,3,0.16,0,0.31,100,0.5,0.168695711,0,0,1,0,0,0,0.1,1,0.17142857,0.35,29.08548,1.246177416,2,38.5,0,0,0.1,0.4,0.4,51,1,1,0.5
Netherlands,0.25,1,9,0.9651163,0.3384747,0.7378887,1,1,1,22,1,7,0.21,1537.193296,0.53,34,0.5,0.533377604,0,1,1,0,0,0,0.3,1,0.25,0.70962076,1.2394,1.535121019,1,64,1,1,0.15,0,0,95,0,0,0
New Zealand,0.28,0,100,0.7319149,0.3071429,0.7378887,0.5,0,1,34,1,5,0.15,38134.00067,0.96,59,0,1.893451855,0,0,0,0,0,0,0,1,0.06944444,0.33,1.27894,1.520698204,2,59,1,1,0.3,0.15,0.15,39,0.666666667,0,0.5
Norway,0.27,0,100,0.7818182,0.373913,0.7378887,0,0,1,24,1,2,0.25,5181.61744,0.57,44,1,0.234545801,1,0,1,1,0,0,0.27,0,0.27,0.472,1.593848,1.285167243,1,15,0.97,0.97,0.25,0,0,88,0.833333333,1,1
Poland,0.19,0,2.5,0.7378887,0.3384747,0.8698653,1,0,0,70,1,16,0.23,77747.20423,0.42,113,1,1.582213225,0,1,1,1,1,1,0.19,0,0.19,0.38751185,2.261463,1.041409659,2,103,1,0,0.19,0.2,0.2,81,0.833333333,1,1
Portugal,0.295,0,8.4,0.8884112,0.5479539,0.7378887,0.5,0,1,63,1,6,0.23,14317.54964,0.47,96,0.5,0.423759625,0,1,1,1,0,1,0.28,1,0.28,0.61285,16.197175,1.339347278,1,116,1,1,0.25,0.25,0.25,67,0.833333333,1,1
Slovak Republic,0.22,0,4,0.8738791,0.6527281,0.8698653,0.5,0,1,42,1,20,0.2,86990.53295,0.43,103,0.5,0.348722041,0,0,0,1,0,0,0.22,0,0,0.3505,3.880309,1.124630668,1,62,1,0,0,0.19,0.19,66,0,1,1
Slovenia,0.17,0,50,0.8698653,0.391406,0.7378887,0.5,0,0,74,1,8,0.22,74142.10478,0.56,69,1,0.324472961,0,1,1,1,0,0,0,1,0.25,0.6105,5.307771,1.194557243,1,90,0.95,0.475,0.15,0.15,0.15,53,0,1,0.5
Spain,0.28,0,50,0.6950019,0.2913855,0.2789584,0.5,1,1,33,1,7,0.21,0,0.41,44,1,0.541733923,1,1,1,0,1,0,0.24,0,0.235,0.52,11.66034,1.121908689,1,90,1,1,0.195,0.195,0.195,82,0.5,1,1
Sweden    ,0.22,1.5,100,0.86,0.4793187,0.86,0,0,0,50,1,4,0.25,0,0.56,36,0.5,0.559770463,0,0,1,0,0,0,0.3,0,0.3,0.5686,1.508153,1.233280746,1,36,1,1,0.3,0,0,76,0.666666667,0,0.5
Switzerland,0.21148581,0,7,0.86,0.5548387,0.9052632,1,0,0,15,2,10,0.08,63826.82681,0.71,8,1,0.089460809,1,1,1,1,1,1,0,1,0.21135,0.41752888,3.461304,1.332509486,7,40,1,1,0.35,0.35,0,87,0,0,0.5
Turkey,0.2,0,5,0.8763232,0.4793187,0.6323278,0.5,0,1,49,1,8,0.18,0,0.4,97,0.5,0.231701428,0,1,1,0,1,1,0,1,0.175,0.358,3.998254,1.16728273,1,80,1,1,0.15,0.1,0.2,80,0.666666667,0,0.5
United Kingdom,0.2,1,100,0.7588235,0,0.8269231,0,1,1,32,1,6,0.2,102850.5599,0.44,25,0.5,2.305105219,0,1,1,1,0,1,0.28,0,0.3055625,0.47,4.271088,1.395892017,1,48,1,1,0,0.2,0.2,128,0.666666667,0,0
United States,0.389975,2,20,0.8769255,0.3495831,0.6327513,1,0,1,87,2.4,4.6,0.0725,0,0.397,33,0.5,2.065649516,0,1,1,1,0,1,0.251,0,0.28535406,0.486,8.220619,1.250047186,3.6,55,0,0,0.3,0.3,0.3,58,0.666666667,0,0.5
