"ISO-2","ISO-3","country","corprate","losscarryback","losscarryforward","pdvmachines","pdvbuildings","pdvintangibles","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","incrate","progressivity","taxwedge","laborpayments","labortime","capgainsrate","capgainsindex","divrate","vatrate","threshold","base","consumptiontime","propertytaxes","propertytaxescollections","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","dividendexempt","capgainsexemption","countrylimitations","divwithhold","intwithhold","roywithhold","taxtreaties","cfcrules","thincap"
"KR","KOR","Korea",NA,0.5,6,0.922,0.548,0.738,1,1,1,83,2,8,NA,NA,NA,2,80,0,NA,NA,NA,NA,NA,25,1,NA,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,93,NA,1
"LV","LVA","Latvia",NA,100,100,1,1,1,1,0,0,22.5,1,5,NA,NA,NA,1,80,0.2,NA,NA,NA,NA,NA,66,0.5,NA,0,0,1,0,0,0,1,1,1,0,0,0,61,NA,1
"LT","LTU","Lithuania",NA,0,70,0.918,0.838,0.98,1,1,1,18,1,8,NA,NA,NA,1,34,0.2,NA,NA,NA,NA,NA,47,0.5,NA,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,54,NA,1
"LU","LUX","Luxembourg",NA,0,17,0.864,0.479,0.87,1,1,0,19,5,6,NA,NA,NA,12,14,0,NA,NA,NA,NA,NA,22,1,NA,0,1,1,1,0,0,1,1,0,0.15,0,0,82,NA,1
"MX","MEX","Mexico",NA,0,10,0.738,0.548,0.738,1,0,1,102,1,3,NA,NA,NA,2,38.5,0.1,NA,NA,NA,NA,NA,100,0.5,NA,0,1,1,0,0,0,0,0,1,0.1,0.35,0.35,59,NA,0.5
"NL","NLD","Netherlands",NA,1,9,0.965,0.338,0.738,1,1,1,21,1,7,NA,NA,NA,1,64,0.3,NA,NA,NA,NA,NA,34,0.5,NA,0,1,1,0,0,0,1,1,0,0.15,0,0,97,NA,1
"NZ","NZL","New Zealand",NA,0,100,0.747,0.31,0.738,0.5,0,1,34,1,4,NA,NA,NA,2,59,0,NA,NA,NA,NA,NA,47,0,NA,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,NA,0.5
"NO","NOR","Norway",NA,0,100,0.782,0.374,0.738,0,0,1,24,1,3,NA,NA,NA,1,15,0.3168,NA,NA,NA,NA,NA,40,1,NA,1,0,1,1,0,0,0.97,1,1,0.25,0,0,87,NA,1
"PL","POL","Poland",NA,0,2.5,0.738,0.338,0.87,1,1,1,59,1,4,NA,NA,NA,2,103,0.19,NA,NA,NA,NA,NA,172,1,NA,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,85,NA,1
"PT","PRT","Portugal",NA,0,3.5,0.888,0.548,0.738,0.5,1,1,63,1,6,NA,NA,NA,1,90,0.28,NA,NA,NA,NA,NA,90,0.5,NA,0,1,1,1,0,1,1,1,1,0.25,0.25,0.25,77,NA,1
"SK","SVK","Slovak Republic",NA,0,4,0.874,0.653,0.87,0.5,1,1,46,1,6,NA,NA,NA,1,62,0,NA,NA,NA,NA,NA,84,0.5,NA,0,0,0,1,0,0,1,1,1,0.35,0.19,0.19,70,NA,1
"SI","SVN","Slovenia",NA,0,50,0.87,0.391,0.738,0.5,0,0,74,1,8,NA,NA,NA,1,90,0,NA,NA,NA,NA,NA,69,1,NA,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,59,NA,0.5
"ES","ESP","Spain",NA,0,100,0.779,0.391,0.738,0.5,1,1,33,1,7,NA,NA,NA,1,84,0.23,NA,NA,NA,NA,NA,30.5,1,NA,1,1,1,0,1,0,1,1,1,0.19,0.19,0.24,93,NA,1
"SE","SWE","Sweden",NA,1.5,100,0.86,0.479,0.86,0,0,0,50,1,4,NA,NA,NA,1,36,0.3,NA,NA,NA,NA,NA,36,0.5,NA,0,0,1,0,0,0,1,1,0,0.3,0,0,81,NA,1
"CH","CHE","Switzerland",NA,0,7,0.86,0.555,0.905,1,0,0,15,2,10,NA,NA,NA,7,40,0,NA,NA,NA,NA,NA,8,1,NA,1,1,1,1,1,1,1,1,0,0.35,0.35,0,93,NA,0.5
"TR","TUR","Turkey",NA,0,5,0.876,0.479,0.632,0.5,1,1,24,1,8,NA,NA,NA,1,71,0,NA,NA,NA,NA,NA,75,0.5,NA,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,85,NA,0.5
"GB","GBR","United Kingdom",NA,1,50,0.759,0.279,0.827,0,1,1,32,1,6,NA,NA,NA,1,48,0.2,NA,NA,NA,NA,NA,25,0.5,NA,0,1,1,1,0,1,1,1,0,0,0.2,0.2,129,NA,1
"US","USA","United States",NA,0,80,1,0.35,0.633,1,0,1,87,2.4,4.6,NA,NA,NA,3.6,55,0.238,NA,NA,NA,NA,NA,33,0.5,NA,0,1,1,1,0,1,1,0,0,0.3,0.3,0.3,65,NA,1
