"ISO-3","year","country","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","vatrate","threshold","base","consumptiontime","propertytaxes","propertytaxescollections","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","threshold_1","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","cfcrules","countrylimitations","thincap","ISO-2","corprate","divrate","incrate","progressivity","taxwedge","pdvmachines","pdvbuildings","pdvintangibles"
"EST",2018,"Estonia",100,100,1,0,0,5,1,7,0.2,74074.07407,0.7,14,0,0.200539394,0,0,0,0,0,0,0.2,0,0.14828,0,31,1,1,0,0,0.1,57,0.666666667,1,0,"EE",0.2,0,0.2,0.146481,1.05292647685851,1,1,1
"FIN",2018,"Finland",0,10,0,0,0,21,1,4,0.24,10989.01099,0.54,24,0.5,0.459174072,0,1,1,0,0,1,0.34,0,1.851725,3,48,1,1,0.2,0,0.2,86,0.833333333,1,1,"FI",0.2,0.289,0.5141,1.883456,1.29934892287547,0.826923076923077,0.518965517241379,0.737888702767901
"FRA",2018,"France",1,50,0.5,1,1,28,1,6,0.2,101481.4815,0.48,31,1,1.701212702,1,1,1,1,1,1,0.3443,0,14.576138,2,80,0.95,0.88,0.3,0,0.333,107,0.666666667,1,1,"FR",0.3443,0.34,0.54501,14.56943,1.25239151397712,0.857738015451725,0.547953910556565,0.869865253929667
"GBR",2018,"United Kingdom",1,50,0,1,1,37,1,6,0.2,121428.5714,0.44,25,0.5,2.531121422,0,1,1,1,0,1,0.28,0,3.925891,1,48,1,1,0,0.2,0.2,131,0.666666667,0,0,"GB",0.19,0.381,0.45,3.888548,1.38225920759108,0.758823529411765,0.278958448750364,0.826923076923077
"GRC",2018,"Greece",0,5,1,0,0,78,1,6,0.24,16666.66667,0.37,69,1,1.500850026,0,1,1,0,1,0,0.15,0,3.928468,1,46,1,0,0.15,0.15,0.2,57,0.5,1,1,"GR",0.29,0.15,0.55,11.186065,1.24787973193691,0.737888702767901,0.479318672008477,0.737888702767901
"HUN",2018,"Hungary",0,2.5,0.5,1,0,35,2,7,0.27,59259.25926,0.57,96,1,0.506853863,0,1,1,1,0,1,0.15,0,0,2,146,1,1,0,0,0,80,0.333333333,0,0.5,"HU",0.09,0.15,0.15,0,1,0.816200383417959,0.278958448750364,0.869865253929667
"IRL",2018,"Ireland",1,100,0.5,1,1,12,1,7,0.23,92592.59259,0.49,30,0.5,0.462234071,0,1,1,0,0,1,0.33,0,1.929367,1,40,0,1,0.2,0.2,0.2,73,0,1,0,"IE",0.125,0.51,0.48,1.539451,1.47564522989339,0.787075165170195,0.479318672008477,0.547953910556565
"ISL",2018,"Iceland",0,10,0.5,0,1,40,1,7,0.24,6944.444444,0.46,40,1,1.475661032,0,1,0,1,0,0,0.2,0,1.171853,13,60,1,1,0.2,0.12,0.2,43,0.833333333,0,1,"IS",0.2,0.22,0.4624,1.191078,1.28118069605336,0.86,0.602353618717047,0.812269350072009
"ISR",2018,"Israel",0,100,0.5,1,0,110,2,19,0.17,25850.13055,0.63,65,1,1.814864989,0,0,1,0,0,0,0.25,1,4.32481,12,60,0,0,0.3,0.23,0.23,55,0.666666667,0,0,"IL",0.23,0.33,0.5,4.3269,1.73304360691586,0.869865253929667,0.391406012913837,0.787075165170195
"ITA",2018,"Italy",0,80,0.5,1,1,39,2,11,0.22,41666.66667,0.37,30,1,0.710220436,1,1,1,0,1,1,0.26,0,2.700369,1,169,0.95,0.95,0.26,0.26,0.225,102,0.666666667,1,1,"IT",0.278064,0.26,0.4723,2.707691,1.2117862661496,0.760252585046526,0.462657542127945,0.965116279069767
"JPN",2018,"Japan",0,5,0.5,0,1,38,3,9,0.08,1e+05,0.7,21,1,1.370655204,0,1,1,1,1,0,0.20315,0,8.502439,2,92,0.95,0,0.2,0.2,0.2,70,0.666666667,0,0.5,"JP",0.2974,0.2032,0.55945,8.595115,1.13671311343403,0.769602272727273,0.278958448750364,0.787075165170195
"KOR",2018,"Korea",0.5,7.5,1,0,1,48,5,4,0.1,27428.57143,0.69,48,1,0.239375007,0,1,1,0,1,1,0,1,3.83926,2,72,0,0,0.2,0.2,0.2,93,0.666666667,0,0.5,"KR",0.275,0.4028,0.44000001,11.975707,1.25964439491447,0.921720532319392,0.547953910556565,0.737888702767901
"LTU",2018,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.15,0.15,0.364149,1.10269046418304,0.918446601941748,0.838302752293578,0.980369718309859
"LUX",2018,"Luxembourg",0,17,1,1,0,19,5,6,0.17,33333.33333,1,22,1,0.054022869,0,1,1,1,0,0,0,1,2.8058,12,14,1,1,0.15,0,0,81,0,0,0,"LU",0.2601,0.21,0.4578,3.679296,1.37949787547995,0.864209076145449,0.479318672008477,0.869865253929667
"LVA",2018,"Latvia",100,100,1,0,0,23,1,5,0.21,80000,0.51,66,0.5,0.527020266,0,0,1,0,0,0,0.2,0,0.073729,1,80,1,1,0,0,0,61,0,1,1,"LV",0.2,0,0.23,0.073224,1.03948572756239,1,1,1
"MEX",2018,"Mexico",0,10,1,0,1,102,1,3,0.16,0,0.32,100,0.5,0.188215715,0,0,1,0,0,0,0.1,1,25.40869,2,39,0,0,0.1,0.35,0.35,58,1,0,0.5,"MX",0.3,0.17142857,0.35,25.8299,1.21322451399757,0.737888702767901,0.547953910556565,0.737888702767901
"NLD",2018,"Netherlands",1,9,1,1,1,21,1,7,0.21,1640.243902,0.48,34,0.5,0.672660157,0,1,1,0,0,0,0,1,1.385089,1,64,1,1,0.15,0,0,97,0,1,0,"NL",0.25,0.25,0.52,1.391543,1.34629065876073,0.965116279069767,0.338474732816403,0.737888702767901
"NOR",2018,"Norway",2,100,0,0,1,24,1,2,0.25,4950.49505,0.56,44,1,0.262947414,1,0,1,1,0,0,0.23,0,1.616943,1,15,0.97,1,0.25,0,0,88,0.833333333,1,1,"NO",0.23,0.3059,0.3852,1.613925,1.24828401689237,0.781818181818182,0.373913043478261,0.737888702767901
"NZL",2018,"New Zealand",0,100,0.5,0,0,34,1,4,0.15,40816.32653,0.97,47,0,2.111620145,0,0,0,0,0,0,0,1,1.19,2,59,1,1,0.3,0.15,0.15,40,0.666666667,0,0.5,"NZ",0.28,0.06944444,0.33,1.19,1.47442439413466,0.746588594704684,0.310056925996205,0.737888702767901
"POL",2018,"Poland",0,2.5,1,0,1,59,1,4,0.23,111731.8436,0.44,98,1,1.613317482,0,1,1,1,1,1,0.19,0,2.03076,2,103,1,0,0.19,0.2,0.2,82,0.833333333,1,1,"PL",0.19,0.19,0.32,1.990489,1.03638711405152,0.737888702767901,0.338474732816403,0.869865253929667
"PRT",2018,"Portugal",0,3.5,0.5,1,1,63,1,6,0.23,16949.15254,0.48,90,0.5,0.508199851,0,1,1,1,0,1,0.28,1,15.611608,1,90,1,1,0.25,0.25,0.25,79,0.833333333,1,1,"PT",0.315,0.28,0.5621,15.607277,1.25780464267868,0.888411247396436,0.547953910556565,0.737888702767901
"SVK",2018,"Slovak Republic",0,4,0.5,0,1,46,1,6,0.2,101612.2449,0.48,84,0.5,0.375636017,0,0,0,0,0,0,0.21,0,3.539562,1,62,1,0,0.35,0.19,0.19,67,0,1,0.5,"SK",0.21,0.07,0.25,3.541593,1.11110778095369,0.873879108036537,0.652728119257913,0.869865253929667
"SVN",2018,"Slovenia",0,50,0.5,0,1,86,1,8,0.22,83333.33333,0.6,69,1,0.362176673,0,1,1,1,0,0,0,1,5.039418,1,90,0.95,0.475,0.15,0.15,0.15,58,0,1,0.5,"SI",0.19,0.25,0.5,5.056709,1.15625021888685,0.869865253929667,0.391406012913837,0.737888702767901
"SWE",2018,"Sweden",1.5,100,0,0,0,50,1,4,0.25,3303.964758,0.57,36,0.5,0.550641622,0,0,1,0,0,1,0.3,0,1.49848,1,36,1,1,0.3,0,0,81,0.666666667,0,0.5,"SE",0.22,0.3,0.5712,1.49517,1.24071206646735,0.86,0.479318672008477,0.86
"TUR",2018,"Turkey",0,5,1,1,1,45,1,9,0.18,0,0.42,91,0.5,0.315762533,0,1,1,0,1,1,0,1,3.210597,1,80,1,1,0.15,0.1,0.2,84,0.666666667,0,0.5,"TR",0.22,0.175,0.3576,3.092806,1.19232365515979,0.876323174170354,0.479318672008477,0.632327782275491
"USA",2018,"United States",0,80,1,0,1,87,2,5,0.073648,0,0.4,33,0.5,2.0923174,0,1,1,1,0,1,0.238,0,9.4,4,55,1,0,0.3,0.3,0.3,58,0.666666667,0,1,"US",0.2583858,0.2924084,0.4625,7.93496,1.24916870455424,1,0.34958311169213,0.632751338890881
