"country","year","ISO-3","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","consumptiontime","propertytaxes","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","threshold_1","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","cfcrules","countrylimitations","thincap","ISO-2","corprate","divrate","incrate","progressivity","taxwedge","pdvmachines","pdvbuildings","pdvintangibles","vatrate","threshold","base","propertytaxescollections"
"Latvia",2017,"LVA",0,75,0.5,0,1,23,1,5,66,0.5,0,0,1,0,0,0,0.15,0,0.099112,1,80,1,1,0,0,0,59,0,1,0.5,"LV",0.15,0.1,0.23,0.099112,1.03674563462436,0.905263157894737,0.614285714285714,0.869865253929667,21,98619.3293885602,0.55204813174365,0.519241268918956
"Lithuania",2017,"LTU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.15,0.15,0.256148,1.0708081936756,0.918446601941748,0.838302752293578,0.980369718309859,21,0,0.506629640715944,0.276399447393377
"Luxembourg",2017,"LUX",0,17,1,0,1,19,5,6,22,1,0,1,1,1,0,0,0,1,2.902134,12,14,1,1,0.15,0,0,80,0,0,0,"LU",0.2708,0.21,0.436,2.902134,1.34225274673982,0.864209076145449,0.479318672008477,0.869865253929667,17,27777.7777777778,0.920716527656256,0.0624951353014849
"Mexico",2017,"MEX",0,10,1,0,1,122,1,3,100,0.5,0,0,1,0,0,0,0.1,1,26.87409,2,64,0,0,0.1,0.4,0.4,55,1,1,0.5,"MX",0.3,0.17142857,0.35,26.87409,1.23753323086121,0.737888702767901,0.547953910556565,0.737888702767901,16,0,0.334129712488695,0.150324363331223
"Netherlands",2017,"NLD",1,9,1,1,1,21,1,7,34,0.5,1,1,1,0,0,0,0.3,1,1.393037,1,64,1,1,0.15,0,0,97,0,0,0,"NL",0.25,0.25,0.52,1.393037,1.33041468232977,0.965116279069767,0.338474732816403,0.737888702767901,21,1620.48192771084,0.514299988155268,0.647182877292794
"New Zealand",2017,"NZL",0,100,0.5,0,0,34,1,4,59,0,0,0,0,0,0,0,0,1,1.214258,2,59,1,1,0.3,0.15,0.15,40,0.67,0,0.5,"NZ",0.28,0.06944444,0.33,1.214258,1.48882085086912,0.746588594704684,0.310056925996205,0.737888702767901,15,40816.3265306122,0.95224411225627,1.6370654247496
"Norway",2017,"NOR",2,100,0,0,1,24,1,2,44,1,1,0,0,1,0,0,0.24,0,1.606431,1,15,0.97,1,0.25,0,0,88,0.83,1,1,"NO",0.24,0.2976,0.387,1.6061,1.29670741672978,0.781818181818182,0.373913043478261,0.737888702767901,25,5102.04081632653,0.565921326183334,0.258610639938548
"Poland",2017,"POL",0,2.5,1,0,1,70,1,4,98,1,0,1,1,0,1,1,0.19,0,2.110023,2,103,1,0,0.19,0.2,0.2,82,0.83,1,0.5,"PL",0.19,0.19,0.32,2.110023,1.03865683981747,0.737888702767901,0.338474732816403,0.869865253929667,23,83333.3333333333,0.441385620326629,1.17202013935306
"Portugal",2017,"PRT",0,3.5,0.5,1,1,63,1,6,90,0.5,0,1,1,1,0,1,0.28,1,15.800325,1,90,1,1,0.25,0.25,0.25,78,0.83,1,1,"PT",0.295,0.28,0.565,15.855541,1.27074907026445,0.888411247396436,0.547953910556565,0.737888702767901,23,16949.1525423729,0.492153165545173,0.556028091898628
"Slovak Republic",2017,"SVK",0,4,0.5,0,1,46,1,6,84,0.5,0,0,0,0,0,0,0,0,3.68508,1,62,1,0.21,0.35,0.19,0.19,67,0,1,0.5,"SK",0.21,0.07,0.25,3.68508,1.11560051461157,0.873879108036537,0.652728119257913,0.869865253929667,20,99580,0.495470639649474,0.270296931809834
"Slovenia",2017,"SVN",0,50,0.5,0,0,86,1,8,69,1,0,1,1,0,0,0,0,1,5.194874,1,90,0.95,0.475,0.15,0.15,0.15,57,0,1,0.5,"SI",0.19,0.25,0.5,5.194874,1.19671666841248,0.869865253929667,0.391406012913837,0.737888702767901,22,83333.3333333333,0.583747031500922,0.307901940701031
"Spain",2017,"ESP",0,70,0.5,1,1,33,1,6,35,1,1,1,1,0,1,0,0.23,0,2.449093,1,84,1,1,0.19,0.19,0.19,88,0.5,1,1,"ES",0.25,0.23,0.45,2.449093,1.12658341600752,0.778563038959402,0.391406012913837,0.737888702767901,21,0,0.430877668728623,0.687324070182599
"Sweden",2017,"SWE",0,100,0,0,0,50,1,4,36,0.5,0,0,1,0,0,0,0.3,0,1.503143,1,36,1,1,0.3,0,0,81,0.67,0,0.5,"SE",0.22,0.3,0.571,1.503143,1.24350576078361,0.86,0.479318672008477,0.86,25,0,0.597513703470289,0.516072849865961
"Switzerland",2017,"CHE",0,7,1,0,0,15,2,10,8,1,1,1,1,1,1,1,0,1,3.489512,7,40,1,1,0.35,0.35,0,91,0,0,0.5,"CH",0.21148581,0.21135,0.4167,3.371824,1.36170721338098,0.86,0.554838709677419,0.905263157894737,8,78125,0.682580340126438,0.0961284141622289
"Turkey",2017,"TUR",0,5,1,1,1,46,1,9,91,0.5,0,1,1,0,1,1,0,1,3.460417,1,80,1,1,0.15,0.1,0.2,83,0.67,0,0.5,"TR",0.2,0.175,0.3576,3.460417,1.21117881249185,0.876323174170354,0.479318672008477,0.632327782275491,18,0,0.400067337416955,0.229869211511665
"United Kingdom",2017,"GBR",1,100,0,1,1,37,1,6,25,0.5,0,1,1,1,0,1,0.2,0,4.038573,1,48,1,1,0,0.2,0.2,131,0.67,0,0,"GB",0.19,0.381,0.45,4.042911,1.38504927016457,0.758823529411765,0,0.826923076923077,20,118840.579710145,0.438381144265963,2.52350034088564
"United States",2017,"USA",2,20,1,0,1,87,2,5,33,0.5,0,1,1,1,0,1,0.28506064,0,8.088075,4,55,0,0,0.3,0.3,0.3,58,0.67,0,0.5,"US",0.38906474,0.28506064,0.4625,8.088075,1.25390642247726,0.93846273303009,0.34958311169213,0.632751338890881,7.4,0,0.397,2.00338480541494
