"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"MX","MEX","Mexico",2018,0.3,"0",10,0.737888702767901,0.547953910556565,0.737888702767901,1,0,0,0.0575,0,0,0,1.328,0.35,25.660191,1.21165989,0,13.011,0.1,0.17142857,16,0,0.333996867940045,0.5,0.0904683169932924,0,1,1,0,0,0,0,0,1,0.1,0.35,0.35,58,0.5,0.5
"NL","NLD","Netherlands",2018,0.25,"1",9,0.813463195231154,0.338474732816403,0.869865253929667,1,0,1,0.225,0,1,NA,0,0.55599991,2.031799,1.345217309,0,0,0.3,0.25,21,1650.19336094698,0.514299988155268,0.5,0.487261305310382,0,1,1,1,0,0,1,1,0,0.15,0,0,96,0,0
"NO","NOR","Norway",2018,0.23,"0",100,0.781818181818182,0.373913043478261,0.737888702767901,0,0,0,0.2225,0,0,0,0,0.4672,1.632658,1.251892078,0,0,0.3059,0.3059,25,4916.69351181324,0.567706046121266,0.5,0.180349897587768,1,0,1,0,0,0,0.97,1,1,0.25,0,0,87,0.375,1
"NZ","NZL","New Zealand",2018,0.28,"0",100,0.731914893617021,0.307142857142857,0.547953910556565,0.5,0,0,-0.02,0,0,0,3.24,0.33,1.174845,1.465567291,0,0,0,0.06944444,15,40813.1614282974,0.953878232629375,1,1.22177910582921,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,0.25,0.5
"PL","POL","Poland",2018,0.19,"0",2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,0,0,0.0875,0,1,0,0,0.36193239,2.506682,1.036056679,0,0,0.19,0.19,23,111214.726164321,0.454338435442738,0.5,0.864227054878312,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,84,0.375,1
"PT","PRT","Portugal",2018,0.315,"0",3.5,0.888411247396436,0.547953910556565,0.737888702767901,0.5,1,1,0.35,0,3,1,0.622,0.610269,15.622325,1.258117002,1,0,0.28,0.28,23,16886.4437318365,0.492983413095105,0.5,0.388171217373408,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,76,0.5,1
"SE","SWE","Sweden",2018,0.22,"0",100,0.86,0.479318672008477,0.86,0,0,0,0.05,0,0,0,0,0.6012,1.49517,1.240712066,0,-0.049,0.3,0.3,25,3296.89096588135,0.58223504469913,0.5,0.370414634551008,0,0,1,1,0,0,1,1,0,0.3,0,0,81,0.5,0.5
"SI","SVN","Slovenia",2018,0.19,"0",50,0.869865253929667,0.391406012913837,0.737888702767901,0.5,0,0,0.19,0,1,0,0.018,0.6105,5.056709,1.156250219,0,0,0,0.25,22,83256.737135169,0.575531867127735,0,0.242324406425567,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,58,0,0.5
"SK","SVK","Slovak Republic",2018,0.21,"0",4,0.873879108036537,0.547953910556565,0.869865253929667,0.5,0,1,0.09,0,0,0,0.667,0.28,6.315402,1.107696457,0,0,0,0.07,20,100763.364958068,0.496889347748719,0.5,0.225667717299815,0,0,0,1,0,0,1,1,1,0.35,0.19,0.19,69,0,1
"TR","TUR","Turkey",2018,0.22,"0",5,0.864149148541634,0.431068736527055,0.69441435606903,0.5,1,1,0.055,0,0,0,0,0.358,3.863311,1.19476027,1,0,0,0.175,18,0,0.400094350083281,0.5,0.117035995381575,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,83,0.5,0.5
"US","USA","United States",2018,0.2583858,"5",100,0.93846273303009,0.34958311169213,0.632751338890881,1,0,1,0.0575,0,2,0,0,0.486,7.93496,1.249168705,0,0,0.2888,0.28881436,7.4,0,0.352047242299779,0.5,1.59018133034659,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,66,0.5,1
