"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","gross_receipts_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"DK","DNK","Denmark",2024,0.22,"0",60,0.826923076923077,0.391406012913837,0.81340644290143,0,0,0,0.01,1,1,0,0.115392203822373,0,0.559044,1.22791,1.22635348243318,0,0,0.42,0.42,25,8183.30605564648,0.6570384403486,0.5,0.102961125171376,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,76,0.666666666666667,1,0.5
"EE","EST","Estonia",2024,0.2,"100",100,1,1,1,1,1,0,0,0,1,0,0,0,0.2,0.330389,1.26304301703703,0,0,0.2,0,22,71428.5714285714,0.725306382273537,1,0.105946749221734,0,0,0,0,0,0,1,1,1,0,0,0.1,62,0.5,1,0
"ES","ESP","Spain",2024,0.25,"0",70,0.778563038959402,0.391406012913837,0.737888702767901,0.5,0,1,0.295,1,3,0,0,0.00800129504719144,0.485718,9.712311,1.37750566327597,0,0,0.28,0.28,21,0,0.468198183009091,0.5,0.615245994498164,1,1,1,0,1,1,0.95,0.95,1,0.19,0.19,0.24,94,0.333333333333333,1,0.5
"FI","FIN","Finland",2024,0.2,"0",10,0.934782608695652,0.518965517241379,0.737888702767901,0,0,0,0.1,0,1,0,0,0,0.57478685,3.07417,1.26769983539292,0,0,0.34,0.289,24,19736.8421052632,0.600941709541403,0.5,0.402974153760587,0,1,1,0,0,1,1,1,1,0.2,0,0.2,77,0.5,1,0.5
"FR","FRA","France",2024,0.25825,"1",50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.3425,1,2,1,0.223676382037932,0.155037159937711,0.55572,13.110908,1.29416297253686,0,0,0.34,0.34,20,137164.179104478,0.525926449844575,0.5,1.0669035151506,0.5,1,1,1,0,1,0.95,0.88,1,0.25,0,0.25,122,0.5,1,1
"GB","GBR","United Kingdom",2024,0.25,"1",50,1,0.391406012913837,0.826923076923077,0,0,1,0.18,1,3,0,0,0.0080373974059561,0.47,2.378423,1.33710647795703,0,0,0.2,0.3935,20,126865.671641791,0.466143631959424,0.5,2.3755183702902,0,1,1,1,0,1,1,1,0,0,0.2,0.2,132,0.5,1,0.5
"GR","GRC","Greece",2024,0.22,"0",5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,1,0.23,0,1,0,0.132780788811142,0.0434701034080341,0.534898,1.808481,1.30360615029013,0,0,0,0.05,24,19230.7692307692,0.457892762839859,0.5,1.18247317789635,0,1,1,1,1,1,1,1,1,0.05,0.15,0.2,57,0.333333333333333,1,1
"HU","HUN","Hungary",2024,0.09,"0",2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,1,0.1525,0,2,0,0.0341677848573678,0.477880175890885,0.335,0,1.00000000810036,0,0.00503862350669341,0.15,0.15,27,70501.1456436167,0.616523585042852,0.5,0.00064864402603307,0,1,1,1,0,1,1,1,0,0,0,0,83,0.5,1,0.5
"IE","IRL","Ireland",2024,0.125,"1",100,0.787075165170195,0.479318672008477,0.646263719038607,0,0,1,0.23,0,2,0,0,0,0.52025,1.207122,1.44007164098438,0,0,0.33,0.51,23,106666.666666667,0.506508559039277,0.5,0.275003608832043,0,1,1,0,0,1,0,1,1,0.25,0.2,0.2,74,0.5,1,0.5
"IL","ISR","Israel",2024,0.23,"0",100,0.901030024355631,0.478865241362287,0.835370889649727,0.5,0,1,-0.01,0,0,0,0.136595393837634,0,0.5,3.501635,1.78397498064137,0,0,0.28,0.33,17,33426.1838440111,0.693691687481851,0.5,0.356054267951279,0,0,1,0,0,0,0.5,0.5,0,0.3,0.23,0.23,60,0.333333333333333,0,0
"IS","ISL","Iceland",2024,0.21,"0",10,0.86,0.602353618717047,0.812269350072009,0.5,0,0,0.36,0,1,0,0.384882312340073,0.0568701503463745,0.4628,1.325903,1.32843105339243,0,1,0.22,0.22,24,14269.4063926941,0.508696681194142,0,0.00999271270678127,0,1,1,1,0,0,1,1,0,0.21,0.13,0.2,47,0.666666666666667,1,0
"IT","ITA","Italy",2024,0.2781,"0",80,0.869865253929667,0.576669379707147,0.965116279069767,1,0,0,0.09,1,2,0,0.404763357761167,0.00737528995138631,0.52765573,1.562364,1.31727670545453,0,0,0.26,0.26,22,141666.666666667,0.44837702973277,0,0.651026782908979,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,101,0.5,1,1
"JP","JPN","Japan",2024,0.2974,"0.5",5,0.859028659709284,0.278958448750364,0.787075165170195,0.5,0,0,0.0875,0,6,1,0.0146000561101373,0,0.5620933,7.898953,1.08696350717722,1,0,0.20315,0.20315,10,105618.926911703,0.718207441708759,0.5,0.00630624292470381,0,1,1,1,1,0,0.95,0,0,0.2042,0.2042,0.2042,77,0.5,1,0.5
"KR","KOR","Korea",2024,0.264,"0.5",12,0.921720532319392,0.547953910556565,0.813463195231154,1,0,1,0.155,0,4,0,0,0,0.51976562,19.508361,1.28981171159366,1,0,0,0.4445,10,59973.7614793528,0.731160097241425,0,0.00041042661160173,0,1,1,0,1,1,0.95,0,1,0.22,0.22,0.22,95,0.5,1,0.5
"LT","LTU","Lithuania",2024,0.15,"0",70,0.905263157894737,0.826923076923077,0.966194331983806,1,0,1,0.28,0,2,0,0,0.0304772194914669,0.3898,4.39365,1.17169616910806,0,0,0.2,0.15,21,93750,0.607739297264845,0.5,0.247279134120845,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,58,0.333333333333333,1,0
"LU","LUX","Luxembourg",2024,0.2494,"0",17,0.873417350634541,0.479318672008477,0.869865253929667,1,0,1,-0.01,0,2,1,0.00853398749083675,0,0.4718,3.170297,1.38650205418208,1,0,0,0.21,17,42168.6746987952,0.885999014436643,0.5,0.0506645312069689,0,1,1,1,0,0,1,1,0,0.15,0,0,87,0.5,1,0.5
"LV","LVA","Latvia",2024,0.2,"100",100,1,1,1,1,1,0,0,0,0,0,0,0.0408901675186371,0.314,3.906599,1.16288933964669,0,0,0.2,0,21,98039.2156862745,0.687578120850568,0.5,0.423910409801928,0,0,1,0,0,0,1,1,1,0,0,0,63,0.5,1,0
"MX","MEX","Mexico",2024,0.3,"0",10,0.795219524916135,0.630382676079967,0.795219524916135,0.5,0,0,0.055,0,0,0,0.0635926767725759,0,0.35,21.48079,1.19421738601889,0,1,0.1,0.17142857,16,0,0.333497786076346,0.5,0.00616451271369998,0,0,1,0,0,0,0,0,0,0.1,0.35,0.35,60,0.5,1,0
"NL","NLD","Netherlands",2024,0.258,"0.5",50,0.813463195231154,0.338474732816403,0.869865253929667,1,0,1,0.225,0,2,0,0.00122803695406623,0,0.52576584,1.198127,1.48791585519875,0,0,0.36,0.33,21,27027.027027027,0.551028820970534,0.5,0.526846409057906,0,1,1,1,0,0,1,1,0,0.15,0,0,97,0.333333333333333,1,1
"NO","NOR","Norway",2024,0.22,"0",100,0.781818181818182,0.373913043478261,0.737888702767901,0,0,0,0.22,0,1,0,0,0,0.474,1.754441,1.30200731381933,0,0,0.378,0.3784,25,5624.29696287964,0.550546362091247,0.5,0.0206848889195269,1,0,1,0,0,0,0.97,1,1,0.25,0.15,0.15,83,0.5,1,0.5
"NZ","NZL","New Zealand",2024,0.28,"0",100,0.731914893617021,0,0.547953910556565,0.5,0,0,0.18,0,0,0,0.17628925843084,0,0.39,2.249475,1.51919952490833,0,0,0,0.152771,15,41095.8904109589,0.978388905951469,0.5,0.818009304861082,0,0,0,0,0,0,1,1,0,0,0.15,0.15,40,0.333333333333333,0.5,0
"PL","POL","Poland",2024,0.19,"0",2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,1,1,0.32,1,2,0,0,0,0.4543866,1.479211,1.26275188094196,0,0,0.19,0.19,23,106382.978723404,0.45361283602798,0.5,0.205914747664174,0,1,1,1,1,1,1,1,1,0.19,0.2,0.2,88,0.5,1,0
"PT","PRT","Portugal",2024,0.315,"0",65,0.888411247396436,0.547953910556565,0.547953910556565,0.5,1,1,0.35,1,6,0,0.0412817868068614,0,0.5817,12.150613,1.22352610352406,0,0,0.28,0.28,23,27285.3863234353,0.569944645626167,0.5,0.429070542610096,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,78,0.5,1,1
"SE","SWE","Sweden",2024,0.206,"0",100,0.86,0.479318672008477,0.86,0,0,0,0.105,0,1,0,0,0.00067083173263749,0.5237,1.139588,1.21539635003086,0,-0.00383435534947021,0.3,0.3,25,9400.70505287897,0.611851298716142,0.5,0.0356991209432053,0,0,1,1,0,0,1,1,0,0.3,0,0,83,0.666666666666667,1,1
"SI","SVN","Slovenia",2024,0.22,"0",63,0.869865253929667,0.391406012913837,0.737888702767901,0.5,0,0,0.19,0,1,0,0.00221616432659084,0,0.6105,3.617203,1.1533352701207,0,0,0,0.25,22,92592.5925925926,0.57893894651984,0,0.303973583696488,0,1,1,0,0,0,0.95,0.475,1,0.15,0.15,0.15,60,0.333333333333333,1,0.5
"SK","SVK","Slovak Republic",2024,0.21,"0",2.5,0.873879108036537,0.547953910556565,0.869865253929667,0.5,0,1,0.25,0,3,0,0.0649192030494175,0,0.3505,2.993728,1.1253738935045,0,0,0,0.07,20,97627.4509803922,0.512186004637708,0.5,0.28682641065498,0,0,0,1,0,0,1,1,1,0.19,0.19,0.19,71,0.5,1,0
"TR","TUR","Turkey",2024,0.25,"0",5,0.864149148541634,0.431068736527055,0.69441435606903,0.5,1,1,0.055,1,2,0,0,0,0.408,5.48864,1.26459767434139,0,0,0,0.2,20,0,0.454895107781586,0.5,0.00827565112299467,0,1,1,0,1,1,1,0.5,0,0.15,0.1,0.2,89,0.5,0.5,0
"US","USA","United States",2024,0.25631375,"0",80,0.950770186424072,0.34958311169213,0.632751338890881,1,0,1,0.0275,0,2,0,0,0,0.46,8.825954,1.24659087064859,0,0,0.2887,0.28726466,7.5,0,0.380023476418401,0.5,1.76494883200868,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,66,0.333333333333333,1,1
