"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"MX","MEX","Mexico",2021,0.3,0,10,0.737888702767901,0.547953910556565,0.737888702767901,1,0,0,0.055,0,102,1,3,0.35,26.70343,1.21616947592885,2,38.5,0.1,NA,0.17142857,16,0,0.338390807180329,100,0.5,0.0875984673604044,0,1,1,0,0,0,0,0,1,0.1,0.35,0.35,59,0.666666666666667,1
"NL","NLD","Netherlands",2021,0.25,1,6,0.813463195231154,0.338474732816403,0.737888702767901,1,0,1,0.225,0,21,1,7,0.495,1.31969,1.41619522006299,1,64,0.31,NA,0.269,21,25160.6824080283,0.559025402665908,34,0.5,0.480829627380675,0,1,1,1,0,0,1,1,0,0.15,0,0,96,0.333333333333333,1
"NO","NOR","Norway",2021,0.22,0,100,0.86,0.373913043478261,0.737888702767901,0,0,0,0.22,0,24,1,3,0.382,1.59324,1.24865710943747,1,15,0.3168,NA,0.3168,25,5374.64500469744,0.572691744471286,40,0.5,0.193615433652295,1,0,1,0,0,0,0.97,1,1,0.25,0,0,87,0.5,1
"NZ","NZL","New Zealand",2021,0.28,1,100,0.731914893617021,0.226315789473684,0.547953910556565,0.5,0,0,0.18,0,34,1,4,0.33,1.091193,1.41854957667669,2,59,0,NA,0.15277778,15,41120.9572958858,0.933034234484247,47,1,1.19220684156837,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,0.333333333333333,0.5
"PL","POL","Poland",2021,0.19,0,2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,1,1,0.2,1,59,1,4,0.32,1.684221,1.04020933397109,2,103,0.19,NA,0.19,23,110426.527985671,0.511054259031928,172,0.5,0.849177652852437,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,85,0.5,1
"PT","PRT","Portugal",2021,0.315,0,9.6,0.888411247396436,0.547953910556565,0.737888702767901,0.5,1,1,0.35,0,63,1,6,0.53,14.421529,1.25420678667683,1,90,0.28,NA,0.28,23,21769.1908478839,0.532308615499663,90,0.5,0.397606369125404,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,78,0.5,1
"SE","SWE","Sweden",2021,0.206,1.5,100,0.86,0.479318672008477,0.86,0,0,0,0.105,0,50,1,4,0.5228,1.123221,1.24103886145434,1,36,0.3,NA,0.3,25,3369.74113985538,0.591431202643108,36,0.5,0.324345994202107,0,0,1,1,0,0,1,1,0,0.3,0,0,81,0.666666666666667,1
"SI","SVN","Slovenia",2021,0.19,0,63,0.869865253929667,0.391406012913837,0.737888702767901,0.5,0,0,0.19,0,74,1,8,0.5,4.7453,1.12072998176249,1,90,0,NA,0.275,22,87962.19736606,0.582071408166565,69,0,0.256146257677048,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,59,0.333333333333333,0.5
"SK","SVK","Slovak Republic",2021,0.21,0,2.5,0.873879108036537,0.547953910556565,0.869865253929667,0.5,0,1,0.49,0,46,1,6,0.25,3.250985,1.11315404680533,1,62,0,NA,0.07,20,93374.3412786227,0.526309872707969,84,0.5,0.219896194077654,0,0,0,0,0,0,1,1,1,0.35,0.19,0.19,70,0.833333333333333,1
"TR","TUR","Turkey",2021,0.25,0,5,0.864149148541634,0.431068736527055,0.69441435606903,0.5,1,1,0.055,1,24,1,8,0.4076,8.558154,1.15919225427469,1,71,0,NA,0.2,18,0,0.339862977684008,75,0.5,0.0920891173609593,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,86,0.666666666666667,0.5
"US","USA","United States",2021,0.25754568,0,80,1,0.34958311169213,0.632751338890881,1,0,0,0.0675,0,87,2.4,4.6,0.4365,8.814304,1.2464439841873,3.6,55,0.2891,NA,0.28905211,7.4,0,0.341,33,0.5,1.58363477191012,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,66,0.333333333333333,1
