ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,turnover_tax_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,dividends_rate,vat_rate,vat_threshold,vat_base,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,minimum_tax
FR,FRA,France,2025,0.3613,1,50,0.880275604,0.547953911,0.869865254,0.5,0,1,0.3425,1,4,1,0.268749994,0.138294998,0.55572,12.941798,1.28336233,0,0,0.34,0.34,20,122246.5757,0.507768243,0.5,1.119941618,0.5,1,1,1,0,1,0.95,0.88,1,0.25,0,0.25,123,0.5,1,1
GB,GBR,United Kingdom,2025,0.25,1,50,1,0.391406013,0.826923077,0,0,1,0.18,1,3,0,0,0.007546501,0.47,2.235356,1.445490825,0,0,0.24,0.3935,20,132475.286,0.468135103,0.5,2.455638899,0,1,1,1,0,1,1,1,0,0,0.2,0.2,132,0.5,1,1
GR,GRC,Greece,2025,0.22,0,5,0.737888703,0.479318672,0.737888703,0.5,0,1,0.23,0,1,0,0.12261471,0.034261925,0.532198,1.738306,1.279091693,0,0,0,0.05,24,19273.17021,0.458914489,0.5,1.192294632,0,1,1,1,1,1,1,1,0,0.05,0.15,0.2,58,0.333333333,1,1
HU,HUN,Hungary,2025,0.09,0,2.5,0.816200383,0.278958449,0.737888703,0.5,0,1,0.17,0,2,0,0.030169357,0.453952816,0.335,0,1,0,0.005078041,0.15,0.15,27,100585.7584,0.576275433,0.5,0.000711483,0,1,1,1,0,1,1,1,0,0,0,0,83,0.5,1,1
IE,IRL,Ireland,2025,0.125,1,100,0.787075165,0.479318672,0.646263719,0,0,1,0.27,0,2,0,0,0,0.521,1.162416,1.445883665,0,0,0.33,0.51,23,112456.4727,0.474366012,0.5,0.289996297,0,1,1,0,0,1,1,1,1,0.25,0.2,0.2,74,0.5,1,1
IL,ISR,Israel,2025,0.23,0,100,0.901030024,0.478865241,0.83537089,0.5,0,1,-0.01,0,0,0,0.159574459,0,0.5,3.44034,1.729773192,0,0,0.3,0.35,18,33341.33525,0.595528355,0.5,0.314215895,0,0,1,0,0,0,0.5,0.5,0,0.3,0.23,0.23,60,0.333333333,0,0
IS,ISL,Iceland,2025,0.2,0,10,0.86,0.602353619,0.81226935,0.5,0,0,0.365,0,1,0,0.35375658,0,0.4629,1.332212,1.343900503,0,1,0.22,0.22,24,13717.98151,0.548473044,0,0.01011434,0,1,1,1,0,0,1,1,0,0.2,0.12,0.2,47,0.666666667,1,0
IT,ITA,Italy,2025,0.2781,0,80,0.869865254,0.57666938,0.965116279,1,0,0,0.09,1,2,0,0.386336067,0.007349318,0.52237873,1.509617,1.30582356,0,0,0.26,0.26,22,139165.1727,0.431719389,0,0.675827657,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,103,0.5,1,1
JP,JPN,Japan,2025,0.2974,0.5,5,0.85902866,0.278958449,0.787075165,0.5,0,1,0.0875,0,8,1,0.014263528,0,0.56187302,7.669291,1.116917334,1,0,0.20315,0.20315,10,105141.5998,0.69134376,0.5,0.005960598,0,1,1,1,1,0,0.95,0,0,0.2042,0.2042,0.2042,80,0.5,1,0.5
KR,KOR,Korea,2025,0.264,0.5,12,0.921720532,0.547953911,0.813463195,1,0,1,0.145,0,4,0,0,0,0.51976561,18.991063,1.274603273,1,0,0,0.4445,10,57217.96792,0.642272515,0,0.000331901,0,1,1,0,1,1,0.95,0,1,0.22,0.22,0.22,96,0.5,1,1
LT,LTU,Lithuania,2025,0.16,0,70,0.905263158,0.826923077,0.966194332,1,0,1,0.28,0,2,0,0,0.024429938,0.3898,4.443889,1.239876759,0,0,0.2,0.15,21,90189.94001,0.578019644,0.5,0.261733036,0,1,0,0,0,0,1,1,1,0.16,0.1,0.1,58,0.333333333,1,0
LU,LUX,Luxembourg,2025,0.2387,0,17,0.873417351,0.479318672,0.869865254,1,0,1,-0.01,0,2,1,0.006243187,0,0.4718,3.25869,1.388358974,1,0,0,0.21,17,59335.77164,0.846432462,0.5,0.051514004,0,1,1,1,0,0,1,1,0,0.15,0,0,87,0.5,1,1
LV,LVA,Latvia,2025,0.2,100,100,1,1,1,1,1,0,0,0,0,0,0,0,0.36,12.12,1.1479647,0,0,0.285,0,21,101595.2486,0.653807039,0.5,0.42545983,0,0,1,0,0,0,1,1,1,0,0,0,63,0.5,1,0
MX,MEX,Mexico,2025,0.3,0,10,0.795219525,0.630382676,0.795219525,0.5,0,0,0.055,0,0,0,0.060997941,0,0.35,20.56753,1.240768262,0,1,0.1,0.17142857,16,0,0.348933526,0.5,0.007362508,0,0,1,0,0,0,0,0,0,0.1,0.35,0.35,60,0.5,1,0
NL,NLD,Netherlands,2025,0.258,0.5,50,0.813463195,0.338474733,0.869865254,1,0,1,0.225,0,2,0,0.001492282,0,0.52542991,1.169261,1.497668566,0,0,0.36,0.31,21,26724.74845,0.548644504,0.5,0.503386172,0,1,1,1,0,0,1,1,0,0.15,0,0,97,0.333333333,1,1
NO,NOR,Norway,2025,0.22,0,100,0.781818182,0.373913043,0.737888703,0,0,0,0.22,0,1,0,0,0,0.474,1.75971,1.299781541,0,0,0.378,0.3784,25,5415.252383,0.528425254,0.5,0.019975725,1,0,1,0,0,0,0.97,1,1,0.25,0,0,83,0.5,1,1
NZ,NZL,New Zealand,2025,0.28,0,100,0.744680851,0.2,0.547953911,0.5,0,0,0.18,0,0,0,0.272287273,0,0.39,2.166774,1.553375512,0,0,0,0.15277778,15,41040.51383,0.962248738,0.5,0.823637974,0,0,0,0,0,0,1,1,0,0,0.15,0.15,41,0.333333333,0.5,1
PL,POL,Poland,2025,0.19,0,2.5,0.737888703,0.338474733,0.869865254,1,1,1,0.32,1,3,0,0,0,0.4543866,1.34808,1.227793995,0,0,0.19,0.19,23,101150.7926,0.459031404,0.5,0.229460093,0,1,1,1,1,1,1,1,1,0.19,0.2,0.2,88,0.5,1,1
PT,PRT,Portugal,2025,0.305,0,65,0.888411247,0.547953911,0.547953911,0.5,1,1,0.35,1,6,0,0.03816047,0,0.5817,11.581589,1.207198957,0,0,0.196,0.28,23,28490.56962,0.558002345,0.5,0.434287999,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,78,0.5,1,1
SE,SWE,Sweden,2025,0.206,0,100,0.86,0.479318672,0.86,0,0,0,0.11,0,1,0,0,0.00065531,0.5241,1.15434,1.222070237,0,-0.004555234,0.3,0.3,25,13973.24752,0.571285711,0.5,0.034025135,0,0,1,1,0,0,1,1,0,0.3,0,0,83,0.666666667,1,1
SI,SVN,Slovenia,2025,0.22,0,3.15,0.869865254,0.391406013,0.737888703,0.5,0,0,0.23,0,1,0,0.002100259,0,0.613,3.589237,1.160722274,0,0,0,0.25,22,107695.1796,0.583814269,0,0.323365502,0,1,1,0,0,0,0.95,0.475,1,0.15,0.15,0.15,60,0.333333333,1,1
SK,SVK,Slovak Republic,2025,0.24,0,2.5,0.873879108,0.547953911,0.869865254,0.5,0,1,0.25,0,4,0,0.087490813,0,0.3505,2.855355,1.130451463,0,0,0,0.07,23,97651.48186,0.563714644,0.5,0.309114315,0,0,0,1,0,1,1,1,1,0.19,0.19,0.19,75,0.5,1,0
TR,TUR,Turkey,2025,0.25,0,5,0.864149149,0.431068737,0.694414356,0.5,1,1,0.055,1,2,0,0,0,0.408,5.582718,1.219370182,0,0,0,0.2,20,0,0.43384279,0.5,0.006406007,0,1,1,0,1,1,1,0.5,0,0.15,0.1,0.2,93,0.5,0.5,1
US,USA,United States,2025,0.25569714,0,80,1,1,0.632751339,1,0,1,0.0275,0,2,0,0,0,0.46,8.733675,1.249209019,0,0,0.2887,0.28666715,7.5,0,0.359886952,0.5,1.828395916,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,64,0.333333333,1,1
