"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","turnover_tax_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"GB","GBR","United Kingdom",2026,0.25,"1",50,1,0.391406012913837,0.826923076923077,0,0,1,0.18,1,3,0,0,0.00743711264809561,0.47,2.235356,1.36958921835212,0,0,0.24,0.3935,20,132913.32721932,0.461193188810373,0.5,2.60350832127282,0,1,1,1,0,1,1,1,0,0,0.2,0.2,135,0.333333333,1,1
"GR","GRC","Greece",2026,0.22,"0",5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,1,0.23,0,1,0,0.122614710075361,0.034261925207407,0.532198,1.738306,1.27200104625675,0,0,0,0.05,24,18979.9419972973,0.440617162351607,0.5,1.1711395383472,0,1,1,1,1,1,1,1,0,0.05,0.15,0.2,57,0.333333333,1,1
"HU","HUN","Hungary",2026,0.09,"0",2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,1,0.17,0,2,0,0.019436446238622,0.510633825908398,0.335,0,1,0,0,0.15,0.15,27,108946.964399836,0.533675520362605,0.5,0.00065260011467949,0,1,1,1,0,1,1,1,0,0,0,0,83,0.333333333,1,1
"IE","IRL","Ireland",2026,0.125,"1",100,0.787075165170195,0.479318672008477,0.646263719038607,0,0,1,0.27,0,2,0,0,0,0.521,1.162416,1.45102758223246,0,0,0.33,0.51,23,113198.853095855,0.476232962035816,0.5,0.303684098121441,0,1,1,0,0,1,1,1,1,0.25,0.2,0.2,74,0.333333333,1,1
"IL","ISR","Israel",2026,0.23,"0",100,0.901030024355631,0.478865241362287,0.835370889649727,0.5,0,1,-0.01,0,1,0,0.193139591487635,0,0.5,3.44034,1.66809347457133,0,0,0.3,0.35,18,35218.6799238357,0.630328315727192,0.5,0.311037391345145,0,0,1,0,0,0,0.5,0.5,0,0.3,0.23,0.23,60,0.333333333,0,0
"IS","ISL","Iceland",2026,0.2,"0",10,0.86,0.602353618717047,0.812269350072009,0.5,0,0,0.36,0,1,0,0.361814125212634,0,0.4629,1.332212,1.3466843500463,0,1,0.22,0.22,24,13212.8336120746,0.60870027196717,0,0.0103828788399534,0,1,1,1,0,0,1,1,0,0.2,0.12,0.2,47,0.666666667,1,0
"IT","ITA","Italy",2026,0.2781,"0",80,0.869865253929667,0.576669379707147,0.965116279069767,1,0,0,0.09,1,2,0,0.434523401394683,0.00732688803184386,0.52237873,1.509617,1.3935437078701,0,0,0.26,0.26,22,139281.471467781,0.433935562771814,0,0.661622005246856,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,106,0.5,1,1
"JP","JPN","Japan",2026,0.2974,"0.5",5,0.859028659709284,0.278958448750364,0.787075165170195,0.5,0,1,0.0875,0,9,1,0.0128417621381046,0,0.56187302,7.669291,1.10289554978653,1,0,0.20315,0.20315,10,103007.775541937,0.711262373182877,0.5,0.00555940220208955,0,1,1,1,1,0,0.95,0,0,0.2042,0.2042,0.2042,81,0.666666667,1,1
"KR","KOR","Korea",2026,0.275,"0.5",12,0.921720532319392,0.547953910556565,0.813463195231154,1,0,1,0.1475,0,5,0,0,0,0.51976561,18.991063,1.2629928202336,1,0,0,0.4445,10,58799.8023944441,0.685357627896102,0,0.00030540402670826,0,1,1,0,1,1,0.95,0,1,0.22,0.22,0.22,96,0.666666667,1,1
"LT","LTU","Lithuania",2026,0.17,"0",70,1,0.826923076923077,1,1,0,1,0.305,0,2,0,0,0.0215151939757457,0.3898,4.443889,1.22529274525874,0,0,0.2,0.15,21,87690.4099818968,0.587377172171984,0.5,0.261423103055055,0,1,0,0,0,0,1,1,1,0.17,0.1,0.1,58,0.333333333,1,0
"LU","LUX","Luxembourg",2026,0.2387,"0",17,0.873417350634541,0.479318672008477,0.869865253929667,1,0,1,-0.01,0,2,1,0.00610768024148635,0,0.4718,3.25869,1.38411150886131,1,0,0,0.21,17,60063.5953347404,0.869845252789753,0.5,0.0507954224992184,0,1,1,1,0,0,1,1,0,0.15,0,0,87,0.333333333,1,1
"LV","LVA","Latvia",2026,0.2,"100",100,1,1,1,1,1,0,0,0,0,0,0,0,0.36,12.12,1.15247743711117,0,0,0.285,0,21,99068.3611319155,0.6374126054143,0.5,0.413067880376925,0,0,1,0,0,0,1,1,1,0,0,0,63,0.333333333,1,0
"MX","MEX","Mexico",2026,0.3,"0",10,0.795219524916135,0.630382676079967,0.795219524916135,0.5,0,0,0.055,0,0,0,0.0647434873105904,0,0.35,20.56753,1.22446946949643,0,1,0.1,0.17142857,16,0,0.3362772305367,0.5,0.00652711950510728,0,0,1,0,0,0,0,0,0,0.1,0.35,0.35,60,0.5,1,0
"NL","NLD","Netherlands",2026,0.258,"0.5",50,0.813463195231154,0.338474732816403,0.869865253929667,1,0,1,0.245,0,2,0,0.00152261480138678,0,0.52542991,1.169261,1.50013140131936,0,0,0.36,0.31,21,26782.0437109735,0.537410465118341,0.5,0.434162706372312,0,1,1,1,0,0,1,1,0,0.15,0,0,97,0.333333333,1,1
"NO","NOR","Norway",2026,0.22,"0",100,0.781818181818182,0.373913043478261,0.737888702767901,0,0,0,0.22,0,1,0,0,0,0.474,1.75971,1.29224843743234,0,0,0.378,0.3784,25,5290.07546927466,0.518397632916655,0.5,0.0189125424891151,1,0,1,0,0,0,0.97,1,1,0.25,0,0,82,0.5,1,1
"NZ","NZL","New Zealand",2026,0.28,"0",100,0.74468085106383,0.2,0.547953910556565,0.5,0,0,0.18,0,1,0,0.238820254358261,0,0.39,2.166774,1.5582612453546,0,0,0,0.15277778,15,40734.3866793124,0.952745840637153,0.5,0.878648070633876,0,0,0,0,0,0,1,1,0,0,0.15,0.15,40,0.333333333,0.5,1
"PL","POL","Poland",2026,0.19,"0",2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,1,1,0.32,1,3,0,0,0,0.4543866,1.34808,1.20375878079325,0,0,0.19,0.19,23,121854.689298467,0.492832445732162,0.5,0.254197423817579,0,1,1,1,1,1,1,1,1,0.19,0.2,0.2,83,0.5,1,1
"PT","PRT","Portugal",2026,0.295,"0",65,0.888411247396436,0.547953910556565,0.547953910556565,0.5,1,1,0.35,1,6,0,0.0270868091738793,0,0.5817,11.581589,1.20329257233272,0,0,0.196,0.28,23,28078.4249126761,0.574474065913418,0.5,0.424860067108369,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,77,0.666666667,1,1
"SE","SWE","Sweden",2026,0.206,"0",100,0.86,0.479318672008477,0.86,0,0,0,0.11,0,1,0,0,0.00058469761345494,0.5241,1.15434,1.21165225562806,0,-0.00600957759611274,0.3,0.3,25,14037.5619422043,0.548775293465657,0.5,0.0345372224105833,0,0,1,1,0,0,1,1,0,0.3,0,0,81,0.666666667,1,1
"SI","SVN","Slovenia",2026,0.22,"0",3.15,0.869865253929667,0.391406012913837,0.737888702767901,0.5,0,0,0.23,0,1,0,0.00179924106234835,0,0.613,3.589237,1.15554071451674,0,0,0,0.25,22,107467.562707323,0.5611892177825,0,0.336011139805084,0,1,1,0,0,0,0.95,0.475,1,0.15,0.15,0.15,58,0.333333333,1,1
"SK","SVK","Slovak Republic",2026,0.24,"0",2.5,0.873879108036537,0.547953910556565,0.869865253929667,0.5,0,1,0.295,0,4,0,0.0911608330346325,0,0.3505,2.855355,1.12367615199656,0,0,0,0.07,23,97601.3492410519,0.524498890306345,0.5,0.372415865886564,0,0,0,1,0,1,1,1,1,0.19,0.19,0.19,74,0.333333333,1,0
"TR","TUR","Turkey",2026,0.25,"0",5,0.864149148541634,0.431068736527055,0.69441435606903,0.5,1,1,0.055,1,2,0,0,0,0.408,5.582718,1.20438338261808,0,0,0,0.2,20,0,0.410782636484704,0.5,0.00413901780593602,0,1,1,0,1,1,1,0.5,0,0.15,0.1,0.2,94,0.5,0.5,1
"US","USA","United States",2026,0.255285,"0",80,1,1,0.632751338890881,1,0,0,0.0675,0,2,0,0,0,0.46,8.733675,1.25294334842886,0,0,0.2887,0.28666715,7.5,0,0.343054842932629,0.5,1.88236665694233,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,64,0.666666667,1,1
