"country","year","ISO-3","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","consumptiontime","propertytaxes","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","threshold_1","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","countrylimitations","thincap","ISO-2","ISO-3.1","corprate","divrate","incrate","progressivity","taxwedge","pdvmachines","pdvbuildings","pdvintangibles","vatrate","threshold","base","propertytaxescollections","cfcrules"
"Italy",2019,"ITA",0,80,0.5,1,1,39,2,11,30,1,1,1,1,0,1,1,0.26,0,2.700369,1,169,0.95,0.95,0.26,0.26,0.225,102,1,1,"IT","ITA",0.278064,0.26,0.4723,2.660988,1.24268824305587,0.760252585046526,0.462657542127945,0.965116279069767,22,90380.9627102053,0.378756793044304,0.776039563260252,0.666666666666667
"Japan",2019,"JPN",0,5,0.5,0,1,38,3,9,21,1,0,1,1,1,1,0,0.20315,0,8.502439,2,92,0.95,0,0.2,0.2,0.2,70,0,0.5,"JP","JPN",0.2974,0.2032,0.55945,8.523732,1.13468336003855,0.769602272727273,0.278958448750364,0.787075165170195,8,100407.568377102,0.7125070110352,1.13103595851161,0.666666666666667
"Korea",2019,"KOR",0.5,7.5,1,0,1,48,5,4,48,1,0,1,1,0,1,1,0,1,3.83926,2,72,0,0,0.2,0.2,0.2,93,0,0.5,"KR","KOR",0.275,0.4028,0.46199991,11.411545,1.24277078776333,0.921720532319392,0.547953910556565,0.737888702767901,10,34205.4862364084,0.696451079081173,0.458339950386793,0.666666666666667
"Latvia",2019,"LVA",100,100,1,0,0,23,1,5,66,0.5,0,0,1,0,0,0,0.2,0,0.073729,1,80,1,1,0,0,0,61,1,1,"LV","LVA",0.2,0,0.314,5.201247,1.11235837219153,1,1,1,21,79773.9207087115,0.55204813174365,0.58474524753345,0.666666666666667
"Lithuania",2019,"LTU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LTU",0.15,0.15,0.15,0.410051,1.11016943750264,0.918446601941748,0.838302752293578,0.980369718309859,21,97563.0907987165,0.506629640715944,0.324300491749063,0.333333333333333
"Luxembourg",2019,"LUX",0,17,1,1,0,19,5,6,22,1,0,1,1,1,0,0,0,1,2.8058,12,14,1,1,0.15,0,0,81,0,0,"LU","LUX",0.2494,0.21,0.4578,3.601462,1.3796009484275,0.864209076145449,0.479318672008477,0.869865253929667,17,33690.3764562665,0.920716527656256,0.0619695172983627,0.666666666666667
"Mexico",2019,"MEX",0,10,1,0,1,102,1,3,100,0.5,0,0,1,0,0,0,0.1,1,25.40869,2,39,0,0,0.1,0.35,0.35,58,0,0.5,"MX","MEX",0.3,0.17142857,0.35,28.657892,1.22541089373791,0.737888702767901,0.547953910556565,0.737888702767901,16,0,0.334129712488695,0.144168975482718,1
"Netherlands",2019,"NLD",1,9,1,1,1,21,1,7,34,0.5,0,1,1,0,0,0,0,1,1.385089,1,64,1,1,0.15,0,0,97,1,0,"NL","NLD",0.25,0.25,0.5195,1.396044,1.33931976589556,0.965116279069767,0.338474732816403,0.737888702767901,21,1650.19336094698,0.514299988155268,0.666350571382383,0.333333333333333
"New Zealand",2019,"NZL",0,100,0.5,0,0,34,1,4,47,0,0,0,0,0,0,0,0,1,1.19,2,59,1,1,0.3,0.15,0.15,40,0,0.5,"NZ","NZL",0.28,0.06944444,0.33,1.159718,1.45683627094634,0.746588594704684,0.310056925996205,0.737888702767901,15,40813.1614282974,0.95224411225627,1.55609549321494,0.333333333333333
"Norway",2019,"NOR",2,100,0,0,1,24,1,2,44,1,1,0,1,1,0,0,0.23,0,1.616943,1,15,0.97,1,0.25,0,0,88,1,1,"NO","NOR",0.22,0.3168,0.384,1.612888,1.24997540546145,0.781818181818182,0.373913043478261,0.737888702767901,25,4916.69351181324,0.565921326183334,0.276973946213346,0.666666666666667
"Poland",2019,"POL",0,2.5,1,0,1,59,1,4,98,1,0,1,1,1,1,1,0.19,0,2.03076,2,103,1,0,0.19,0.2,0.2,82,1,1,"PL","POL",0.19,0.19,0.32,1.857583,1.03387517587815,0.737888702767901,0.338474732816403,0.869865253929667,23,111214.726164321,0.441385620326629,1.10822639953743,0.666666666666667
"Portugal",2019,"PRT",0,3.5,0.5,1,1,63,1,6,90,0.5,0,1,1,1,0,1,0.28,1,15.611608,1,90,1,1,0.25,0.25,0.25,79,1,1,"PT","PRT",0.315,0.28,0.53,15.313676,1.27366379444072,0.888411247396436,0.547953910556565,0.737888702767901,23,16886.4437318365,0.492153165545173,0.605661002403662,0.666666666666667
"Slovak Republic",2019,"SVK",0,4,0.5,0,1,46,1,6,84,0.5,0,0,0,0,0,0,0.21,0,3.539562,1,62,1,0,0.35,0.19,0.19,67,1,0.5,"SK","SVK",0.21,0.07,0.25,3.35728,1.10519624887834,0.873879108036537,0.652728119257913,0.869865253929667,20,100763.364958068,0.495470639649474,0.27547019811219,1
"Slovenia",2019,"SVN",0,50,0.5,0,1,86,1,8,69,1,0,1,1,1,0,0,0,1,5.039418,1,90,0.95,0.475,0.15,0.15,0.15,58,1,0.5,"SI","SVN",0.19,0.25,0.5,4.842731,1.26779478290572,0.869865253929667,0.391406012913837,0.737888702767901,22,83256.737135169,0.583747031500922,0.344102633301383,0.333333333333333
"Spain",2019,"ESP",0,100,0.5,1,1,33,1,7,35,1,1,1,1,0,1,0,0.23,0,2.444309,1,84,1,1,0.19,0.19,0.24,89,1,1,"ES","ESP",0.25,0.23,0.435,2.409703,1.21576799276324,0.778563038959402,0.391406012913837,0.737888702767901,21,0,0.430877668728623,0.703302081238721,0.333333333333333
"Sweden",2019,"SWE",1.5,100,0,0,0,50,1,4,36,0.5,0,0,1,0,0,1,0.3,0,1.49848,1,36,1,1,0.3,0,0,81,0,0.5,"SE","SWE",0.214,0.3,0.5712,1.489688,1.23696029584554,0.86,0.479318672008477,0.86,25,3296.89096588135,0.597513703470289,0.480850798908148,0.666666666666667
"Switzerland",2019,"CHE",0,7,1,0,0,15,2,10,8,1,1,1,1,1,1,1,0,1,3.49735,7,40,1,1,0.35,0.35,0,93,0,0.5,"CH","CHE",0.21148581,0.21135,0.4167,3.30769,1.35253868781859,0.86,0.554838709677419,0.905263157894737,7.7,81953.3750858462,0.682580340126438,0.103213246119261,0
"Turkey",2019,"TUR",0,5,1,1,1,45,1,9,91,0.5,0,1,1,0,1,1,0,1,3.210597,1,80,1,1,0.15,0.1,0.2,84,0,0.5,"TR","TUR",0.22,0.175,0.3576,3.008828,1.18922800976239,0.876323174170354,0.479318672008477,0.632327782275491,18,0,0.400067337416955,0.203411292297348,1
"United Kingdom",2019,"GBR",1,50,0,1,1,37,1,6,25,0.5,0,1,1,1,0,1,0.28,0,3.925891,1,48,1,1,0,0.2,0.2,131,0,0,"GB","GBR",0.19,0.381,0.45,3.81405,1.38825375214752,0.758823529411765,0.278958448750364,0.826923076923077,20,119167.287037543,0.438381144265963,2.6079351730449,0.666666666666667
"United States",2019,"USA",0,80,1,0,1,87,2,5,33,0.5,0,1,1,1,0,1,0.238,0,9.4,4,55,1,0,0.3,0.3,0.3,58,0,1,"US","USA",0.25886141,0.29275433,0.4365,9.317343,1.24630480803526,1,0.34958311169213,0.632751338890881,7.4,0,0.4,2.03537407185037,0.333333333333333
