"country","year","ISO-3","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","consumptiontime","propertytaxes","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","countrylimitations","thincap","corprate","divrate","incrate","progressivity","taxwedge","ISO-2","pdvmachines","pdvbuildings","pdvintangibles","vatrate","threshold","base","propertytaxescollections","cfcrules"
"Germany",2015,"DEU",1,60,1,0,0,41,2,6,43,1,0,1,1,0,0,0,0.25,"0",1,134,0.95,0.95,0.26375,0,0.15825,94,0,1,0.29780475,0.26375,0.47475,5.655649,1.10442828089418,"DE",0.737888702767901,0.391406012913837,0.869865253929667,19,21297.5222109729,0.555961693374702,0.260483699586195,0.333333333333333
"Greece",2015,"GRC",0,5,1,0,1,78,1,6,69,1,0,1,1,0,1,0,0.23,"0",1,46,1,0,0.1,0.15,0.2,57,1,1,0.29,0.1,0.46,5.272871,1.195055433819,"GR",0.737888702767901,0.479318672008477,0.737888702767901,23,6677.54959454146,0.383647353956222,0.824410960343746,0.333333333333333
"Hungary",2015,"HUN",0,2.5,0.5,1,1,35,2,7,96,1,0,1,1,1,0,1,0.16,"0",2,146,1,1,0,0,0,75,0,0.5,0.19,0.16,0.16,0,1,"HU",0.816200383417959,0.278958448750364,0.869865253929667,27,42328.198651231,0.596712802594611,0.385057288878527,0.666666666666667
"Iceland",2015,"ISL",0,10,0,0,1,40,1,7,40,1,0,1,0,1,0,0,0.2,"0",13,60,1,1,0.18,0.1,0.2,39,0,0,0.2,0.2,0.4624,1.366742,1.27330859262124,"IS",0.86,0.477777777777778,0.812269350072009,24,7006.49705254991,0.524289597466797,1.01883105029113,0.666666666666667
"Ireland",2015,"IRL",1,100,0.5,0,1,10,1,7,30,0.5,0,1,1,0,0,0,0.33,"0",1,40,0,1,0.2,0.2,0.2,68,1,0,0.125,0.51,0.48,0.756426,1.4614736235237,"IE",0.787075165170195,0.479318672008477,0.547953910556565,23,78844.2561518391,0.484759438197319,0.635114799497747,0
"Israel",2015,"ISR",0,100,0.5,0,0,110,2,14,69,1,0,0,1,0,0,0,0.27,"1",12,60,0,0,0.3,0.265,0.265,53,1,0,0.265,0.32,0.5,6.0228,1.76965090948087,"IL",0.869865253929667,0.547953910556565,0.787075165170195,18,18611.874917961,0.624583395914838,1.56057544940978,0.666666666666667
"Italy",2015,"ITA",0,80,1,1,1,39,2,10,32,1,1,1,1,0,1,1,0.26,"0",1,198,0.95,0.95,0.26,0.26,0.225,95,1,1,0.3129275,0.26,0.478431,9.885683,1.2046218896522,"IT",0.760252585046526,0.462657542127945,0.965116279069767,22,35990.6737367146,0.377371504948421,0.696315543150948,0.666666666666667
"Japan",2015,"JPN",0,7.2,1,0,1,102,3,13,23,1,0,1,1,0,1,0,0.204,"0",14,74.5,0.95,0,0.2042,0.2042,0.2042,62,0,0.5,0.3211,0.20315,0.5084,4.486476,1.1482407507713,"JP",0.769602272727273,0.278958448750364,0.787075165170195,8,88240.3441644497,0.728203213265697,1.19064488570795,0.666666666666667
"Korea",2015,"KOR",0.5,10,1,1,1,82,1,8,25,1,0,1,1,0,1,1,0,"1",2,80,0,0,0.22,0.22,0.22,83,1,0.5,0.242,0.35398,0.418,4.267112,1.23195329247691,"KR",0.921720532319392,0.547953910556565,0.737888702767901,10,26238.6011968703,0.636067104540328,0.401588968173824,0.666666666666667
"Latvia",2015,"LVA",0,100,0.5,0,1,28,1,5,66,0.5,0,0,1,0,0,0,0.15,"0",1,99,1,1,0,0,0,57,1,0.5,0.15,0.1,0.24,0.113023,1.04331863760545,"LV",0.905263157894737,0.614285714285714,0.869865253929667,21,100604,0.520651810028962,0.478944919192034,0
"Lithuania",2015,"LTU",0,70,1,0,1,28,1,8,58,0.5,0,1,0,0,0,0,0.15,"1",2,85,1,1,0.15,0.1,0.1,50,1,0.5,0.15,0.15,0.15,0.243957,1.08037371183869,"LT",0.918446601941748,0.838302752293578,0.980369718309859,21,100897,0.509204814364489,0.226529224948919,0.333333333333333
"Luxembourg",2015,"LUX",0,100,1,1,1,19,5,6,22,1,0,1,1,1,0,0,0,"1",12,14,1,1,0.15,0,0,74,0,0.5,0.2922,0.2,0.436,2.982644,1.34880284591451,"LU",0.870869546099498,0.479318672008477,0.869865253929667,17,25182.6246203907,0.955762392001671,0.0609617172618982,0
"Mexico",2015,"MEX",0,10,1,0,1,150,1,3,100,0.5,0,0,1,0,0,0,0.1,"1",2,38.5,0,0,0.1,0.4,0.4,54,1,0.5,0.3,0.17142857,0.35,29.08548,1.25232934433673,"MX",0.737888702767901,0.547953910556565,0.737888702767901,16,0,0.321940337203395,0.136394450083222,1
"Netherlands",2015,"NLD",1,9,1,1,1,22,1,7,34,0.5,0,1,1,0,0,0,0.3,"1",1,64,1,1,0.15,0,0,96,0,0,0.25,0.25,0.52,1.2394,1.53065191905159,"NL",0.965116279069767,0.338474732816403,0.737888702767901,21,1537.1932964077,0.487597335581894,0.526439475595381,0
"New Zealand",2015,"NZL",0,100,0.5,0,1,34,1,5,59,0,0,0,0,0,0,0,0,"1",2,59,1,1,0.3,0.15,0.15,39,0,0.5,0.28,0.06944444,0.33,1.27894,1.52863068710885,"NZ",0.731914893617021,0.307142857142857,0.737888702767901,15,38134.0006652947,0.95932608776232,1.63763222318299,0.333333333333333
"Norway",2015,"NOR",0,100,0,0,1,24,1,2,44,1,1,0,1,1,0,0,0.27,"0",1,15,0.97,0.97,0.25,0,0,88,1,1,0.27,0.27,0.39,1.593848,1.28382087786685,"NO",0.781818181818182,0.373913043478261,0.737888702767901,25,5181.61744007035,0.558441281337383,0.234176677223057,0.666666666666667
"Poland",2015,"POL",0,2.5,1,0,0,70,1,16,113,1,0,1,1,1,1,1,0.19,"0",2,103,1,0,0.19,0.2,0.2,84,1,1,0.19,0.19,0.32,2.261463,1.04118809904881,"PL",0.737888702767901,0.338474732816403,0.869865253929667,23,77747.204225308,0.437557067388469,1.19061601417592,0.666666666666667
"Portugal",2015,"PRT",0,8.4,0.5,0,1,63,1,6,96,0.5,0,1,1,1,0,1,0.28,"1",1,116,1,1,0.25,0.25,0.25,63,1,1,0.295,0.28,0.565,16.197175,1.32705982091241,"PT",0.888411247396436,0.547953910556565,0.737888702767901,23,14317.549643698,0.495145945911459,0.459072528964531,0.666666666666667
"Slovak Republic",2015,"SVK",0,4,0.5,0,1,42,1,20,103,0.5,0,0,0,1,0,0,0.22,"0",1,62,1,0,0,0.19,0.19,66,1,1,0.22,0,0.25,3.880309,1.12247559781109,"SK",0.873879108036537,0.652728119257913,0.869865253929667,20,86990.532950811,0.510256284906862,0.265703587350967,0
"Slovenia",2015,"SVN",0,50,0.5,0,0,74,1,8,69,1,0,1,1,1,0,0,0,"1",1,90,0.95,0.475,0.15,0.15,0.15,57,1,0.5,0.17,0.25,0.5,5.307771,1.19780804585969,"SI",0.869865253929667,0.391406012913837,0.737888702767901,22,74142.1047824595,0.591460387633486,0.301727693752964,0
"Spain",2015,"ESP",0,50,0.5,1,1,33,1,7,44,1,1,1,1,0,1,0,0.24,"0",1,90,1,1,0.195,0.195,0.195,87,1,1,0.28,0.235,0.52,11.66034,1.11417059133755,"ES",0.778563038959402,0.391406012913837,0.278958448750364,21,0,0.425498168627791,0.628618472646001,0.333333333333333
"Sweden",2015,"SWE",1.5,100,0,0,0,50,1,4,36,0.5,0,0,1,0,0,0,0.3,"0",1,36,1,1,0.3,0,0,80,0,0.5,0.22,0.3,0.5686,1.508153,1.24159996210409,"SE",0.86,0.479318672008477,0.86,25,0,0.583511565081778,0.53197829574473,0.666666666666667
"Switzerland",2015,"CHE",0,7,1,0,0,15,2,10,8,1,1,1,1,1,1,1,0,"1",7,40,1,1,0.35,0.35,0,90,0,0.5,0.21148581,0.21135,0.4167,3.461304,1.33246998314131,"CH",0.86,0.554838709677419,0.905263157894737,8,63826.8268100133,0.687045780392545,0.0910226599245968,0
"Turkey",2015,"TUR",0,5,0.5,0,1,49,1,8,97,0.5,0,1,1,0,1,1,0,"1",1,80,1,1,0.15,0.1,0.2,80,0,0.5,0.2,0.175,0.3576,3.998254,1.16689114988297,"TR",0.876323174170354,0.479318672008477,0.632327782275491,18,0,0.41640592899826,0.202044112942365,1
"United Kingdom",2015,"GBR",1,100,0,1,1,32,1,6,25,0.5,0,1,1,1,0,1,0.28,"0",1,48,1,1,0,0.2,0.2,123,0,0,0.2,0.3055625,0.45,4.271088,1.38756816269463,"GB",0.758823529411765,0,0.826923076923077,20,102850.559900547,0.441162837936398,2.44043863405492,0.666666666666667
"United States",2015,"USA",2,20,1,0,1,87,2.4,4.6,33,0.5,0,1,1,1,0,1,0.251,"0",3.6,55,0,0,0.3,0.3,0.3,65,0,0.5,0.389975,0.28535406,0.4625,8.220619,1.24980377805961,"US",0.93846273303009,0.34958311169213,0.632751338890881,7.3,0,0.397,2.00473255669585,0.333333333333333
