ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,minimum_tax
NZ,NZL,New Zealand,2025,0.28,0,100,0.731914894,0.226315789,0.547953911,0.5,0,0,0.18,0,0,0,1.802,0.39,2.550014,1.383772379,0,0,0,NA,0.15277778,15,40268.45638,1.081306476,1,0.5,1.264323843,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,0.25,0.5,0
NO,NOR,Norway,2025,0.22,0,100,0.781818182,0.373913043,0.737888703,0,0,0,0.22,0,1,0,0,0.464,1.533594,1.301213371,0,0,0.378,NA,0.3784,25,5170.630817,0.59437178,1,0.5,0.203178993,1,0,1,0,0,0,0.97,1,1,0.25,0,0,87,0.375,1,0.5
PL,POL,Poland,2025,0.19,0,2.5,0.737888703,0.338474733,0.869865254,1,1,1,0.32,1,2,0,0,0.2818066,1.768835,1.132598269,0,0,0.19,NA,0.19,23,108695.6522,0.511435829,1,0.5,0.90190618,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,87,0.375,1,0
PT,PRT,Portugal,2025,0.315,0,65,0.888411247,0.547953911,0.737888703,0.5,1,1,0.35,1,6,0,0.556,0.6317,13.000777,1.227735303,0,0,0.28,NA,0.28,23,21769.19085,0.488081604,1,0.5,0.426106799,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,78,0.375,1,0.5
SK,SVK,Slovak Republic,2025,0.21,0,2.5,0.873879108,0.547953911,0.869865254,0.5,0,1,0.25,0,2,0,0.834,0.3505,5.903605,1.116189228,0,0,0,NA,0.07,20,92203.7037,0.512634852,1,0.5,0.278462536,0,0,0,1,0,0,1,1,1,0.35,0.19,0.19,71,0.375,1,0
SI,SVN,Slovenia,2025,0.22,0,31.5,0.869865254,0.391406013,0.737888703,0.5,0,0,0.19,0,1,0,0.014,0.52481,4.153989,1.15261184,0,0,0,NA,0.275,22,87962.19737,0.538804075,1,0,0.284707093,0,1,1,0,0,0,0.95,0.475,1,0.15,0.15,0.15,60,0.25,0.5,0.5
ES,ESP,Spain,2025,0.25,0,25,0.778563039,0.391406013,0.737888703,0.5,0,1,0.295,1,2,0,0,0.59496375,0.597743,1.224538881,0,0,0.28,NA,0.28,21,0,0.418747328,1,0.5,0.576370646,1,1,1,0,1,1,0.95,0.95,1,0.19,0.19,0.24,95,0.25,1,0.5
SE,SWE,Sweden,2025,0.206,0,100,0.86,0.479318672,0.86,0,0,0,0.105,0,1,0,0,0.5224,1.303313,1.273954087,0,-0.033,0.3,NA,0.3,25,3444.316877,0.59752694,1,0.5,0.344572291,0,0,1,1,0,0,1,1,0,0.3,0,0,83,0.5,1,0.5
CH,CHE,Switzerland,2025,0.19653352,0,7,0.86,0.55483871,0.905263158,1,0,1,-0.01,1,1,0,6.441,0.4164902,2.996283,1.377597387,0,0,0,NA,0.22285,7.7,90909.09091,0.680237544,1,0.5,0.081627289,1,1,1,1,1,1,1,1,0,0.35,0.35,0,109,0,0.5,0
TR,TUR,Turkey,2025,0.25,0,5,0.864149149,0.431068737,0.694414356,0.5,1,1,0.055,1,0,0,0,0.358,5.084445,1.270914532,0,0,0,NA,0.2,18,0,0.37695058,1,0.5,0.134650678,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,88,0.5,0.5,0
GB,GBR,United Kingdom,2025,0.25,1,50,1,0.391406013,0.826923077,0,0,1,0.195,1,3,0,0,0.6274,2.257336,1.385370366,0,0,0.2,NA,0.3935,20,124934.5931,0.436214762,1,0.5,1.770558453,0,1,1,1,0,1,1,1,0,0,0.2,0.2,131,0.375,1,0.5
US,USA,United States,2025,0.25767935,0,80,0.8,0.349583112,0.632751339,1,0,1,0.0275,0,2,0,0,0.44,8.180126,1.23702429,0,0,0.2887,NA,0.2887222,7.4,0,0.360948137,1,0.5,1.720485651,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,66,0.5,1,1
