ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
GB,GBR,United Kingdom,2021,0.19,1,50,0.758823529,0.391406013,0.826923077,0,0,1,0.195,1,1,0,0,0.45,3.587895,1.393237525,0,0,0.2,NA,0.381,20,118671.3279,0.459263151,1,0.5,1.805806363,0,1,1,1,0,1,1,1,0,0,0.2,0.2,130,0.5,1
GR,GRC,Greece,2021,0.22,0,5,0.737888703,0.479318672,0.737888703,0.5,0,0,0.255,0,0,0,0.787,0.54,11.074702,1.265872883,10,0,0.15,NA,0.05,24,18330.25996,0.441498417,1,0.5,1.168292123,0,1,1,1,1,0,1,1,1,0.05,0.15,0.2,57,0.333333333,1
HU,HUN,Hungary,2021,0.09,0,2.5,0.816200383,0.278958449,0.737888703,0.5,0,1,0.18,1,1,0,0.161,0.15,0,1,0,0.161,0.15,NA,0.15,27,82384.15064,0.592490539,1,0.5,0.253699108,0,1,1,1,0,0,1,1,0,0,0,0,81,0.333333333,1
IE,IRL,Ireland,2021,0.125,1,100,0.787075165,0.479318672,0.646263719,0.5,0,1,0.2675,0,1,0,0,0.48,1.500361,1.476604636,8,0,0.33,NA,0.51,23,91909.73729,0.50639999,1,0.5,0.321212107,0,1,1,0,0,1,0,1,1,0.25,0.2,0.2,73,0.333333333,0
IL,ISR,Israel,2021,0.23,0,100,0.869865254,0.391406013,0.787075165,0.5,0,1,0,0,0,0,2.062,0.5,4.147874,1.702164267,0,0,0.28,NA,0.33,17,27262.77565,0.616580182,1,0.5,1.164404474,0,0,1,0,0,0,1,1,0,0.3,0.23,0.23,58,0.333333333,0
IS,ISL,Iceland,2021,0.2,0,10,0.86,0.602353619,0.81226935,0.5,0,0,0.36,0,1,0,11.278,0.4624,1.278608,1.316354787,0,8.875,0.22,NA,0.22,24,13878.38681,0.52274241,1,0,0.979775069,0,1,0,1,0,0,1,1,0,0.2,0.12,0.2,45,0.666666667,1
IT,ITA,Italy,2021,0.2781,0,80,0.760252585,0.462657542,0.965116279,1,1,1,0.11,1,1,0,1.2,0.4723,2.75398,1.267671988,0,0,0.26,NA,0.26,22,97157.90701,0.391551971,1,0,0.555116043,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,100,0.666666667,1
JP,JPN,Japan,2021,0.2974,0.5,5,0.769602273,0.278958449,0.787075165,0.5,0,0,0.0875,0,1,0,0,0.55945,8.40772,1.148698436,2.1,0,0.2032,NA,0.2032,10,96700.50527,0.77371954,1,0.5,0.800072506,0,1,1,1,1,0,0.95,0,0,0.2042,0.2042,0.2042,70,0.333333333,1
KR,KOR,Korea,2021,0.275,0.5,9,0.921720532,0.547953911,0.737888703,1,0,1,0.1275,0,8,0,0,0.46200001,11.923785,1.236703575,0,0,0,NA,0.4395,10,34519.89929,0.697104008,1,0,0.375904859,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,93,0.5,1
LT,LTU,Lithuania,2021,0.15,0,70,0.905263158,0.826923077,0.966194332,1,0,1,0.28,0,2,0,0,0.32,6.348539,1.191110522,0,0,0.2,NA,0.15,21,99945.58518,0.540954807,1,0.5,0.204338105,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,54,0.333333333,1
LU,LUX,Luxembourg,2021,0.2494,0,17,0.870869546,0.479318672,0.869865254,1,0,1,-0.01,0,1,7,0,0.4578,3.708243,1.384465924,7,0,0,NA,0.21,17,34715.23096,0.885681766,1,0.5,0.04453203,0,1,1,1,0,0,1,1,0,0.15,0,0,83,0.333333333,1
LV,LVA,Latvia,2021,0.2,100,100,1,1,1,1,1,0,0,0,0,0,0,0.314,7.70E-05,1.129317558,0,0,0.2,NA,0,21,81311.72068,0.59063926,1,0.5,0.410457662,0,0,1,0,0,0,1,1,1,0,0,0,62,0.333333333,1
MX,MEX,Mexico,2021,0.3,0,10,0.737888703,0.547953911,0.737888703,1,0,0,0.055,0,0,0,15.434,0.35,26.70343,1.216169476,0,13.892,0.1,NA,0.17142857,16,0,0.338390807,1,0.5,0.087598467,0,1,1,0,0,0,0,0,1,0.1,0.35,0.35,59,0.666666667,1
NL,NLD,Netherlands,2021,0.25,1,50,0.813463195,0.338474733,0.737888703,1,0,1,0.225,0,1,0,0,0.495,1.31969,1.41619522,0,0,0.31,NA,0.269,21,25160.68241,0.559025403,1,0.5,0.480829627,0,1,1,1,0,0,1,1,0,0.15,0,0,96,0.333333333,1
NO,NOR,Norway,2021,0.22,0,100,0.86,0.373913043,0.737888703,0,0,0,0.22,0,0,0,0,0.382,1.59324,1.248657109,0,0,0.3168,NA,0.3168,25,5374.645005,0.572691744,1,0.5,0.193615434,1,0,1,0,0,0,0.97,1,1,0.25,0,0,87,0.5,1
NZ,NZL,New Zealand,2021,0.28,1,100,0.731914894,0.226315789,0.547953911,0.5,0,0,0.18,0,0,0,2.93,0.33,1.091193,1.418549577,0,0,0,NA,0.15277778,15,41120.9573,0.933034234,1,1,1.192206842,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,0.333333333,0.5
PL,POL,Poland,2021,0.19,0,2.5,0.737888703,0.338474733,0.869865254,1,1,1,0.2,1,1,0,0,0.32,1.684221,1.040209334,0,0,0.19,NA,0.19,23,110426.528,0.511054259,1,0.5,0.849177653,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,85,0.5,1
PT,PRT,Portugal,2021,0.315,0,9.6,0.888411247,0.547953911,0.737888703,0.5,1,1,0.35,0,4,9,0,0.53,14.421529,1.254206787,2.5,0,0.28,NA,0.28,23,21769.19085,0.532308615,1,0.5,0.397606369,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,78,0.5,1
SE,SWE,Sweden,2021,0.206,1.5,100,0.86,0.479318672,0.86,0,0,0,0.105,0,0,0,0,0.5228,1.123221,1.241038861,0,0,0.3,NA,0.3,25,3369.74114,0.591431203,1,0.5,0.324345994,0,0,1,1,0,0,1,1,0,0.3,0,0,81,0.666666667,1
SI,SVN,Slovenia,2021,0.19,0,63,0.869865254,0.391406013,0.737888703,0.5,0,0,0.19,0,1,0,0.135,0.5,4.7453,1.120729982,0,0.121,0,NA,0.275,22,87962.19737,0.582071408,1,0,0.256146258,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,59,0.333333333,0.5
SK,SVK,Slovak Republic,2021,0.21,0,2.5,0.873879108,0.547953911,0.869865254,0.5,0,1,0.49,0,1,0,0.739,0.25,3.250985,1.113154047,0,0,0,NA,0.07,20,93374.34128,0.526309873,1,0.5,0.219896194,0,0,0,0,0,0,1,1,1,0.35,0.19,0.19,70,0.833333333,1
TR,TUR,Turkey,2021,0.25,0,5,0.864149149,0.431068737,0.694414356,0.5,1,1,0.055,1,0,0,0,0.4076,8.558154,1.159192254,0.759,0,0,NA,0.2,18,0,0.339862978,1,0.5,0.092089117,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,86,0.666666667,0.5
US,USA,United States,2021,0.25754568,0,80,1,0.349583112,0.632751339,1,0,1,0.0675,0,2,0,0,0.4365,8.814304,1.246443984,0,0,0.2891,NA,0.28905211,7.4,0,0.341,1,0.5,1.583634772,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,66,0.333333333,1
