ISO_2,ISO_3,country,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
DK,DNK,Denmark,0.22,0,60,0.8269231,0.4793187,0.8134064,0,0,0,1,0,0,0,2.434,0.55794,1.236698,1.265454408,8,0,0.42,0,0.42,0.25,6666.666667,0.59,40,0.5,0.811492826,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,73,0.83,0.5
EE,EST,Estonia,0.2,100,100,1,1,1,1,1,0,1,0,0,0,0,0.2128,0.144043,1.052351366,0,0,0.2,0,0,0.2,28571.42857,0.7,27,1,0.202327289,0,0,0,0,0,0,1,0,1,0,0,0.1,56,0.67,0
ES,ESP,Spain,0.25,0,60,0.778563,0.391406,0.2789584,0.5,0,1,0,0,1,0,0,0.45,2.445619,1.136475723,0,0,0.23,0,0.23,0.21,0,0.41,35,0.5,0.591486864,1,1,1,0,1,0,1,1,1,0.19,0.19,0.19,92,0.5,1
FI,FIN,Finland,0.2,0,10,0.8269231,0.5189655,0.7378887,0,0,0,1,0,0,0,0,0.57467517,2.255193,1.278911321,0,0,0.34,0,0.289,0.24,10752.68817,0.56,24,0.5,0.406684666,0,1,0,0,0,1,1,1,1,0.2,0,0.2,75,0.83,1
FR,FRA,France,0.3443,1,50,0.857738,0.5479539,0.8698653,0.5,0,1,0,0,3,10.7,0,0.550365,14.937657,1.253374758,8,0,0.3444675,0,0.44001,0.2,100243.9024,0.48,31,0.5,1.581215638,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.67,1
GB,GBR,United Kingdom,0.2,1,100,0.7588235,0,0.8269231,0,0,1,0,0,1,0,0,0.47,4.169222,1.400778616,0,0,0.28,0,0.381,0.2,118840.5797,0.44,25,0.5,2.363431888,0,1,1,1,0,1,1,1,0,0,0.2,0.2,124,0.67,0
GR,GRC,Greece,0.29,0,5,0.7378887,0.4793187,0.7378887,0.5,0,0,0,0,0,0,0.978,0.6,24.577888,1.303849885,10,0,0.15,0,0.1,0.23,16393.44262,0.37,69,0.5,1.30536383,0,1,1,1,1,0,1,0,1,0.1,0.15,0.2,57,0.5,1
HU,HUN,Hungary,0.19,0,2.5,0.8162004,0.2789584,0.8698653,0.5,0,1,0,0,3,0,0.186,0.345,0,1,0,0.186,0.15,0,0.15,0.27,44822.94935,0.52,96,0.5,0.475747279,0,1,1,1,0,0,1,1,0,0,0,0,77,0.83,0.5
IE,IRL,Ireland,0.125,1,100,0.7870752,0.4793187,0.5479539,0.5,0,1,0,0,1,0,0.007,0.52,2.020079,1.712624297,8,0,0.33,0,0.51,0.23,88339.22261,0.45,30,0.5,0.546154158,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,70,0,0
IL,ISR,Israel,0.25,0,100,0.8698653,0.5479539,0.7870752,0.5,0,0,1,0,0,0,2.308,0.5,5.80213,1.773862517,0,0,0.27,1,0.32,0.17,25517.01031,0.64,69,0.5,1.674564246,0,0,1,0,0,0,1,1,0,0.3,0.25,0.25,53,0.67,0
IS,ISL,Iceland,0.2,0,10,0.86,0.4777778,0.8122694,0.5,0,0,0,0,1,0,13.567,0.443904,1.365602,1.265927962,0,9.816,0.2,0,0.2,0.24,7032.348805,0.45,40,0,1.313338442,0,1,0,1,0,0,1,1,0,0.18,0.1,0.2,39,0.83,0
IT,ITA,Italy,0.3129275,0,80,0.7602526,0.4626575,0.9651163,1,1,1,0,0,1,0,1.094,0.488131,9.793047,1.217480937,3,0,0.26,0,0.26,0.22,40000,0.38,32,0,0.795199424,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,96,0.67,1
JP,JPN,Japan,0.2997,0.5,5.4,0.7696023,0.2789584,0.7870752,0.5,0,0,0,0,1,0,0,0.56165275,8.739852,1.141407818,2.1,0,0.204,0,0.2032,0.08,94939.71328,0.69,23,0.5,1.302274257,0,1,1,0,1,0,0.95,0,0,0.2042,0.2042,0.2042,62,0.67,0.5
KR,KOR,Korea,0.242,0.5,8,0.9217205,0.5479539,0.7378887,1,0,1,0,0,8,0,0,0.43224367,4.1235,1.252716965,0,0,0,1,0.35398,0.1,26928.47125,0.69,25,0,0.217540974,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,85,0.67,0.5
LT,LTU,Lithuania,NA,0,70,NA,NA,NA,1,0,0,0,0,2,0,0,NA,NA,NA,0,0,0.15,NA,NA,NA,NA,NA,58,0.5,NA,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,53,NA,0.5
LU,LUX,Luxembourg,0.2922,0,100,0.8708695,0.4793187,0.8698653,1,0,1,0,0,2,7,0,0.455,2.932785,1.377743904,7,0,0,1,0.2,0.17,27777.77778,1,22,0.5,0.053060076,0,1,1,1,0,0,1,1,0,0.15,0,0,74,0,0.5
LV,LVA,Latvia,0.15,0,100,0.905,0.6142,0.7378887,0.5,0,0,0,0,0,0,0,0.1901,0.104819,1.039140056,0,0,0.15,0,0.1,0.21,98619.32939,0.686613163,66,0.5,0.461714604,0,0,1,0,0,0,1,1,1,0,0,0,58,0,0.5
MX,MEX,Mexico,0.3,0,10,0.7378887,0.5479539,0.7378887,1,0,0,0,0,0,0,14.829,0.35,27.92276,1.249215024,0,13.856,0.1,1,0.17142857,0.16,0,0.31,100,0.5,0.193842557,0,1,1,0,0,0,0,0,1,0.1,0.4,0.4,55,1,0.5
NL,NLD,Netherlands,0.25,1,9,0.9651163,0.3384747,0.7378887,1,0,1,1,0,1,0,0,0.52732637,1.221825,1.329336178,0,0,0.3,1,0.25,0.21,1620.481928,0.53,34,0.5,0.66448449,0,1,1,1,0,0,1,1,0,0.15,0,0,96,0,0
NO,NOR,Norway,0.25,0,100,0.7818182,0.373913,0.7378887,0,0,0,0,0,0,0,0,0.472,1.588048,1.288463494,0,0,0.288,0,0.2875,0.25,5102.040816,0.57,44,0.5,0.236584524,1,0,1,0,0,0,0.97,0.97,1,0.25,0,0,87,0.83,1
NZ,NZL,New Zealand,0.28,0,100,0.7319149,0.3071429,0.7378887,0.5,0,0,0,0,0,0,3.704,0.33,1.247558,1.500877377,0,0,0,1,0.06944444,0.15,40816.32653,0.96,59,1,1.991429404,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,39,0.67,0.5
PL,POL,Poland,0.19,0,2.5,0.7378887,0.3384747,0.8698653,1,0,0,0,0,0,0,0,0.38751185,2.181915,1.039886949,0,0,0.19,0,0.19,0.23,83333.33333,0.42,96,0.5,1.584554512,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,84,0.83,1
PT,PRT,Portugal,0.295,0,8.4,0.8884112,0.5479539,0.7378887,0.5,0,0,0,0,3,7,0,0.61285,16.129828,1.306471814,2.5,0,0.28,1,0.28,0.23,16949.15254,0.47,96,0.5,0.478389976,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,64,0.83,1
SE,SWE,Sweden,0.22,0,100,0.86,0.4793187,0.86,0,0,0,1,0,0,0,-0.011,0.5699,1.519275,1.232942745,0,0,0.3,0,0.3,0.25,0,0.56,36,0.5,0.555763689,0,0,1,1,0,0,1,1,0,0.3,0,0,81,0.67,0.5
SI,SVN,Slovenia,0.17,0,50,0.8698653,0.391406,0.7378887,0.5,0,0,1,0,1,0,0.016,0.6105,5.265523,1.192674044,0,0,0,1,0.25,0.22,83333.33333,0.56,69,0,0.321938676,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,57,0,0.5
SK,SVK,Slovak Republic,0.22,0,4,0.8738791,0.6527281,0.8698653,0.5,0,0,0,0,3,0,0.622,0.3505,3.793434,1.121448183,0,0,0,0,0,0.2,99580,0.43,84,0.5,0.358312628,0,0,0,1,0,0,1,0,1,0,0.19,0.19,66,0,1
TR,TUR,Turkey,0.2,0,5,0.8763232,0.4793187,0.6323278,0.5,1,1,0,0,0,0,0,0.358,3.862626,1.161295905,0.759,0,0,1,0.175,0.18,0,0.4,97,0.5,0.280230703,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,81,0.67,0.5
US,USA,United States,0.38923934,2,20,0.8769255,0.3495831,0.6327513,1,0,0,0,0,1,0,0,0.486,8.20792,1.257987314,0,0,0.2852,0,0.2851581,0.0725,0,0.397,33,0.5,2.07381088,0,1,1,1,0,0,0,0,0,0.3,0.3,0.3,66,0.67,0.5
