ISO_2,ISO_3,country,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
IE,IRL,Ireland,0.125,1,100,0.7870752,0.4793187,0.5479539,0.5,0,0,0,0,1,0,0.008,0.52,0.959707,1.69812369,0,0,0.33,0,0.51,0.23,78844.25615,0.45,30,0.5,0.497906316,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,68,0,0
IL,ISR,Israel,0.265,0,100,0.8698653,0.5479539,0.7870752,0.5,0,0,1,0,0,0,2.116,0.5,6.0228,1.821324017,0,0,0.27,1,0.32,0.18,18611.87492,0.64,69,0.5,1.68411066,0,0,1,0,0,0,1,1,0,0.3,0.265,0.265,53,0.666666667,0
IS,ISL,Iceland,0.2,0,10,0.86,0.4777778,0.8122694,0,0,0,0,0,1,0,12.466,0.443904,1.366742,1.280248515,0,9.484,0.2,0,0.2,0.24,7006.497053,0.45,40,0,1.220983457,0,1,0,1,0,0,1,1,0,0.18,0.1,0.2,39,0.833333333,0
IT,ITA,Italy,0.3129275,0,80,0.7602526,0.4626575,0.9651163,1,1,1,0,0,1,0,1.085,0.478431,9.885683,1.20886743,0,0,0.26,0,0.26,0.22,35990.67374,0.38,32,0,0.63438773,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,95,0.666666667,1
JP,JPN,Japan,0.3211,0.5,5.85,0.7696023,0.2789584,0.7870752,0.5,0,0,0,0,1,1,0,0.510858,4.486476,1.147949331,1,0,0.204,0,0.20315,0.08,88240.34416,0.69,23,0.5,1.291431465,0,1,1,0,1,0,0.95,0,0,0.2042,0.2042,0.2042,62,0.666666667,0.5
KR,KOR,Korea,0.242,0.5,10,0.9217205,0.5479539,0.7378887,1,0,1,0,0,4,0,0,0.43199462,4.267112,1.231543551,1,0,0,1,0.35398,0.1,26238.6012,0.69,25,0,0.206629403,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,83,0.666666667,0.5
LT,LTU,Lithuania,NA,0,70,NA,NA,NA,1,0,0,0,0,2,0,0,NA,NA,NA,0,0,0.15,1,1,NA,NA,NA,58,0.5,NA,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,50,NA,0.5
LU,LUX,Luxembourg,0.2922,0,100,0.8708695,0.4793187,0.8698653,1,0,1,0,0,2,1,0,0.45,2.982644,1.377424771,1,0,0,1,0.2,0.17,25182.62462,1,22,0.5,0.049918199,0,1,1,1,0,0,1,1,0,0.15,0,0,74,0,0.5
LV,LVA,Latvia,0.15,0,100,0.905,0.6142,0.7378887,0.5,0,0,0,0,0,0,0,0.1938,0.113023,1.04356413,0,0,0.15,0,0.1,0.21,0,0.6885318,66,0.5,0.419554625,0,0,1,0,0,0,1,1,1,0,0,0,57,0,0.5
MX,MEX,Mexico,0.3,0,10,0.7378887,0.5479539,0.7378887,1,0,0,0,0,0,0,16.794,0.35,29.08548,1.246177416,0,15.803,0.1,1,0.17142857,0.16,0,0.31,100,0.5,0.168695711,0,0,1,0,0,0,0,0,1,0.1,0.4,0.4,54,1,0.5
NL,NLD,Netherlands,0.25,1,9,0.9651163,0.3384747,0.7378887,1,0,1,0,0,1,0,0,0.70962076,1.2394,1.535121019,0,0,0.3,1,0.25,0.21,1537.193296,0.53,34,0.5,0.533377604,0,1,1,1,0,0,1,1,0,0.15,0,0,96,0,0
NO,NOR,Norway,0.27,0,100,0.7818182,0.373913,0.7378887,0,0,0,0,0,0,0,0,0.472,1.593848,1.285167243,0,0,0.27,0,0.27,0.25,5181.61744,0.57,44,0.5,0.234545801,1,0,1,0,0,0,0.97,0.97,1,0.25,0,0,88,0.833333333,1
NZ,NZL,New Zealand,0.28,0,100,0.7319149,0.3071429,0.7378887,0.5,0,0,0,0,0,0,3.71,0.33,1.27894,1.520698204,0,0,0,1,0.06944444,0.15,38134.00067,0.96,59,0.5,1.893451855,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,39,0.666666667,0.5
PL,POL,Poland,0.19,0,2.5,0.7378887,0.3384747,0.8698653,1,0,0,1,0,0,0,0,0.38751185,2.261463,1.041409659,0,0,0.19,0,0.19,0.23,77747.20423,0.42,113,0.5,1.582213225,0,1,1,0,1,1,1,0,1,0.19,0.2,0.2,84,0.833333333,1
PT,PRT,Portugal,0.295,0,8.4,0.8884112,0.5479539,0.7378887,0.5,0,0,0,0,4,0,0,0.61285,16.197175,1.339347278,0,0,0.28,1,0.28,0.23,14317.54964,0.47,96,0.5,0.423759625,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,63,0.833333333,1
SE,SWE,Sweden,0.22,0,100,0.86,0.4793187,0.86,0,0,0,1,0,0,0,-0.025,0.5686,1.508153,1.233280746,0,0,0.3,0,0.3,0.25,0,0.56,36,0.5,0.559770463,0,0,1,1,0,0,1,1,0,0.3,0,0,80,0.666666667,0.5
SI,SVN,Slovenia,0.17,0,50,0.8698653,0.391406,0.7378887,0.5,0,0,1,0,0,0,0.015,0.6105,5.307771,1.194557243,0,0,0,1,0.25,0.22,74142.10478,0.56,69,0,0.324472961,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,57,0,0.5
SK,SVK,Slovak Republic,0.22,0,4,0.8738791,0.6527281,0.8698653,0.5,0,0,0,0,3,0,0.72,0.3505,3.880309,1.124630668,0,0,0.22,0,0,0.2,86990.53295,0.43,103,0.5,0.348722041,0,0,0,1,0,0,1,0,1,0,0.19,0.19,66,0,1
TR,TUR,Turkey,0.2,0,5,0.8763232,0.4793187,0.6323278,0.5,0,0,0,0,0,0,0,0.358,3.998254,1.16728273,0,0,0,1,0.175,0.18,0,0.4,97,0.5,0.231701428,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,80,0.666666667,0.5
US,USA,United States,0.389975,2,20,0.8769255,0.3495831,0.6327513,1,0,0,0,0,1,0,0,0.486,8.220619,1.250047186,0,0,0.2854,0,0.28535406,0.0725,0,0.397,33,0.5,2.065649516,0,1,1,1,0,0,0,0,0,0.3,0.3,0.3,66,0.666666667,0.5
