"country","year","corporaterank","corporate","consumptionrank","consumption","propertyrank","property","incomerank","income","internationalrank","international","finalrank","final","ISO-2","ISO-3"
"Mexico",2017,31,49.2001978158596,26,49.5392385143808,8,76.3056808070669,12,74.3681248483496,35,31.1921856636639,29,55.1898576390183,"MX","MEX"
"Netherlands",2017,19,58.4655122661651,10,69.6006224566764,11,72.509796241772,21,64.490171168657,1,100,6,77.2485840911349,"NL","NLD"
"New Zealand",2017,21,56.0008257026662,6,83.7861740396985,2,88.8001280928951,4,91.0808695325602,15,69.7876017244618,3,82.7378513226034,"NZ","NZL"
"Norway",2017,15,63.2595943203887,19,59.8514625366517,25,60.2213738963379,15,73.1508723854154,19,62.8749522614034,21,64.9503519102277,"NO","NOR"
"Poland",2017,13,66.0096106079154,36,30.3357381617505,32,46.0847706298737,10,77.5551967897203,32,47.6203879565088,32,51.2411454777016,"PL","POL"
"Portugal",2017,33,46.9468361093517,32,43.2261207236423,21,63.4219963981633,33,48.9200297625831,30,49.7729893287554,34,48.7038736147104,"PT","PRT"
"Slovak Republic",2017,12,67.0889752889158,34,40.2187111658401,4,87.0923314731511,1,100,27,52.770604264277,11,71.4556635878376,"SK","SVK"
"Slovenia",2017,10,68.9160606288112,28,47.1189056441835,23,62.9522314353532,16,72.742321028011,16,69.6292281661742,19,65.5100916434542,"SI","SVN"
"Spain",2017,23,54.8345184527265,15,66.3086895218378,33,45.9362734508432,13,73.3257653467887,20,62.0807763114314,25,60.4080019839905,"ES","ESP"
"Sweden",2017,6,71.3819116529714,16,64.5319158953431,5,84.0396797920706,20,65.9997201876902,9,75.8566839603292,8,76.4904393894618,"SE","SWE"
"Switzerland",2017,8,70.2158732163474,1,100,34,40.6686706441992,11,77.4364663672009,7,79.2176073245533,7,76.8867098041521,"CH","CHE"
"Turkey",2017,18,58.7515295714954,24,51.3215778523706,19,65.432179625327,6,88.5589063700333,18,67.6730295078541,13,67.6271495291211,"TR","TUR"
"United Kingdom",2017,17,59.2096815259949,22,56.1579047225143,31,48.3909617419803,22,63.8774325245279,11,71.7279064652489,27,59.9983528235096,"GB","GBR"
"United States",2017,35,34.658213268657,5,92.0241308465976,30,52.3645245929452,25,61.7345769405645,31,49.1951910810006,28,57.7731335133741,"US","USA"
