"","country","year","ISO-3","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","consumptiontime","propertytaxes","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","countrylimitations","thincap","corprate","divrate","incrate","progressivity","taxwedge","ISO-2","pdvmachines","pdvbuildings","pdvintangibles","vatrate","threshold","base","propertytaxescollections","cfcrules"
"18","Japan",2014,"JPN",0,7.2,1,0,1,102,2,13,23,1,0,1,1,0,1,0,0.204,"0",14,74.5,0.95,0,0.2,0.2,0.2,60,0,0.5,0.3699,0.20315,0.5084,4.610718,1.13529597379108,"JP",0.769602272727273,0.278958448750364,0.787075165170195,5,88240.3441644497,0.687590467820163,1.17972085032508,0.666666666666667
"19","Korea",2014,"KOR",0.5,10,1,1,1,82,1,8,25,1,0,1,1,0,1,1,0,"1",2,80,0,0,0.22,0.22,0.22,80,1,0.5,0.242,0.35398,0.41800003,8.534901,1.27028019128341,"KR",0.921720532319392,0.547953910556565,0.737888702767901,10,26238.6011968703,0.692071068967643,0.387891833269311,0.666666666666667
"20","Latvia",2014,"LVA",0,100,0.5,0,1,31,1,5,94,0.5,0,0,1,0,0,0,0.15,"0",1,99,1,1,0,0.05,0.05,56,1,0.5,0.15,0.1,0.24,0.104378,1.03892431200977,"LV",0.905263157894737,0.614285714285714,0.869865253929667,21,100402,0.506100728664033,0.479130091449744,0
"21","Lithuania",2014,"LTU",0,70,1,0,1,32,1,8,58,0.5,0,1,0,0,0,0,0.15,NA,2,85,1,1,0.15,0.1,0.1,49,1,0.5,0.15,0.15,0.15,0.211872,1.06401224165031,"LT",0.918446601941748,0.838302752293578,0.980369718309859,21,101580,0.504643678661337,0.229702767888654,0.333333333333333
"22","Luxembourg",2014,"LUX",0,100,1,1,1,19,5,6,22,1,0,1,1,1,0,0,0,"1",12,14,1,1,0.15,0,0,69,0,0.5,0.2922,0.2,0.436,3.048602,1.36054562300372,"LU",0.870869546099498,0.479318672008477,0.869865253929667,15,25182.6246203907,1.2474565313124,0.0646287749560816,0
"23","Mexico",2014,"MEX",0,10,1,0,1,150,1,3,100,0.5,0,0,1,0,0,0,0.1,"1",2,38.5,0,0,0.1,0.4,0.4,50,1,0.5,0.3,0.17142857,0.3,3.999949,1.27281409277894,"MX",0.737888702767901,0.547953910556565,0.737888702767901,16,0,0.321338552498364,0.141252599772672,1
"24","Netherlands",2014,"NLD",1,9,1,1,0,22,1,7,34,0.5,0,1,1,0,0,0,0.3,"1",1,64,1,1,0.15,0,0,96,0,0,0.25,0.22,0.52,1.215933,1.52272680008174,"NL",0.965116279069767,0.338474732816403,0.737888702767901,21,1537.1932964077,0.468596681969462,0.451933442023359,0
"25","New Zealand",2014,"NZL",0,100,0.5,0,0,34,1,5,59,0,0,0,0,0,0,0,0,"1",2,59,1,1,0.3,0.15,0.15,37,0,0.5,0.28,0.06944444,0.33,1.314966,1.55172904792892,"NZ",0.731914893617021,0.307142857142857,0.737888702767901,15,38134.0006652947,0.949343370156744,1.59649859187374,0.333333333333333
"26","Norway",2014,"NOR",0,100,0,0,1,24,1,2,44,1,1,0,1,1,0,0,0.27,"0",1,15,0.97,0.97,0.25,0,0,88,1,1,0.27,0.27,0.4,1.578054,1.28325734897025,"NO",0.781818181818182,0.373913043478261,0.737888702767901,25,5181.61744007035,0.561574851213185,0.225556134273043,0.666666666666667
"27","Poland",2014,"POL",0,2.5,1,0,0,70,1,16,113,1,0,1,1,0,1,1,0.19,"0",2,103,1,0,0.19,0.2,0.2,84,1,0.5,0.19,0.19,0.32,2.416807,1.04414211778125,"PL",0.737888702767901,0.338474732816403,0.869865253929667,23,77747.204225308,0.436203895691829,1.12706774914229,0
"28","Portugal",2014,"PRT",0,8.4,0.5,0,1,63,1,6,96,0.5,0,1,1,1,0,1,0.28,"1",1,116,1,0,0.25,0.25,0.25,61,1,1,0.315,0.28,0.565,15.912636,1.3194799247447,"PT",0.888411247396436,0.547953910556565,0.737888702767901,23,14317.549643698,0.48511254225391,0.375936966712126,0.666666666666667
"29","Slovak Republic",2014,"SVK",0,4,0.5,0,1,42,1,20,103,0.5,0,0,0,1,0,0,0.22,"0",1,62,1,0,0,0.19,0.19,66,1,0,0.22,0,0.25,3.972201,1.12573955485278,"SK",0.873879108036537,0.652728119257913,0.869865253929667,20,86990.532950811,0.485318044537937,0.257488885020631,0
"30","Slovenia",2014,"SVN",0,50,0.5,0,0,74,1,8,69,1,0,1,1,0,0,0,0,"1",1,90,0.95,0.475,0.15,0.15,0.15,53,1,0.5,0.17,0.25,0.5,5.390324,1.20150625479754,"SI",0.869865253929667,0.391406012913837,0.737888702767901,22,74142.1047824595,0.590631982468831,0.278850287556273,0
"31","Spain",2014,"ESP",0,18,0.5,1,1,33,1,7,44,1,1,1,1,0,1,0,0.27,"0",1,90,1,1,0.21,0.21,0.2475,85,1,1,0.3,0.27,0.52,11.728847,1.12006728288016,"ES",0.695001856615886,0.291385530174685,0.278958448750364,21,0,0.406427261455261,0.570050193085456,0.333333333333333
"32","Sweden",2014,"SWE",1.5,100,0,0,0,50,1,4,36,0.5,0,0,1,0,0,0,0.3,"0",1,36,1,1,0.3,0,0,79,0,0.5,0.22,0.3,0.5673,1.518355,1.23165647822514,"SE",0.86,0.479318672008477,0.86,25,0,0.56680624436407,0.489111023657769,0.666666666666667
"33","Switzerland",2014,"CHE",0,7,1,0,0,15,2,10,8,1,1,1,1,1,1,1,0,"1",7,40,1,1,0.35,0.35,0,89,0,0.5,0.21148581,0.21135,0.4167,3.325739,1.35719565991715,"CH",0.86,0.554838709677419,0.905263157894737,8,63826.8268100133,0.698455383839677,0.0890439301542225,0
"34","Turkey",2014,"TUR",0,5,0.5,0,1,49,1,8,97,0.5,0,1,1,0,1,1,0,"1",1,80,1,1,0.15,0.1,0.2,80,0,0.5,0.2,0.175,0.3576,4.283921,1.18095267181411,"TR",0.876323174170354,0.479318672008477,0.632327782275491,18,0,0.398955325784995,0.204151075534575,1
"35","United Kingdom",2014,"GBR",1,100,0,1,1,32,1,6,25,0.5,0,1,1,1,0,1,0.28,"0",1,48,1,1,0,0.2,0.2,123,0,0,0.21,0.3055625,0.45,4.274984,1.36956332821385,"GB",0.758823529411765,0,0.826923076923077,20,102850.559900547,0.43384941239917,2.37473839654365,0.666666666666667
"36","United States",2014,"USA",2,20,1,0,1,87,2.4,4.6,33,0.5,0,1,1,1,0,1,0.251,"0",3.6,55,0,0,0.3,0.3,0.3,65,0,0.5,0.390755,0.28583863,0.4625,8.305387,1.25555598066699,"US",0.93846273303009,0.34958311169213,0.632751338890881,7.2,0,0.397,2.01348769942971,0.333333333333333
"37","Australia",2015,"AUS",0,100,0.5,0,1,37,1,6,50,0,0,0,1,0,0,0,0.245,"0",4,18,1,1,0.3,0.1,0.3,44,0,0.5,0.3,0.27121,0.465,2.266751,1.40290200146597,"AU",0.851484971473245,0.479318672008477,0.547953910556565,10,48730.6403375008,0.495545496897089,0.912845158231682,0.333333333333333
"38","Austria",2015,"AUT",0,75,1,0,1,46,1,8,35,1,0,0,1,1,1,0,0.25,"0",3,50,1,1,0.25,0,0.2,85,0,0.5,0.25,0.25,0.5,13.879673,1.10989360304717,"AT",0.813463195231154,0.391406012913837,0.737888702767901,20,34987.893314216,0.58895997712564,0.122215282959359,0
"39","Belgium",2015,"BEL",0,100,1,1,1,20,1,8,75,0.5,0,1,1,0,0,1,0,"1",2,40,0.95,0.987878788,0.25,0.25,0.25,91,0,0.5,0.3399,0.25,0.5375,1.592011,1.19708611941441,"BE",0.882216122406083,0.622404878792567,0.802532679160089,21,6319.04976005039,0.468344652876705,0.714269632352527,0
"40","Canada",2015,"CAN",3,20,0.5,0,1,45,1,4,50,0.5,0,0,1,1,1,0,0.226,"0",3,36,1,0.5,0.25,0.25,0.25,93,1,0.5,0.267,0.338214,0.495296,4.414843,1.1891720068578,"CA",0.965116279069767,0.242105263157895,0.518965517241379,5,23453.725818895,0.475086511535308,1.9852300677456,0.333333333333333
"41","Chile",2015,"CHL",100,100,0.5,1,0,42,1,5,124.5,1,0,1,0,1,0,0,0.2,"0",1,124.5,0,0,0.35,0.35,0.3,25,1,0.5,0.225,0.22580645,0.4,10.379357,1.16167995248495,"CL",0.632611659769417,0.338474732816403,0,19,0,0.642550959621906,0.510013763026873,0
"42","Czech Republic",2015,"CZE",0,5,0.5,0,1,53,1,5,102,1,0,1,1,0,0,0,0.15,"1",2,75,1,1,0.15,0.15,0.15,83,1,0.5,0.19,0.15,0.15,0.397857,1.133819821388,"CZ",0.873879108036537,0.543222830616488,0.841318847888109,21,67707.9535587165,0.587342193235465,0.124340687752308,0
"43","Denmark",2015,"DNK",0,60,0,0,0,27,3,6,40,1,0,1,0,0,0,0,0.42,"0",1,65,1,1,0.27,0.25,0.25,73,1,0.5,0.235,0.42,0.55564,1.227747,1.29006643084604,"DK",0.826923076923077,0.479318672008477,0.81340644290143,25,5879.07638734969,0.573526842925167,0.911395951507738,0.666666666666667
"44","Estonia",2015,"EST",100,100,1,0,0,20,1,7,27,0,0,0,0,0,0,0,0.2,"0",0,34,1,0,0,0,0.1,55,1,0,0.2,0,0.21,0.142973,1.05257052948518,"EE",1,1,1,20,25581.7765656457,0.729103999536852,0.178902490295171,0.666666666666667
"45","Finland",2015,"FIN",0,10,0,0,0,21,1,4,24,0.5,0,1,1,0,0,1,0.33,"0",3,48,1,1,0.2,0,0.2,75,1,1,0.2,0.2805,0.5149,2.530586,1.26763835062432,"FI",0.826923076923077,0.518965517241379,0.737888702767901,24,8589.47283647476,0.533878523080525,0.378340997663513,0.666666666666667
"46","France",2015,"FRA",1,50,0.5,1,1,26,1,6,31,1,1,1,1,1,1,1,0.344,"0",2,80,0.95,0.88,0.3,0,0.3333,122,1,1,0.379962,0.44001,0.54501,15.054145,1.20556750316793,"FR",0.857738015451725,0.547953910556565,0.869865253929667,20,93551.0876400815,0.485072744899431,1.6060749545814,0.666666666666667
"47","Germany",2015,"DEU",1,60,1,0,0,41,2,6,43,1,0,1,1,0,0,0,0.25,"0",1,134,0.95,0.95,0.26375,0,0.15825,94,0,1,0.29780475,0.26375,0.47475,5.655649,1.10442828089418,"DE",0.737888702767901,0.391406012913837,0.869865253929667,19,21297.5222109729,0.555961693374702,0.260483699586195,0.333333333333333
"48","Greece",2015,"GRC",0,5,1,0,1,78,1,6,69,1,0,1,1,0,1,0,0.23,"0",1,46,1,0,0.1,0.15,0.2,57,1,1,0.29,0.1,0.46,5.272871,1.195055433819,"GR",0.737888702767901,0.479318672008477,0.737888702767901,23,6677.54959454146,0.383647353956222,0.824410960343746,0.333333333333333
"49","Hungary",2015,"HUN",0,2.5,0.5,1,1,35,2,7,96,1,0,1,1,1,0,1,0.16,"0",2,146,1,1,0,0,0,75,0,0.5,0.19,0.16,0.16,0,1,"HU",0.816200383417959,0.278958448750364,0.869865253929667,27,42328.198651231,0.596712802594611,0.385057288878527,0.666666666666667
"50","Iceland",2015,"ISL",0,10,0,0,1,40,1,7,40,1,0,1,0,1,0,0,0.2,"0",13,60,1,1,0.18,0.1,0.2,39,0,0,0.2,0.2,0.4624,1.366742,1.27330859262124,"IS",0.86,0.477777777777778,0.812269350072009,24,7006.49705254991,0.524289597466797,1.01883105029113,0.666666666666667
"51","Ireland",2015,"IRL",1,100,0.5,0,1,10,1,7,30,0.5,0,1,1,0,0,0,0.33,"0",1,40,0,1,0.2,0.2,0.2,68,1,0,0.125,0.51,0.48,0.756426,1.4614736235237,"IE",0.787075165170195,0.479318672008477,0.547953910556565,23,78844.2561518391,0.484759438197319,0.635114799497747,0
"52","Israel",2015,"ISR",0,100,0.5,0,0,110,2,14,69,1,0,0,1,0,0,0,0.27,"1",12,60,0,0,0.3,0.265,0.265,53,1,0,0.265,0.32,0.5,6.0228,1.76965090948087,"IL",0.869865253929667,0.547953910556565,0.787075165170195,18,18611.874917961,0.624583395914838,1.56057544940978,0.666666666666667
"53","Italy",2015,"ITA",0,80,1,1,1,39,2,10,32,1,1,1,1,0,1,1,0.26,"0",1,198,0.95,0.95,0.26,0.26,0.225,95,1,1,0.3129275,0.26,0.478431,9.885683,1.2046218896522,"IT",0.760252585046526,0.462657542127945,0.965116279069767,22,35990.6737367146,0.377371504948421,0.696315543150948,0.666666666666667
"54","Japan",2015,"JPN",0,7.2,1,0,1,102,3,13,23,1,0,1,1,0,1,0,0.204,"0",14,74.5,0.95,0,0.2042,0.2042,0.2042,62,0,0.5,0.3211,0.20315,0.5084,4.486476,1.1482407507713,"JP",0.769602272727273,0.278958448750364,0.787075165170195,8,88240.3441644497,0.728203213265697,1.19064488570795,0.666666666666667
"55","Korea",2015,"KOR",0.5,10,1,1,1,82,1,8,25,1,0,1,1,0,1,1,0,"1",2,80,0,0,0.22,0.22,0.22,83,1,0.5,0.242,0.35398,0.418,4.267112,1.23195329247691,"KR",0.921720532319392,0.547953910556565,0.737888702767901,10,26238.6011968703,0.636067104540328,0.401588968173824,0.666666666666667
"56","Latvia",2015,"LVA",0,100,0.5,0,1,28,1,5,66,0.5,0,0,1,0,0,0,0.15,"0",1,99,1,1,0,0,0,57,1,0.5,0.15,0.1,0.24,0.113023,1.04331863760545,"LV",0.905263157894737,0.614285714285714,0.869865253929667,21,100604,0.520651810028962,0.478944919192034,0
"57","Lithuania",2015,"LTU",0,70,1,0,1,28,1,8,58,0.5,0,1,0,0,0,0,0.15,"1",2,85,1,1,0.15,0.1,0.1,50,1,0.5,0.15,0.15,0.15,0.243957,1.08037371183869,"LT",0.918446601941748,0.838302752293578,0.980369718309859,21,100897,0.509204814364489,0.226529224948919,0.333333333333333
"58","Luxembourg",2015,"LUX",0,100,1,1,1,19,5,6,22,1,0,1,1,1,0,0,0,"1",12,14,1,1,0.15,0,0,74,0,0.5,0.2922,0.2,0.436,2.982644,1.34880284591451,"LU",0.870869546099498,0.479318672008477,0.869865253929667,17,25182.6246203907,0.955762392001671,0.0609617172618982,0
"59","Mexico",2015,"MEX",0,10,1,0,1,150,1,3,100,0.5,0,0,1,0,0,0,0.1,"1",2,38.5,0,0,0.1,0.4,0.4,54,1,0.5,0.3,0.17142857,0.35,29.08548,1.25232934433673,"MX",0.737888702767901,0.547953910556565,0.737888702767901,16,0,0.321940337203395,0.136394450083222,1
"60","Netherlands",2015,"NLD",1,9,1,1,1,22,1,7,34,0.5,0,1,1,0,0,0,0.3,"1",1,64,1,1,0.15,0,0,96,0,0,0.25,0.25,0.52,1.2394,1.53065191905159,"NL",0.965116279069767,0.338474732816403,0.737888702767901,21,1537.1932964077,0.487597335581894,0.526439475595381,0
"61","New Zealand",2015,"NZL",0,100,0.5,0,1,34,1,5,59,0,0,0,0,0,0,0,0,"1",2,59,1,1,0.3,0.15,0.15,39,0,0.5,0.28,0.06944444,0.33,1.27894,1.52863068710885,"NZ",0.731914893617021,0.307142857142857,0.737888702767901,15,38134.0006652947,0.95932608776232,1.63763222318299,0.333333333333333
"62","Norway",2015,"NOR",0,100,0,0,1,24,1,2,44,1,1,0,1,1,0,0,0.27,"0",1,15,0.97,0.97,0.25,0,0,88,1,1,0.27,0.27,0.39,1.593848,1.28382087786685,"NO",0.781818181818182,0.373913043478261,0.737888702767901,25,5181.61744007035,0.558441281337383,0.234176677223057,0.666666666666667
"63","Poland",2015,"POL",0,2.5,1,0,0,70,1,16,113,1,0,1,1,1,1,1,0.19,"0",2,103,1,0,0.19,0.2,0.2,84,1,1,0.19,0.19,0.32,2.261463,1.04118809904881,"PL",0.737888702767901,0.338474732816403,0.869865253929667,23,77747.204225308,0.437557067388469,1.19061601417592,0.666666666666667
"64","Portugal",2015,"PRT",0,8.4,0.5,0,1,63,1,6,96,0.5,0,1,1,1,0,1,0.28,"1",1,116,1,1,0.25,0.25,0.25,63,1,1,0.295,0.28,0.565,16.197175,1.32705982091241,"PT",0.888411247396436,0.547953910556565,0.737888702767901,23,14317.549643698,0.495145945911459,0.459072528964531,0.666666666666667
"65","Slovak Republic",2015,"SVK",0,4,0.5,0,1,42,1,20,103,0.5,0,0,0,1,0,0,0.22,"0",1,62,1,0,0,0.19,0.19,66,1,1,0.22,0,0.25,3.880309,1.12247559781109,"SK",0.873879108036537,0.652728119257913,0.869865253929667,20,86990.532950811,0.510256284906862,0.265703587350967,0
"66","Slovenia",2015,"SVN",0,50,0.5,0,0,74,1,8,69,1,0,1,1,1,0,0,0,"1",1,90,0.95,0.475,0.15,0.15,0.15,57,1,0.5,0.17,0.25,0.5,5.307771,1.19780804585969,"SI",0.869865253929667,0.391406012913837,0.737888702767901,22,74142.1047824595,0.591460387633486,0.301727693752964,0
"67","Spain",2015,"ESP",0,50,0.5,1,1,33,1,7,44,1,1,1,1,0,1,0,0.24,"0",1,90,1,1,0.195,0.195,0.195,87,1,1,0.28,0.235,0.52,11.66034,1.11417059133755,"ES",0.778563038959402,0.391406012913837,0.278958448750364,21,0,0.425498168627791,0.628618472646001,0.333333333333333
"68","Sweden",2015,"SWE",1.5,100,0,0,0,50,1,4,36,0.5,0,0,1,0,0,0,0.3,"0",1,36,1,1,0.3,0,0,80,0,0.5,0.22,0.3,0.5686,1.508153,1.24159996210409,"SE",0.86,0.479318672008477,0.86,25,0,0.583511565081778,0.53197829574473,0.666666666666667
"69","Switzerland",2015,"CHE",0,7,1,0,0,15,2,10,8,1,1,1,1,1,1,1,0,"1",7,40,1,1,0.35,0.35,0,90,0,0.5,0.21148581,0.21135,0.4167,3.461304,1.33246998314131,"CH",0.86,0.554838709677419,0.905263157894737,8,63826.8268100133,0.687045780392545,0.0910226599245968,0
"70","Turkey",2015,"TUR",0,5,0.5,0,1,49,1,8,97,0.5,0,1,1,0,1,1,0,"1",1,80,1,1,0.15,0.1,0.2,80,0,0.5,0.2,0.175,0.3576,3.998254,1.16689114988297,"TR",0.876323174170354,0.479318672008477,0.632327782275491,18,0,0.41640592899826,0.202044112942365,1
"71","United Kingdom",2015,"GBR",1,100,0,1,1,32,1,6,25,0.5,0,1,1,1,0,1,0.28,"0",1,48,1,1,0,0.2,0.2,123,0,0,0.2,0.3055625,0.45,4.271088,1.38756816269463,"GB",0.758823529411765,0,0.826923076923077,20,102850.559900547,0.441162837936398,2.44043863405492,0.666666666666667
"72","United States",2015,"USA",2,20,1,0,1,87,2.4,4.6,33,0.5,0,1,1,1,0,1,0.251,"0",3.6,55,0,0,0.3,0.3,0.3,65,0,0.5,0.389975,0.28535406,0.4625,8.220619,1.24980377805961,"US",0.93846273303009,0.34958311169213,0.632751338890881,7.3,0,0.397,2.00473255669585,0.333333333333333
"73","Australia",2016,"AUS",0,100,0.5,0,1,37,1,6,50,0,0,0,1,0,0,0,0.245,"0",4,18,1,1,0.3,0.1,0.3,44,0,0.5,0.3,0.27121,0.49,2.229938,1.42302741528584,"AU",0.851484971473245,0.479318672008477,0.547953910556565,10,50335.5704697987,0.495677137783973,0.919434914575111,0.333333333333333
"74","Austria",2016,"AUT",0,75,1,0,1,46,1,8,35,1,0,0,1,1,0,0,0.275,"0",3,50,1,1,0.275,0,0.2,86,0,0.5,0.25,0.275,0.5,13.539476,1.10522284256619,"AT",0.813463195231154,0.391406012913837,0.737888702767901,20,36585.3658536585,0.595346920500117,0.122681552789533,0
"75","Belgium",2016,"BEL",0,100,1,1,1,21,1,8,75,0.5,0,1,1,0,0,1,0,"1",2,40,0.95,0.987878788,0.27,0.27,0.27,93,0,0.5,0.3399,0.27,0.538,1.025977,1.20327362914529,"BE",0.882216122406083,0.622404878792567,0.802532679160089,21,30487.8048780488,0.476392998987602,0.734991184871347,0
"76","Canada",2016,"CAN",3,20,0.5,0,1,45,1,4,50,0.5,0,0,1,1,1,0,0.2475,"0",3,36,1,0.5,0.25,0.25,0.25,93,1,0.5,0.267,0.39343524,0.495296,4.367895,1.19048091581601,"CA",0.965116279069767,0.242105263157895,0.518965517241379,5,24000,0.474503207079933,1.97235811690682,0.333333333333333
"77","Chile",2016,"CHL",100,100,0.5,1,0,42,1,5,124.5,1,0,1,0,1,0,0,0.4,"0",1,124.5,0,0,0.35,0.35,0.3,25,1,0.5,0.24,0.21052632,0.4,10.035255,1.15535996811267,"CL",0.632611659769417,0.338474732816403,0,19,0,0.638025880525371,0.497232747763124,0.666666666666667
"78","Czech Republic",2016,"CZE",0,5,0.5,0,1,53,1,5,94,1,0,1,1,0,0,0,0.15,"1",2,75,1,1,0.15,0.15,0.15,86,1,0.5,0.19,0.15,0.15,0.385444,1.12910535346641,"CZ",0.873879108036537,0.543222830616488,0.841318847888109,21,75872.5341426404,0.600302406645114,0.123348162111353,0
"79","Denmark",2016,"DNK",0,60,0,0,0,27,3,6,40,1,0,1,0,0,0,0,0.42,"0",1,65,1,1,0.27,0.25,0.25,73,1,0.5,0.22,0.42,0.55794,1.236698,1.28937322967111,"DK",0.826923076923077,0.479318672008477,0.81340644290143,25,6666.66666666667,0.596063795426487,0.949360239404309,0.666666666666667
"80","Estonia",2016,"EST",100,100,1,0,0,20,1,7,27,0,0,0,0,0,0,0,0.2,"0",0,34,1,0,0,0,0.1,56,1,0,0.2,0,0.2,0.144043,1.05199374174167,"EE",1,1,1,20,28571.4285714286,0.728150828092231,0.179488455093125,0.666666666666667
