"ISO_3","year","country","vat_rate","ISO_2","vat_revenue","final_consumption","vat_base"
"KOR",2018,"Korea",10,"KR",68229,1100100,0.661216372976855
"KOR",2019,"Korea",10,"KR",74361,1155837.2,0.68758794691922
"KOR",2020,"Korea",10,"KR",77471,1216268.8,0.68028758046424
"KOR",2021,"Korea",10,"KR",82174,1264597,0.694962800960401
"KOR",2022,"Korea",10,"KR",81452,1250415.3,0.696788342285853
"KOR",2023,"Korea",10,"KR",89022,1331998.4,0.716200243222639
"LTU",2014,"Lithuania",21,"LT",2.52082,26.604425,0.498426409248315
"LTU",2015,"Lithuania",21,"LT",2.611225,27.689605,0.495821690312722
"LTU",2016,"Lithuania",21,"LT",2.764438,28.737619,0.506830121277424
"LTU",2017,"Lithuania",21,"LT",2.888985,29.774707,0.511686888251371
"LTU",2018,"Lithuania",21,"LT",3.027574,31.13944,0.5128446132896
"LTU",2019,"Lithuania",21,"LT",3.310438,33.1877,0.527625003796883
"LTU",2020,"Lithuania",21,"LT",3.522193,35.423418,0.525758732432614
"LTU",2021,"Lithuania",21,"LT",3.850178,37.645474,0.542506890674399
"LTU",2022,"Lithuania",21,"LT",3.906526,38.203331,0.542397601231507
"LTU",2023,"Lithuania",21,"LT",4.75383,42.590594,0.598288101865311
"LUX",2014,"Luxembourg",15,"LU",3.151278,23.547372,1.03002663156975
"LUX",2015,"Luxembourg",15,"LU",3.399061,24.361408,1.0810052264981
"LUX",2016,"Luxembourg",15,"LU",3.728064,25.258671,1.15434553238559
"LUX",2017,"Luxembourg",17,"LU",2.945616,26.260421,0.743182408824628
"LUX",2018,"Luxembourg",17,"LU",3.098677,27.153122,0.7577606452656
"LUX",2019,"Luxembourg",17,"LU",3.316074,28.74077,0.767219307049289
"LUX",2020,"Luxembourg",17,"LU",3.479618,30.286963,0.763534813927697
"LUX",2021,"Luxembourg",17,"LU",3.637203,31.755794,0.760895585582716
"LUX",2022,"Luxembourg",17,"LU",3.674171,31.615724,0.773499260697331
"LUX",2023,"Luxembourg",17,"LU",4.398803,34.484128,0.860064226153644
"LVA",2014,"Latvia",22,"LV",1.570248,17.073836,0.460376714673462
"LVA",2015,"Latvia",21,"LV",1.690243,18.217853,0.48698972147069
"LVA",2016,"Latvia",21,"LV",1.787325,18.691597,0.503486422164257
"LVA",2017,"Latvia",21,"LV",1.876296,19.175496,0.516483008297659
"LVA",2018,"Latvia",21,"LV",2.031963,19.93891,0.54034974726369
"LVA",2019,"Latvia",21,"LV",2.163739,21.241319,0.540085222948563
"LVA",2020,"Latvia",21,"LV",2.449129,22.610703,0.578452805699547
"LVA",2021,"Latvia",21,"LV",2.632297,23.827149,0.591405291202204
"LVA",2022,"Latvia",21,"LV",2.57105,23.3498,0.589212307674679
"LVA",2023,"Latvia",21,"LV",2.821487,26.130669,0.576410291058364
"MEX",2014,"Mexico",16,"MX",579.9875,12127.677562,0.313908829864471
"MEX",2015,"Mexico",16,"MX",556.7939,12803.665856,0.284151078536842
"MEX",2016,"Mexico",16,"MX",667.0851,13647.464965,0.321198756766892
"MEX",2017,"Mexico",16,"MX",707.2128,14435.94644,0.321958318655238
"MEX",2018,"Mexico",16,"MX",791.7002,15606.588377,0.333996867940045
"MEX",2019,"Mexico",16,"MX",816.0481,16853.266192,0.318029011998299
"MEX",2020,"Mexico",16,"MX",922.2383,17960.23416,0.338302076274832
"MEX",2021,"Mexico",16,"MX",933.326766,18651.660208,0.329223530339067
"MEX",2022,"Mexico",16,"MX",987.524519,17706.810056,0.369156219629793
"MEX",2023,"Mexico",16,"MX",1123.6986,19891.152172,0.374217856623772
"NLD",2014,"Netherlands",19,"NL",41.699,467.112,0.515894956319228
"NLD",2015,"Netherlands",21,"NL",42.424,470.767,0.471629156117989
"NLD",2016,"Netherlands",21,"NL",42.708,476.709,0.468596681969462
"NLD",2017,"Netherlands",21,"NL",44.879,483.17,0.487597335581894
"NLD",2018,"Netherlands",21,"NL",47.849,490.883,0.514299988155268
"NLD",2019,"Netherlands",21,"NL",49.833,506.752,0.519348068257175
"NLD",2020,"Netherlands",21,"NL",52.712,530.171,0.525719535728772
"NLD",2021,"Netherlands",21,"NL",58.115,553.681,0.558428332932637
"NLD",2022,"Netherlands",21,"NL",58.971,543.029,0.580125286048956
"NLD",2023,"Netherlands",21,"NL",64.881,583.888,0.595285117266516
"NOR",2014,"Norway",25,"NO",223.425,1791.409,0.569967550689293
"NOR",2015,"Norway",25,"NO",234.941,1882.711,0.570324741923934
"NOR",2016,"Norway",25,"NO",243.801,1975.227,0.563237470154659
"NOR",2017,"Norway",25,"NO",255.182,2077.273,0.560195950696206
"NOR",2018,"Norway",25,"NO",269.216,2166.085,0.567706046121266
"NOR",2019,"Norway",25,"NO",283.518,2262.747,0.572986753932971
"NOR",2020,"Norway",25,"NO",296.9,2354.615,0.577145037092114
"NOR",2021,"Norway",25,"NO",307,2446.007,0.574098167981685
"NOR",2022,"Norway",25,"NO",311.6,2408.604,0.594371779929843
"NOR",2023,"Norway",25,"NO",338,2589.043,0.600610472567605
"NZL",2014,"New Zealand",15,"NZ",21.004,170.042,0.939536672973783
"NZL",2015,"New Zealand",15,"NZ",22.063,177.51,0.946217467475517
"NZL",2016,"New Zealand",15,"NZ",23.306,184.926,0.961349667945387
"NZL",2017,"New Zealand",15,"NZ",24.587,193.685,0.969339278603729
"NZL",2018,"New Zealand",15,"NZ",25.847,206.492,0.953878232629375
"NZL",2019,"New Zealand",15,"NZ",27.951,219.132,0.974678446079893
"NZL",2020,"New Zealand",15,"NZ",29.521,232.987,0.967270534962434
"NZL",2021,"New Zealand",15,"NZ",30.259,245.753,0.936112683725146
"NZL",2022,"New Zealand",15,"NZ",35.397,253.633,1.08130647555857
"NZL",2023,"New Zealand",15,"NZ",37.21,281.244,1.01652501973769
"POL",2014,"Poland",23,"PL",116.265,1286.038,0.432135123652196
"POL",2015,"Poland",23,"PL",116.607,1296.223,0.429789826962112
"POL",2016,"Poland",23,"PL",122.671,1336.915,0.439246291448048
"POL",2017,"Poland",23,"PL",125.895,1383.647,0.435196736095344
"POL",2018,"Poland",23,"PL",134.623,1422.908,0.454338435442738
"POL",2019,"Poland",23,"PL",154.694,1529.699,0.489149209417894
"POL",2020,"Poland",23,"PL",172.264,1626.87,0.514898132582623
"POL",2021,"Poland",23,"PL",182.147,1734.712,0.510087164312521
"POL",2022,"Poland",23,"PL",185.964,1766.884,0.51143582877994
"POL",2023,"Poland",23,"PL",225.14,1971.715,0.56045091978151
"PRT",2014,"Portugal",23,"PT",13.994912,142.702629,0.47275676157212
"PRT",2015,"Portugal",23,"PT",13.709657,143.672651,0.458647515829207
"PRT",2016,"Portugal",23,"PT",14.681603,146.288781,0.485027165628756
"PRT",2017,"Portugal",23,"PT",15.367866,149.890374,0.496696126834419
"PRT",2018,"Portugal",23,"PT",15.767123,154.823949,0.492983413095105
"PRT",2019,"Portugal",23,"PT",16.809454,160.214047,0.50963906441055
"PRT",2020,"Portugal",23,"PT",17.867729,166.70564,0.521948861945997
"PRT",2021,"Portugal",23,"PT",18.785717,173.762017,0.527029167910078
"PRT",2022,"Portugal",23,"PT",16.803144,166.485384,0.488081604244344
"PRT",2023,"Portugal",23,"PT",19.056427,176.602133,0.525904720213591
"SVK",2014,"Slovak Republic",20,"SK",4.327702,54.336083,0.432697671216351
"SVK",2015,"Slovak Republic",20,"SK",4.69612,54.731601,0.469278990242944
"SVK",2016,"Slovak Republic",20,"SK",5.021132,56.021211,0.492267080605895
"SVK",2017,"Slovak Republic",20,"SK",5.422535,57.979207,0.51587503485761
"SVK",2018,"Slovak Republic",20,"SK",5.423632,59.999485,0.496889347748719
"SVK",2019,"Slovak Republic",20,"SK",5.918744,63.376646,0.515050479914843
"SVK",2020,"Slovak Republic",20,"SK",6.319301,67.208498,0.518918076715645
"SVK",2021,"Slovak Republic",20,"SK",6.830155,71.716548,0.526316434325453
"SVK",2022,"Slovak Republic",20,"SK",6.820217,73.341416,0.512634851936448
"SVK",2023,"Slovak Republic",20,"SK",7.53771,78.142858,0.533793229921422
"SVN",2014,"Slovenia",20,"SI",2.889077,28.220267,0.570260812855614
"SVN",2015,"Slovenia",20,"SI",3.04817,27.609345,0.620526094537415
"SVN",2016,"Slovenia",22,"SI",3.158388,27.801294,0.582573706644382
"SVN",2017,"Slovenia",22,"SI",3.222456,28.298252,0.584130101900943
"SVN",2018,"Slovenia",22,"SI",3.319632,29.537531,0.575531867127735
"SVN",2019,"Slovenia",22,"SI",3.483832,30.535154,0.585390983849144
"SVN",2020,"Slovenia",22,"SI",3.767511,32.227431,0.601725162966024
"SVN",2021,"Slovenia",22,"SI",3.890554,34.351018,0.58056687395295
"SVN",2022,"Slovenia",22,"SI",3.52444,33.257292,0.538804074973427
"SVN",2023,"Slovenia",22,"SI",4.29196,37.467826,0.588045210060503
"SWE",2014,"Sweden",25,"SE",329.310916,2718.827,0.551259593028125
"SWE",2015,"Sweden",25,"SE",337.822233,2799.683,0.548889258935089
"SWE",2016,"Sweden",25,"SE",353.43898,2910.584,0.552864975956663
"SWE",2017,"Sweden",25,"SE",379.119978,3057.381,0.566218116734404
"SWE",2018,"Sweden",25,"SE",405.159532,3188.637,0.58223504469913
"SWE",2019,"Sweden",25,"SE",424.885212,3318.07,0.587429069532354
"SWE",2020,"Sweden",25,"SE",445.3612,3464.632,0.590024849708744
"SWE",2021,"Sweden",25,"SE",459.698808,3569.657,0.591260434538986
"SWE",2022,"Sweden",25,"SE",461.137983,3548.115,0.597526940382789
"SWE",2023,"Sweden",25,"SE",501.94373,3807.006,0.60748474793487
"TUR",2014,"Turkey",18,"TR",81.572202,1202.496598,0.404290335384939
"TUR",2015,"Turkey",18,"TR",100.722637,1373.438622,0.439666203733236
"TUR",2016,"Turkey",18,"TR",102.532557,1528.592349,0.399439995336932
"TUR",2017,"Turkey",18,"TR",121.0703,1735.624452,0.416593507839047
"TUR",2018,"Turkey",18,"TR",130.822451,1947.372458,0.400094350083281
"TUR",2019,"Turkey",18,"TR",155.679502,2287.262728,0.405748230551249
"TUR",2020,"Turkey",18,"TR",178.616022,2663.901728,0.399274510346109
