"ISO_2","ISO_3","country","year","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery"
"CO","COL","Colombia",2024,0.737888702767901,0.305956530933891,0.869865253929667
"CR","CRI","Costa Rica",2014,0.822456690745778,0.278958448750364,0.737888702767901
"CR","CRI","Costa Rica",2015,0.822456690745778,0.278958448750364,0.737888702767901
"CR","CRI","Costa Rica",2016,0.822456690745778,0.278958448750364,0.737888702767901
"CR","CRI","Costa Rica",2017,0.822456690745778,0.278958448750364,0.737888702767901
"CR","CRI","Costa Rica",2018,0.822456690745778,0.278958448750364,0.737888702767901
"CR","CRI","Costa Rica",2019,0.822456690745778,0.278958448750364,0.737888702767901
"CR","CRI","Costa Rica",2020,0.822456690745778,0.278958448750364,0.737888702767901
"CR","CRI","Costa Rica",2021,0.822456690745778,0.278958448750364,0.737888702767901
"CR","CRI","Costa Rica",2022,0.822456690745778,0.278958448750364,0.737888702767901
"CR","CRI","Costa Rica",2023,0.822456690745778,0.278958448750364,0.737888702767901
"CR","CRI","Costa Rica",2024,0.822456690745778,0.278958448750364,0.737888702767901
"CZ","CZE","Czech Republic",2014,0.873879108036537,0.543222830616488,0.841318847888109
"CZ","CZE","Czech Republic",2015,0.873879108036537,0.543222830616488,0.841318847888109
"CZ","CZE","Czech Republic",2016,0.873879108036537,0.543222830616488,0.841318847888109
"CZ","CZE","Czech Republic",2017,0.873879108036537,0.543222830616488,0.841318847888109
"CZ","CZE","Czech Republic",2018,0.873879108036537,0.543222830616488,0.841318847888109
"CZ","CZE","Czech Republic",2019,0.873879108036537,0.543222830616488,0.841318847888109
"CZ","CZE","Czech Republic",2020,0.972093023255814,0.543222830616488,0.841318847888109
"CZ","CZE","Czech Republic",2021,0.972093023255814,0.543222830616488,0.841318847888109
"CZ","CZE","Czech Republic",2022,0.972093023255814,0.543222830616488,0.841318847888109
"CZ","CZE","Czech Republic",2023,0.972093023255814,0.543222830616488,0.841318847888109
"CZ","CZE","Czech Republic",2024,0.873879108036537,0.543222830616488,0.841318847888109
"DE","DEU","Germany",2014,0.737888702767901,0.391406012913837,0.869865253929667
"DE","DEU","Germany",2015,0.737888702767901,0.391406012913837,0.869865253929667
"DE","DEU","Germany",2016,0.737888702767901,0.391406012913837,0.869865253929667
"DE","DEU","Germany",2017,0.737888702767901,0.391406012913837,0.869865253929667
"DE","DEU","Germany",2018,0.737888702767901,0.391406012913837,0.869865253929667
"DE","DEU","Germany",2019,0.737888702767901,0.391406012913837,0.869865253929667
"DE","DEU","Germany",2020,0.847117028387074,0.391406012913837,0.869865253929667
"DE","DEU","Germany",2021,0.847117028387074,0.391406012913837,0.869865253929667
"DE","DEU","Germany",2022,0.847117028387074,0.391406012913837,0.869865253929667
"DE","DEU","Germany",2023,0.737888702767901,0.391406012913837,0.869865253929667
"DE","DEU","Germany",2024,0.800076527025396,0.391406012913837,0.869865253929667
"DK","DNK","Denmark",2014,0.826923076923077,0.479318672008477,0.81340644290143
"DK","DNK","Denmark",2015,0.826923076923077,0.479318672008477,0.81340644290143
"DK","DNK","Denmark",2016,0.826923076923077,0.479318672008477,0.81340644290143
"DK","DNK","Denmark",2017,0.826923076923077,0.479318672008477,0.81340644290143
"DK","DNK","Denmark",2018,0.826923076923077,0.479318672008477,0.81340644290143
"DK","DNK","Denmark",2019,0.826923076923077,0.479318672008477,0.81340644290143
"DK","DNK","Denmark",2020,0.826923076923077,0.479318672008477,0.81340644290143
"DK","DNK","Denmark",2021,0.826923076923077,0.479318672008477,0.81340644290143
"DK","DNK","Denmark",2022,0.826923076923077,0.479318672008477,0.81340644290143
"DK","DNK","Denmark",2023,0.826923076923077,0.391406012913837,0.81340644290143
"DK","DNK","Denmark",2024,0.826923076923077,0.391406012913837,0.81340644290143
"ES","ESP","Spain",2014,0.695001856615886,0.291385530174685,0.278958448750364
"ES","ESP","Spain",2015,0.778563038959402,0.391406012913837,0.278958448750364
"ES","ESP","Spain",2016,0.778563038959402,0.391406012913837,0.737888702767901
"ES","ESP","Spain",2017,0.778563038959402,0.391406012913837,0.737888702767901
"ES","ESP","Spain",2018,0.778563038959402,0.391406012913837,0.737888702767901
"ES","ESP","Spain",2019,0.778563038959402,0.391406012913837,0.737888702767901
"ES","ESP","Spain",2020,0.778563038959402,0.391406012913837,0.737888702767901
"ES","ESP","Spain",2021,0.778563038959402,0.391406012913837,0.737888702767901
"ES","ESP","Spain",2022,0.778563038959402,0.391406012913837,0.737888702767901
"ES","ESP","Spain",2023,0.778563038959402,0.391406012913837,0.737888702767901
"ES","ESP","Spain",2024,0.778563038959402,0.391406012913837,0.737888702767901
"EE","EST","Estonia",2014,1,1,1
"EE","EST","Estonia",2015,1,1,1
"EE","EST","Estonia",2016,1,1,1
"EE","EST","Estonia",2017,1,1,1
"EE","EST","Estonia",2018,1,1,1
"EE","EST","Estonia",2019,1,1,1
"EE","EST","Estonia",2020,1,1,1
"EE","EST","Estonia",2021,1,1,1
"EE","EST","Estonia",2022,1,1,1
"EE","EST","Estonia",2023,1,1,1
"EE","EST","Estonia",2024,1,1,1
"FI","FIN","Finland",2014,0.826923076923077,0.518965517241379,0.737888702767901
"FI","FIN","Finland",2015,0.826923076923077,0.518965517241379,0.737888702767901
"FI","FIN","Finland",2016,0.826923076923077,0.518965517241379,0.737888702767901
"FI","FIN","Finland",2017,0.826923076923077,0.518965517241379,0.737888702767901
"FI","FIN","Finland",2018,0.826923076923077,0.518965517241379,0.737888702767901
"FI","FIN","Finland",2019,0.826923076923077,0.518965517241379,0.737888702767901
"FI","FIN","Finland",2020,0.934782608695652,0.518965517241379,0.737888702767901
"FI","FIN","Finland",2021,0.934782608695652,0.518965517241379,0.737888702767901
"FI","FIN","Finland",2022,0.934782608695652,0.518965517241379,0.737888702767901
"FI","FIN","Finland",2023,0.934782608695652,0.518965517241379,0.737888702767901
"FI","FIN","Finland",2024,0.934782608695652,0.518965517241379,0.737888702767901
"FR","FRA","France",2014,0.880275603755891,0.547953910556565,0.869865253929667
"FR","FRA","France",2015,0.880275603755891,0.547953910556565,0.869865253929667
"FR","FRA","France",2016,0.880275603755891,0.547953910556565,0.869865253929667
"FR","FRA","France",2017,0.880275603755891,0.547953910556565,0.869865253929667
"FR","FRA","France",2018,0.880275603755891,0.547953910556565,0.869865253929667
"FR","FRA","France",2019,0.880275603755891,0.547953910556565,0.869865253929667
"FR","FRA","France",2020,0.880275603755891,0.547953910556565,0.869865253929667
"FR","FRA","France",2021,0.880275603755891,0.547953910556565,0.869865253929667
"FR","FRA","France",2022,0.880275603755891,0.547953910556565,0.869865253929667
"FR","FRA","France",2023,0.880275603755891,0.547953910556565,0.869865253929667
"FR","FRA","France",2024,0.880275603755891,0.547953910556565,0.869865253929667
"GB","GBR","United Kingdom",2014,0.758823529411765,0,0.826923076923077
"GB","GBR","United Kingdom",2015,0.758823529411765,0,0.826923076923077
"GB","GBR","United Kingdom",2016,0.758823529411765,0,0.826923076923077
"GB","GBR","United Kingdom",2017,0.758823529411765,0,0.826923076923077
"GB","GBR","United Kingdom",2018,0.758823529411765,0,0.826923076923077
"GB","GBR","United Kingdom",2019,0.758823529411765,0.278958448750364,0.826923076923077
"GB","GBR","United Kingdom",2020,0.758823529411765,0.391406012913837,0.826923076923077
"GB","GBR","United Kingdom",2021,1.3,0.391406012913837,0.826923076923077
"GB","GBR","United Kingdom",2022,1.3,0.391406012913837,0.826923076923077
"GB","GBR","United Kingdom",2023,1,0.391406012913837,0.826923076923077
"GB","GBR","United Kingdom",2024,1,0.391406012913837,0.826923076923077
"GR","GRC","Greece",2014,0.737888702767901,0.479318672008477,0.737888702767901
"GR","GRC","Greece",2015,0.737888702767901,0.479318672008477,0.737888702767901
"GR","GRC","Greece",2016,0.737888702767901,0.479318672008477,0.737888702767901
"GR","GRC","Greece",2017,0.737888702767901,0.479318672008477,0.737888702767901
"GR","GRC","Greece",2018,0.737888702767901,0.479318672008477,0.737888702767901
"GR","GRC","Greece",2019,0.737888702767901,0.479318672008477,0.737888702767901
"GR","GRC","Greece",2020,0.737888702767901,0.479318672008477,0.737888702767901
"GR","GRC","Greece",2021,0.737888702767901,0.479318672008477,0.737888702767901
"GR","GRC","Greece",2022,0.737888702767901,0.479318672008477,0.737888702767901
"GR","GRC","Greece",2023,0.737888702767901,0.479318672008477,0.737888702767901
"GR","GRC","Greece",2024,0.737888702767901,0.479318672008477,0.737888702767901
"HU","HUN","Hungary",2014,0.816200383417959,0.278958448750364,0.737888702767901
"HU","HUN","Hungary",2015,0.816200383417959,0.278958448750364,0.737888702767901
"HU","HUN","Hungary",2016,0.816200383417959,0.278958448750364,0.737888702767901
"HU","HUN","Hungary",2017,0.816200383417959,0.278958448750364,0.737888702767901
"HU","HUN","Hungary",2018,0.816200383417959,0.278958448750364,0.737888702767901
"HU","HUN","Hungary",2019,0.816200383417959,0.278958448750364,0.737888702767901
"HU","HUN","Hungary",2020,0.816200383417959,0.278958448750364,0.737888702767901
"HU","HUN","Hungary",2021,0.816200383417959,0.278958448750364,0.737888702767901
"HU","HUN","Hungary",2022,0.816200383417959,0.278958448750364,0.737888702767901
"HU","HUN","Hungary",2023,0.816200383417959,0.278958448750364,0.737888702767901
"HU","HUN","Hungary",2024,0.816200383417959,0.278958448750364,0.737888702767901
"IE","IRL","Ireland",2014,0.787075165170195,0.479318672008477,0.646263719038607
"IE","IRL","Ireland",2015,0.787075165170195,0.479318672008477,0.646263719038607
"IE","IRL","Ireland",2016,0.787075165170195,0.479318672008477,0.646263719038607
"IE","IRL","Ireland",2017,0.787075165170195,0.479318672008477,0.646263719038607
"IE","IRL","Ireland",2018,0.787075165170195,0.479318672008477,0.646263719038607
"IE","IRL","Ireland",2019,0.787075165170195,0.479318672008477,0.646263719038607
"IE","IRL","Ireland",2020,0.787075165170195,0.479318672008477,0.646263719038607
"IE","IRL","Ireland",2021,0.787075165170195,0.479318672008477,0.646263719038607
"IE","IRL","Ireland",2022,0.787075165170195,0.479318672008477,0.646263719038607
"IE","IRL","Ireland",2023,0.787075165170195,0.479318672008477,0.646263719038607
"IE","IRL","Ireland",2024,0.787075165170195,0.479318672008477,0.646263719038607
"IS","ISL","Iceland",2014,0.86,0.602353618717047,0.812269350072009
"IS","ISL","Iceland",2015,0.86,0.602353618717047,0.812269350072009
"IS","ISL","Iceland",2016,0.86,0.602353618717047,0.812269350072009
"IS","ISL","Iceland",2017,0.86,0.602353618717047,0.812269350072009
"IS","ISL","Iceland",2018,0.86,0.602353618717047,0.812269350072009
"IS","ISL","Iceland",2019,0.86,0.602353618717047,0.812269350072009
"IS","ISL","Iceland",2020,0.86,0.602353618717047,0.812269350072009
"IS","ISL","Iceland",2021,0.86,0.602353618717047,0.812269350072009
"IS","ISL","Iceland",2022,0.86,0.602353618717047,0.812269350072009
"IS","ISL","Iceland",2023,0.86,0.602353618717047,0.812269350072009
"IS","ISL","Iceland",2024,0.86,0.602353618717047,0.812269350072009
"IL","ISR","Israel",2014,0.869865253929667,0.479318672008477,0.787075165170195
"IL","ISR","Israel",2015,0.869865253929667,0.479318672008477,0.787075165170195
"IL","ISR","Israel",2016,0.869865253929667,0.479318672008477,0.787075165170195
"IL","ISR","Israel",2017,0.737888702767901,0.479318672008477,0.787075165170195
"IL","ISR","Israel",2018,0.737888702767901,0.479318672008477,0.787075165170195
"IL","ISR","Israel",2019,0.737888702767901,0.479318672008477,0.787075165170195
"IL","ISR","Israel",2020,0.869865253929667,0.391406012913837,0.787075165170195
"IL","ISR","Israel",2021,0.869865253929667,0.391406012913837,0.787075165170195
"IL","ISR","Israel",2022,0.869865253929667,0.391406012913837,0.787075165170195
"IL","ISR","Israel",2023,0.869865253929667,0.391406012913837,0.787075165170195
"IL","ISR","Israel",2024,0.869865253929667,0.391406012913837,0.787075165170195
"IT","ITA","Italy",2014,0.760252585046526,0.462657542127945,0.965116279069767
"IT","ITA","Italy",2015,0.760252585046526,0.462657542127945,0.965116279069767
"IT","ITA","Italy",2016,0.760252585046526,0.462657542127945,0.965116279069767
"IT","ITA","Italy",2017,0.869865253929667,0.576669379707147,0.965116279069767
"IT","ITA","Italy",2018,0.869865253929667,0.576669379707147,0.965116279069767
"IT","ITA","Italy",2019,0.869865253929667,0.576669379707147,0.965116279069767
"IT","ITA","Italy",2020,0.869865253929667,0.576669379707147,0.965116279069767
"IT","ITA","Italy",2021,0.869865253929667,0.576669379707147,0.965116279069767
"IT","ITA","Italy",2022,0.869865253929667,0.576669379707147,0.965116279069767
"IT","ITA","Italy",2023,0.869865253929667,0.576669379707147,0.965116279069767
"IT","ITA","Italy",2024,0.869865253929667,0.576669379707147,0.965116279069767
"JP","JPN","Japan",2014,0.859028659709284,0.278958448750364,0.787075165170195
"JP","JPN","Japan",2015,0.859028659709284,0.278958448750364,0.787075165170195
"JP","JPN","Japan",2016,0.859028659709284,0.278958448750364,0.787075165170195
"JP","JPN","Japan",2017,0.859028659709284,0.278958448750364,0.787075165170195
"JP","JPN","Japan",2018,0.859028659709284,0.278958448750364,0.787075165170195
"JP","JPN","Japan",2019,0.859028659709284,0.278958448750364,0.787075165170195
"JP","JPN","Japan",2020,0.859028659709284,0.278958448750364,0.787075165170195
"JP","JPN","Japan",2021,0.859028659709284,0.278958448750364,0.787075165170195
"JP","JPN","Japan",2022,0.859028659709284,0.278958448750364,0.787075165170195
"JP","JPN","Japan",2023,0.859028659709284,0.278958448750364,0.787075165170195
"JP","JPN","Japan",2024,0.859028659709284,0.278958448750364,0.787075165170195
"KR","KOR","Korea",2014,0.921720532319392,0.547953910556565,0.737888702767901
"KR","KOR","Korea",2015,0.921720532319392,0.547953910556565,0.737888702767901
"KR","KOR","Korea",2016,0.921720532319392,0.547953910556565,0.737888702767901
"KR","KOR","Korea",2017,0.921720532319392,0.547953910556565,0.737888702767901
"KR","KOR","Korea",2018,0.921720532319392,0.547953910556565,0.737888702767901
"KR","KOR","Korea",2019,0.921720532319392,0.547953910556565,0.737888702767901
"KR","KOR","Korea",2020,0.921720532319392,0.547953910556565,0.737888702767901
"KR","KOR","Korea",2021,0.921720532319392,0.547953910556565,0.737888702767901
"KR","KOR","Korea",2022,0.921720532319392,0.547953910556565,0.737888702767901
"KR","KOR","Korea",2023,0.921720532319392,0.547953910556565,0.737888702767901
"KR","KOR","Korea",2024,0.921720532319392,0.547953910556565,0.737888702767901
"LT","LTU","Lithuania",2014,0.905263157894737,0.826923076923077,0.966194331983806
"LT","LTU","Lithuania",2015,0.905263157894737,0.826923076923077,0.966194331983806
"LT","LTU","Lithuania",2016,0.905263157894737,0.826923076923077,0.966194331983806
"LT","LTU","Lithuania",2017,0.905263157894737,0.826923076923077,0.966194331983806
"LT","LTU","Lithuania",2018,0.905263157894737,0.826923076923077,0.966194331983806
"LT","LTU","Lithuania",2019,0.905263157894737,0.826923076923077,0.966194331983806
"LT","LTU","Lithuania",2020,0.905263157894737,0.826923076923077,0.966194331983806
"LT","LTU","Lithuania",2021,0.905263157894737,0.826923076923077,0.966194331983806
"LT","LTU","Lithuania",2022,0.905263157894737,0.826923076923077,0.966194331983806
"LT","LTU","Lithuania",2023,0.905263157894737,0.826923076923077,0.966194331983806
"LT","LTU","Lithuania",2024,0.905263157894737,0.826923076923077,0.966194331983806
"LU","LUX","Luxembourg",2014,0.873417350634541,0.479318672008477,0.869865253929667
"LU","LUX","Luxembourg",2015,0.873417350634541,0.479318672008477,0.869865253929667
"LU","LUX","Luxembourg",2016,0.873417350634541,0.479318672008477,0.869865253929667
"LU","LUX","Luxembourg",2017,0.873417350634541,0.479318672008477,0.869865253929667
"LU","LUX","Luxembourg",2018,0.873417350634541,0.479318672008477,0.869865253929667
"LU","LUX","Luxembourg",2019,0.873417350634541,0.479318672008477,0.869865253929667
"LU","LUX","Luxembourg",2020,0.873417350634541,0.479318672008477,0.869865253929667
"LU","LUX","Luxembourg",2021,0.873417350634541,0.479318672008477,0.869865253929667
"LU","LUX","Luxembourg",2022,0.873417350634541,0.479318672008477,0.869865253929667
"LU","LUX","Luxembourg",2023,0.873417350634541,0.479318672008477,0.869865253929667
"LU","LUX","Luxembourg",2024,0.873417350634541,0.479318672008477,0.869865253929667
"LV","LVA","Latvia",2014,0.905263157894737,0.614285714285714,0.869865253929667
"LV","LVA","Latvia",2015,0.905263157894737,0.614285714285714,0.869865253929667
"LV","LVA","Latvia",2016,0.905263157894737,0.614285714285714,0.869865253929667
"LV","LVA","Latvia",2017,0.905263157894737,0.614285714285714,0.869865253929667
"LV","LVA","Latvia",2018,1,1,1
"LV","LVA","Latvia",2019,1,1,1
"LV","LVA","Latvia",2020,1,1,1
"LV","LVA","Latvia",2021,1,1,1
"LV","LVA","Latvia",2022,1,1,1
"LV","LVA","Latvia",2023,1,1,1
"LV","LVA","Latvia",2024,1,1,1
"MX","MEX","Mexico",2014,0.737888702767901,0.547953910556565,0.737888702767901
"MX","MEX","Mexico",2015,0.737888702767901,0.547953910556565,0.737888702767901
"MX","MEX","Mexico",2016,0.737888702767901,0.547953910556565,0.737888702767901
"MX","MEX","Mexico",2017,0.737888702767901,0.547953910556565,0.737888702767901
"MX","MEX","Mexico",2018,0.737888702767901,0.547953910556565,0.737888702767901
"MX","MEX","Mexico",2019,0.737888702767901,0.547953910556565,0.737888702767901
"MX","MEX","Mexico",2020,0.737888702767901,0.547953910556565,0.737888702767901
"MX","MEX","Mexico",2021,0.737888702767901,0.547953910556565,0.737888702767901
"MX","MEX","Mexico",2022,0.737888702767901,0.547953910556565,0.737888702767901
"MX","MEX","Mexico",2023,0.737888702767901,0.547953910556565,0.737888702767901
"MX","MEX","Mexico",2024,0.737888702767901,0.547953910556565,0.737888702767901
"NL","NLD","Netherlands",2014,0.813463195231154,0.338474732816403,0.869865253929667
"NL","NLD","Netherlands",2015,0.813463195231154,0.338474732816403,0.869865253929667
"NL","NLD","Netherlands",2016,0.813463195231154,0.338474732816403,0.869865253929667
"NL","NLD","Netherlands",2017,0.813463195231154,0.338474732816403,0.869865253929667
"NL","NLD","Netherlands",2018,0.813463195231154,0.338474732816403,0.869865253929667
"NL","NLD","Netherlands",2019,0.813463195231154,0.338474732816403,0.869865253929667
"NL","NLD","Netherlands",2020,0.813463195231154,0.338474732816403,0.869865253929667
"NL","NLD","Netherlands",2021,0.813463195231154,0.338474732816403,0.869865253929667
"NL","NLD","Netherlands",2022,0.813463195231154,0.338474732816403,0.869865253929667
"NL","NLD","Netherlands",2023,0.813463195231154,0.338474732816403,0.869865253929667
"NL","NLD","Netherlands",2024,0.813463195231154,0.338474732816403,0.869865253929667
"NO","NOR","Norway",2014,0.809090909090909,0.373913043478261,0.737888702767901
"NO","NOR","Norway",2015,0.809090909090909,0.373913043478261,0.737888702767901
"NO","NOR","Norway",2016,0.809090909090909,0.373913043478261,0.737888702767901
"NO","NOR","Norway",2017,0.781818181818182,0.373913043478261,0.737888702767901
"NO","NOR","Norway",2018,0.781818181818182,0.373913043478261,0.737888702767901
"NO","NOR","Norway",2019,0.781818181818182,0.373913043478261,0.737888702767901
"NO","NOR","Norway",2020,0.781818181818182,0.373913043478261,0.737888702767901
"NO","NOR","Norway",2021,0.781818181818182,0.373913043478261,0.737888702767901
"NO","NOR","Norway",2022,0.781818181818182,0.373913043478261,0.737888702767901
"NO","NOR","Norway",2023,0.781818181818182,0.373913043478261,0.737888702767901
"NO","NOR","Norway",2024,0.781818181818182,0.373913043478261,0.737888702767901
"NZ","NZL","New Zealand",2014,0.731914893617021,0,0.547953910556565
"NZ","NZL","New Zealand",2015,0.731914893617021,0,0.547953910556565
"NZ","NZL","New Zealand",2016,0.731914893617021,0,0.547953910556565
"NZ","NZL","New Zealand",2017,0.731914893617021,0,0.547953910556565
"NZ","NZL","New Zealand",2018,0.731914893617021,0,0.547953910556565
"NZ","NZL","New Zealand",2019,0.731914893617021,0,0.547953910556565
"NZ","NZL","New Zealand",2020,0.731914893617021,0.307142857142857,0.547953910556565
"NZ","NZL","New Zealand",2021,0.731914893617021,0.307142857142857,0.547953910556565
"NZ","NZL","New Zealand",2022,0.731914893617021,0.307142857142857,0.547953910556565
"NZ","NZL","New Zealand",2023,0.731914893617021,0.307142857142857,0.547953910556565
"NZ","NZL","New Zealand",2024,0.731914893617021,0,0.547953910556565
"PL","POL","Poland",2014,0.737888702767901,0.338474732816403,0.869865253929667
"PL","POL","Poland",2015,0.737888702767901,0.338474732816403,0.869865253929667
"PL","POL","Poland",2016,0.737888702767901,0.338474732816403,0.869865253929667
"PL","POL","Poland",2017,0.737888702767901,0.338474732816403,0.869865253929667
"PL","POL","Poland",2018,0.737888702767901,0.338474732816403,0.869865253929667
"PL","POL","Poland",2019,0.737888702767901,0.338474732816403,0.869865253929667
"PL","POL","Poland",2020,0.737888702767901,0.338474732816403,0.869865253929667
"PL","POL","Poland",2021,0.737888702767901,0.338474732816403,0.869865253929667
"PL","POL","Poland",2022,0.737888702767901,0.338474732816403,0.869865253929667
"PL","POL","Poland",2023,0.737888702767901,0.338474732816403,0.869865253929667
"PL","POL","Poland",2024,0.737888702767901,0.338474732816403,0.869865253929667
"PT","PRT","Portugal",2014,0.888411247396436,0.547953910556565,0.547953910556565
"PT","PRT","Portugal",2015,0.888411247396436,0.547953910556565,0.547953910556565
"PT","PRT","Portugal",2016,0.888411247396436,0.547953910556565,0.547953910556565
"PT","PRT","Portugal",2017,0.888411247396436,0.547953910556565,0.547953910556565
"PT","PRT","Portugal",2018,0.888411247396436,0.547953910556565,0.547953910556565
"PT","PRT","Portugal",2019,0.888411247396436,0.547953910556565,0.547953910556565
"PT","PRT","Portugal",2020,0.888411247396436,0.547953910556565,0.547953910556565
"PT","PRT","Portugal",2021,0.888411247396436,0.547953910556565,0.547953910556565
"PT","PRT","Portugal",2022,0.888411247396436,0.547953910556565,0.547953910556565
"PT","PRT","Portugal",2023,0.888411247396436,0.547953910556565,0.547953910556565
"PT","PRT","Portugal",2024,0.888411247396436,0.547953910556565,0.547953910556565
"SK","SVK","Slovak Republic",2014,0.873879108036537,0.652728119257913,0.869865253929667
"SK","SVK","Slovak Republic",2015,0.873879108036537,0.547953910556565,0.869865253929667
