"ISO_2","ISO_3","country","year","vat_rate","vat_threshold","vat_base"
"NO","NOR","Norway",2016,25,5102.04081632653,0.561574851213185
"NO","NOR","Norway",2017,25,5102.04081632653,0.558441281337383
"NO","NOR","Norway",2018,25,4916.69351181324,0.565921326183334
"NO","NOR","Norway",2019,25,4916.69351181324,0.571291483729746
"NO","NOR","Norway",2020,25,5208.33333333333,0.582437284683805
"PL","POL","Poland",2014,23,77747.204225308,0.429006800457947
"PL","POL","Poland",2015,23,77747.204225308,0.424784026135982
"PL","POL","Poland",2016,23,83333.3333333333,0.436203895691829
"PL","POL","Poland",2017,23,83333.3333333333,0.437557067388469
"PL","POL","Poland",2018,23,111214.726164321,0.441385620326629
"PL","POL","Poland",2019,23,111214.726164321,0.495426698641405
"PL","POL","Poland",2020,23,112994.350282486,0.521142967815541
"PT","PRT","Portugal",2014,23,14317.549643698,0.472447306951266
"PT","PRT","Portugal",2015,23,14317.549643698,0.458747463006593
"PT","PRT","Portugal",2016,23,16949.1525423729,0.48511254225391
"PT","PRT","Portugal",2017,23,16949.1525423729,0.495145945911459
"PT","PRT","Portugal",2018,23,16886.4437318365,0.492153165545173
"PT","PRT","Portugal",2019,23,16886.4437318365,0.509631104397442
"PT","PRT","Portugal",2020,23,21777.0034843206,0.522140522091074
"SK","SVK","Slovak Republic",2014,20,86990.532950811,0.428574651308034
"SK","SVK","Slovak Republic",2015,20,86990.532950811,0.462482426412319
"SK","SVK","Slovak Republic",2016,20,99580,0.485318044537937
"SK","SVK","Slovak Republic",2017,20,99580,0.510256284906862
"SK","SVK","Slovak Republic",2018,20,100763.364958068,0.495470639649474
"SK","SVK","Slovak Republic",2019,20,100763.364958068,0.515818030540571
"SK","SVK","Slovak Republic",2020,20,97819.2534381139,0.520982002954997
"SI","SVN","Slovenia",2014,22,74142.1047824595,0.579745444575139
"SI","SVN","Slovenia",2015,22,74142.1047824595,0.601906459423934
"SI","SVN","Slovenia",2016,22,83333.3333333333,0.590631982468831
"SI","SVN","Slovenia",2017,22,83333.3333333333,0.591460387633486
"SI","SVN","Slovenia",2018,22,83256.737135169,0.583747031500922
"SI","SVN","Slovenia",2019,22,83256.737135169,0.586046319867356
"SI","SVN","Slovenia",2020,22,87108.0139372822,0.603436138128241
"ES","ESP","Spain",2014,21,0,0.404118372671133
"ES","ESP","Spain",2015,21,0,0.38748565011524
"ES","ESP","Spain",2016,21,0,0.406427261455261
"ES","ESP","Spain",2017,21,0,0.425498168627791
"ES","ESP","Spain",2018,21,0,0.430877668728623
"ES","ESP","Spain",2019,21,0,0.436562093245564
"ES","ESP","Spain",2020,21,0,0.448488403477709
"SE","SWE","Sweden",2014,25,0,0.562773587723805
"SE","SWE","Sweden",2015,25,0,0.559744877330602
"SE","SWE","Sweden",2016,25,0,0.56680624436407
"SE","SWE","Sweden",2017,25,0,0.583511565081778
"SE","SWE","Sweden",2018,25,3296.89096588135,0.597513703470289
"SE","SWE","Sweden",2019,25,3296.89096588135,0.587694637748296
"SE","SWE","Sweden",2020,25,3363.22869955157,0.589533968667522
"CH","CHE","Switzerland",2014,8,63826.8268100133,0.709244541621409
"CH","CHE","Switzerland",2015,8,63826.8268100133,0.707837566603461
"CH","CHE","Switzerland",2016,8,78125,0.698455383839677
"CH","CHE","Switzerland",2017,8,78125,0.687045780392545
"CH","CHE","Switzerland",2018,7.7,81953.3750858462,0.682580340126438
"CH","CHE","Switzerland",2019,7.7,81953.3750858462,0.68273858766526
"CH","CHE","Switzerland",2020,7.7,86206.8965517241,0.694678946569888
"TR","TUR","Turkey",2014,18,0,0.404300020123606
"TR","TUR","Turkey",2015,18,0,0.438792781932007
"TR","TUR","Turkey",2016,18,0,0.398955325784995
"TR","TUR","Turkey",2017,18,0,0.41640592899826
"TR","TUR","Turkey",2018,18,0,0.400067337416955
"TR","TUR","Turkey",2019,18,0,0.405824064998515
"TR","TUR","Turkey",2020,18,0,0.398962526651781
"GB","GBR","United Kingdom",2014,20,102850.559900547,0.425781583045022
"GB","GBR","United Kingdom",2015,20,102850.559900547,0.427416902020421
"GB","GBR","United Kingdom",2016,20,118840.579710145,0.43384941239917
"GB","GBR","United Kingdom",2017,20,118840.579710145,0.441162837936398
"GB","GBR","United Kingdom",2018,20,119167.287037543,0.438381144265963
"GB","GBR","United Kingdom",2019,20,119167.287037543,0.4438398287648
"GB","GBR","United Kingdom",2020,20,123367.198838897,0.451963815759587
"US","USA","United States",2014,7.2,0,0.341
"US","USA","United States",2015,7.3,0,0.354
"US","USA","United States",2016,7.3,0,0.358
"US","USA","United States",2017,7.4,0,0.351
"US","USA","United States",2018,7.4,0,0.347
"US","USA","United States",2019,7.4,0,0.341
"US","USA","United States",2020,7.4,0,0.339
