"ISO_3","year","tax_wedge"
"CRI",2017,1.06822351776689
"CZE",2017,1.13315299762286
"DEU",2017,1.09534462589061
"DNK",2017,1.23670379326791
"ESP",2017,1.10699056914054
"EST",2017,1.05752191364352
"FIN",2017,1.28614070381486
"FRA",2017,1.26766106026671
"GBR",2017,1.3707857807909
"GRC",2017,1.25018464338522
"HUN",2017,1
"IRL",2017,1.49729283914551
"ISL",2017,1.26971995793072
"ISR",2017,1.72015087132884
"ITA",2017,1.21188966403932
"JPN",2017,1.06875635798929
"KOR",2017,1.30359240194273
"LTU",2017,1.09515713943807
"LUX",2017,1.36286520599058
"LVA",2017,1.05716673103604
"MEX",2017,1.21344642090281
"NLD",2017,1.39112901213583
"NOR",2017,1.23797396923022
"NZL",2017,1.45548482823408
"POL",2017,1.04157528156199
"PRT",2017,1.24576204940901
"SVK",2017,1.12090180974842
"SVN",2017,1.21663366757661
"SWE",2017,1.2102576759004
"TUR",2017,1.22322269573686
"USA",2017,1.25091528336118
"AUS",2018,1.39325515343565
"AUT",2018,1.10822081465241
"BEL",2018,1.24101990171903
"CAN",2018,1.2503747085311
"CHE",2018,1.37748832427832
"CHL",2018,1.08742511576066
"COL",2018,0
"CRI",2018,1.06547585934361
"CZE",2018,1.12411919343544
"DEU",2018,1.0940217230671
"DNK",2018,1.24001322163909
"ESP",2018,1.23886956024733
"EST",2018,1.05698132325442
"FIN",2018,1.30527528938012
"FRA",2018,1.27408692785277
"GBR",2018,1.36795725377944
"GRC",2018,1.25047324171308
"HUN",2018,1
"IRL",2018,1.49547136480738
"ISL",2018,1.26829944544366
"ISR",2018,1.73197794288459
"ITA",2018,1.21226071931554
"JPN",2018,1.06699409606627
"KOR",2018,1.27746417340747
"LTU",2018,1.13842225889773
"LUX",2018,1.39392084679436
"LVA",2018,1.06348402670348
"MEX",2018,1.18568195311513
"NLD",2018,1.41349799468449
"NOR",2018,1.24332016785719
"NZL",2018,1.44000730987065
"POL",2018,1.03877149170029
"PRT",2018,1.23610860979062
"SVK",2018,1.11641130339138
"SVN",2018,1.16336945933163
"SWE",2018,1.20764991059814
"TUR",2018,1.20596200754617
"USA",2018,1.24641453866901
"AUS",2019,1.37782993834609
"AUT",2019,1.10184892115766
"BEL",2019,1.27428541019482
"CAN",2019,1.25003747421933
"CHE",2019,1.37074753250476
"CHL",2019,1.23215635562629
"COL",2019,0
"CRI",2019,1.06466401847154
"CZE",2019,1.11442095170514
"DEU",2019,1.09568314163364
"DNK",2019,1.24455138644162
"ESP",2019,1.23479426270063
"EST",2019,1.19826304713391
"FIN",2019,1.31055730023289
"FRA",2019,1.27316031684303
"GBR",2019,1.36905528477729
"GRC",2019,1.24846991871788
"HUN",2019,1
"IRL",2019,1.47986773197284
"ISL",2019,1.2694727944479
"ISR",2019,1.73988382315352
"ITA",2019,1.25889278909077
"JPN",2019,1.06555000432633
"KOR",2019,1.28614965320593
"LTU",2019,1.1482050261628
"LUX",2019,1.40678040193172
"LVA",2019,1.11543889354782
"MEX",2019,1.21247564177471
"NLD",2019,1.40706677015542
"NOR",2019,1.24454048711167
"NZL",2019,1.42268195448294
"POL",2019,1.03599266358838
"PRT",2019,1.22775966471436
"SVK",2019,1.11039797763034
"SVN",2019,1.31813715512507
"SWE",2019,1.20732190752679
"TUR",2019,1.18811255927862
"USA",2019,1.24043144141255
"AUS",2020,1.41394107484494
"AUT",2020,1.09685644629748
"BEL",2020,1.28731515716075
"CAN",2020,1.26084950795864
"CHE",2020,1.36268691363852
"CHL",2020,1.22880916942572
"COL",2020,0
"CRI",2020,1.06350557507127
"CZE",2020,1.10632060371666
"DEU",2020,1.0969234772429
"DNK",2020,1.24087851067647
"ESP",2020,1.2339751594554
"EST",2020,1.18316230796552
"FIN",2020,1.31866316191105
"FRA",2020,1.30891710377515
"GBR",2020,1.3759956357544
"GRC",2020,1.24393405582889
"HUN",2020,1
"IRL",2020,1.58810697318901
"ISL",2020,1.27301407930591
"ISR",2020,1.6997794883461
"ITA",2020,1.25471394447653
"JPN",2020,1.06528665494636
"KOR",2020,1.33802652558713
"LTU",2020,1.1609625080923
"LUX",2020,1.39828136325109
"LVA",2020,1.13329516276404
"MEX",2020,1.17971699677425
"NLD",2020,1.44880981361342
"NOR",2020,1.24408618123641
"NZL",2020,1.40489663896193
"POL",2020,1.03652386487163
"PRT",2020,1.27089634250123
"SVK",2020,1.10764216924297
"SVN",2020,1.15014744995322
"SWE",2020,1.22157744214188
"TUR",2020,1.16679454771312
"USA",2020,1.2394444223132
"AUS",2021,1.47514263255953
"AUT",2021,1.10585957919665
"BEL",2021,1.28902965771201
"CAN",2021,1.29576392483765
"CHE",2021,1.34981383807259
"CHL",2021,1.22998122626334
"COL",2021,0
"CRI",2021,1.0644581921856
"CZE",2021,1.10273410805012
"DEU",2021,1.09453180118218
"DNK",2021,1.24038155563348
"ESP",2021,1.47052036718417
"EST",2021,1.17806622775585
"FIN",2021,1.32699989928607
"FRA",2021,1.3098530337217
"GBR",2021,1.40219154818711
"GRC",2021,1.30284059963086
"HUN",2021,1
"IRL",2021,1.56871677814368
"ISL",2021,1.28122177549046
"ISR",2021,1.67767975452896
"ITA",2021,1.27040520224821
"JPN",2021,1.067265449367
"KOR",2021,1.32508355373349
"LTU",2021,1.20163109244151
"LUX",2021,1.38253316064479
"LVA",2021,1.16330678527317
"MEX",2021,1.12203922147444
"NLD",2021,1.45122886355274
"NOR",2021,1.23960357550964
"NZL",2021,1.38912062469496
"POL",2021,1.14424782284841
"PRT",2021,1.26790988749159
"SVK",2021,1.12013637995669
"SVN",2021,1.11538443764543
"SWE",2021,1.196829678758
"TUR",2021,1.16793244798406
"USA",2021,1.41627200271428
"AUS",2022,1.49653278376305
"AUT",2022,1.13244605591726
"BEL",2022,1.28392792796331
"CAN",2022,1.22456768011817
"CHE",2022,1.36376061347844
"CHL",2022,2.74307841922431
"COL",2022,0
"CRI",2022,1.06096462394672
"CZE",2022,1.12040161905191
"DEU",2022,1.11104187300377
"DNK",2022,1.23766138035118
"ESP",2022,1.23107067966787
"EST",2022,1.16387741726361
"FIN",2022,1.31221048880463
"FRA",2022,1.29022182503167
"GBR",2022,1.37211052373854
"GRC",2022,1.27230895646198
"HUN",2022,1
"IRL",2022,1.53632819265771
"ISL",2022,1.31689557990288
"ISR",2022,1.68105079408005
"ITA",2022,1.28479468303258
"JPN",2022,1.06230253633945
"KOR",2022,1.3089816485833
"LTU",2022,1.1806805430532
"LUX",2022,1.37908421339685
"LVA",2022,1.12407661177561
"MEX",2022,1.15197491689889
"NLD",2022,1.4864857469081
"NOR",2022,1.30435692910661
"NZL",2022,1.60278909301165
"POL",2022,1.14329936443973
